star_name,star_name,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_age_error_min,star_age_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_teff,star_teff_error_min,star_teff_error_max,Spectral type,mag_v,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
CoRoT-27,corot-27,1.05,0.11,0.11,1.08,0.06,0.18,4.21,2.72,2.72,2.72,2.72,0.1,0.1,0.1,5900.0,120.0,120.0,,15.54,,,
CoRoT-28,corot-28,1.01,0.14,0.14,1.78,0.11,0.11,12.0,1.5,1.5,1.5,1.5,0.15,0.1,0.1,5150.0,100.0,100.0,,13.49,,,
CoRoT-29,corot-29,0.976,0.14,0.14,0.9,0.12,0.12,4.5,3.5,3.5,3.5,3.5,0.2,0.1,0.1,5260.0,100.0,100.0,,15.35,,,
CoRoT-3,corot-3,1.41,0.08,0.08,1.44,0.08,0.08,2.0,0.4,0.4,0.4,0.4,0.14,0.04,0.04,6558.0,44.0,44.0,,13.3,,,
CoRoT-33,corot-33,0.86,0.004,0.004,0.94,0.008,0.14,4.6,0.0,5.0,0.0,5.0,0.44,0.1,0.1,5225.0,80.0,80.0,,14.7,,,
CoRoT-4,corot-4,1.1,0.02,0.02,1.15,0.03,0.03,1.0,0.3,0.3,0.3,0.3,0.05,0.07,0.07,6190.0,60.0,60.0,,13.7,,,
CoRoT-5,corot-5,1.0,0.02,0.02,1.186,0.04,0.04,6.9,1.4,1.4,1.4,1.4,-0.25,0.06,0.06,6100.0,65.0,65.0,,14.0,,,
CoRoT-6,corot-6,1.055,0.055,0.055,1.025,0.026,0.026,,,,,,-0.2,0.1,0.1,6090.0,70.0,70.0,,13.9,,,
CoRoT-7,corot-7,0.93,0.03,0.03,0.87,0.04,0.04,1.5,0.3,0.3,0.3,0.3,0.03,0.07,0.07,5313.0,73.0,73.0,,11.7,,,
CoRoT-8,corot-8,0.88,0.04,0.04,0.77,0.02,0.02,3.0,inf,nan,inf,nan,0.3,0.1,0.1,5080.0,80.0,80.0,,14.8,,,
CoRoT-9,corot-9,0.99,0.04,0.04,0.94,0.04,0.04,4.0,3.0,3.0,3.0,3.0,-0.01,0.006,0.006,5625.0,80.0,80.0,,13.7,,,
DE0823-49,de0823-49,0.045,0.017,0.017,,,,0.1,0.02,0.5,0.02,0.5,,,,2150.0,100.0,100.0,,,,,
DH Tau,dhtau,0.37,0.12,0.12,,,,0.001,0.0009,0.0009,0.0009,0.0009,,,,,,,,13.71,,,
DP Leo,dpleo,0.69,,,,,,,,,,,,,,,,,,17.5,,,
DW Lyn,dwlyn,,,,,,,,,,,,,,,,,,,,,,
EPIC 201295312,epic201295312,1.13,0.07,0.07,1.52,0.1,0.1,,,,,,0.13,0.07,0.07,5830.0,70.0,70.0,,12.5,,,
K2-8,k2-8,0.79,0.04,0.03,0.74,0.02,0.03,,,,,,-0.01,0.13,0.11,4890.0,58.0,38.0,,14.384,,,
EPIC 201637175 ,epic201637175,0.6,0.07,0.07,0.57,0.06,0.06,,,,,,0.03,0.08,0.08,3830.0,100.0,100.0,,17.0,,,
EPIC 201713348,epic201713348,0.8,0.04,0.04,0.74,0.04,0.04,,,,,,-0.03,0.04,0.04,4924.0,60.0,60.0,,11.8,,,
EPIC 203826436,epic203826436,0.9,0.05,0.05,0.85,0.04,0.04,,,,,,-0.03,0.04,0.04,5413.0,60.0,60.0,,12.52,,,
EPIC 204221263,epic204221263,1.07,0.05,0.05,1.1,0.09,0.09,,,,,,0.28,0.04,0.04,5757.0,60.0,60.0,,11.39,,,
EPIC 205071984,epic205071984,0.87,0.04,0.04,0.87,0.05,0.05,,,,,,0.0,0.04,0.04,5315.0,60.0,60.0,,12.31,,,
EPIC 211822797,epic211822797,0.61,0.02,0.02,0.59,0.03,0.03,0.8,,,,,,,,3880.0,67.0,67.0,,,,,
EPIC 211913977,epic211913977,0.8,0.06,0.06,0.73,0.03,0.03,0.8,,,,,,,,4819.0,45.0,45.0,,,,,
EPIC 211916756,epic211916756,0.43,0.02,0.02,0.44,0.02,0.02,0.8,,,,,,,,3410.0,65.0,65.0,,,,,
EPIC 211969807,epic211969807,0.51,50.02,50.02,0.48,0.02,0.02,0.8,,,,,,,,3660.0,67.0,67.0,,,,,
EPIC 211970147,epic211970147,0.77,0.06,0.06,0.71,0.03,0.03,0.8,,,,,,,,4695.0,50.0,50.0,,,,,
EPIC 211990866,epic211990866,1.18,0.09,0.09,1.19,0.05,0.05,0.8,,,,,,,,6120.0,90.0,90.0,,,,,
EPIC 219388192,epic219388192,0.99,0.05,0.05,1.01,0.04,0.04,3.9,1.9,1.9,1.9,1.9,0.03,0.08,0.08,5850.0,85.0,85.0,,12.5,,,
EPIC 220504338,epic220504338,1.007,0.039,0.049,1.047,0.08,0.11,5.9,3.4,2.7,3.4,2.7,0.18,0.062,0.062,5627.0,88.0,88.0,,13.68,,,
EPIC 220674823,epic220674823,0.93,0.01,0.01,0.83,0.04,0.04,,,,,,-0.28,0.25,0.25,5814.0,18.0,18.0,,12.0,,,
EPIC-206011691,epic-206011691,0.64,0.11,0.11,0.6,0.1,0.1,,,,,,-0.11,0.13,0.13,4043.0,375.0,375.0,,12.85,,,
EPIC-210490365,epic-210490365,0.294,0.021,0.021,0.295,0.02,0.02,,,,,,0.15,0.03,0.03,3180.0,60.0,60.0,,15.88,,,
FU Tau,futau,0.05,,,,,,0.001,,,,,,,,2838.0,,,,,,,
FW Tau,fwtau,0.26,0.18,0.18,,,,0.0018,0.001,0.0005,0.001,0.0005,,,,3270.0,70.0,70.0,,15.5,,,
Fomalhaut,fomalhaut,1.92,0.02,0.02,1.842,0.019,0.019,0.44,0.04,0.04,0.04,0.04,,,,8590.0,73.0,73.0,,1.16,,,
 H2,h2,-0.12,0.15,0.15,0.181,0.019,0.019,0.016,0.016,m3.5,0.016,m3.5,12.04,0.24,0.24,5.0,0.0,10.0,,gj1132,,,
GJ 1214,gj1214,0.15,0.011,0.011,0.216,0.012,0.012,6.0,3.0,3.0,3.0,3.0,0.39,0.15,0.15,3026.0,150.0,150.0,,14.71,,,
GJ 15 A,gj15a,0.375,0.057,0.057,0.3863,0.0021,0.0021,,,,,,-0.32,0.17,0.17,3567.0,11.0,11.0,,8.08,,,
GJ 160.2,gj160.2,0.69,,,,,,,,,,,,,,4347.0,,,,9.675,,,
GJ 163,gj163,0.4,,,,,,3.0,2.0,7.0,2.0,7.0,,,,,,,,11.8,,,
GJ 176,gj176,0.49,0.014,0.014,0.53,,,,,,,,-0.1,0.2,0.2,,,,,9.97,,,
GJ 179,gj179,0.357,0.03,0.03,0.38,0.02,0.02,,,,,,0.3,0.1,0.1,3370.0,100.0,100.0,,11.96,,,
GJ 180,gj180,0.43,,,,,,,,,,,,,,3371.0,,,,10.894,,,
GJ 229,gj229,0.58,,,,,,,,,,,,,,3564.0,,,,8.125,,,
GJ 27.1,gj27.1,0.53,,,,,,,,,,,,,,3542.0,,,,11.401,,,
 HIP 1292 b,hip1292b,0.17,0.1,0.08,0.08,0.9,,0.9,,,,,,17.62,0.17,g6v,8.77,,,,,,
GJ 317,gj317,0.42,0.05,0.05,,,,,,,,,0.36,0.2,0.2,3510.0,50.0,50.0,,12.0,,,
GJ 328,gj328,0.69,0.05,0.05,,,,,,,,,0.0,0.15,0.15,3900.0,100.0,100.0,,9.98,,,
GJ 3293,gj3293,0.42,,,0.404,0.027,0.027,,,,,,0.02,0.09,0.09,3466.0,49.0,49.0,,11.96,,,
GJ 3341,gj3341,0.47,,,0.349,0.027,0.027,,,,,,-0.09,0.09,0.09,3526.0,49.0,49.0,,12.08,,,
GJ 3470,gj3470,0.539,0.047,0.047,0.55,0.012,0.012,1.0,0.7,0.7,0.7,0.7,0.2,0.1,0.1,3600.0,100.0,100.0,,12.27,,,
GJ 3634,gj3634,0.45,0.05,0.05,0.43,0.03,0.03,,,,,,,,,,,,,11.95,,,
GJ 3998,gj3998,0.5,0.05,0.05,0.49,0.05,0.05,,,,,,-0.16,0.09,0.09,3722.0,68.0,68.0,,10.8,,,
GJ 422,gj422,0.35,,,,,,,,,,,,,,3323.0,,,,11.516,,,
GJ 433,gj433,0.48,,,,,,,,,,,-0.22,,,3600.0,,,,9.79,,,
 H,h,,-0.32,0.12,0.12,0.452,0.012,0.464,0.011,0.011,0.011,0.011,,10.2,,m2.5,6.0,5.0,,"h2o""",,,
GJ 504,gj504,1.22,0.08,0.08,,,,0.16,0.35,0.06,0.35,0.06,0.28,0.03,0.03,6234.0,25.0,25.0,,5.22,,,
GJ 536,gj536,0.52,0.05,0.05,0.5,0.05,0.05,,,,,,-0.08,0.09,0.09,3685.0,68.0,68.0,,,,,
GJ 581,gj581,0.31,0.02,0.02,0.3,0.01,0.01,8.0,1.0,1.0,1.0,1.0,-0.135,,,3498.0,56.0,56.0,,10.55,,,
GJ 649,gj649,0.54,0.05,0.05,,,,,,,,,0.08,0.06,0.06,3700.0,60.0,60.0,,9.7,,,
GJ 667 C,gj667c,0.33,,,,,,2.0,nan,inf,nan,inf,-0.55,,,3600.0,,,,10.22,,,
GJ 674,gj674,0.35,,,,,,0.55,0.45,0.45,0.45,0.45,-0.28,,,3600.0,100.0,100.0,,9.38,,,
GJ 676 A,gj676a,0.71,0.04,0.04,,,,,,,,,0.23,0.1,0.1,,,,,9.59,,,
GJ 682,gj682,0.27,,,,,,,,,,,,,,3028.0,,,,,,,
GJ 687,gj687,0.413,0.041,0.041,0.4183,0.007,0.007,,,,,,,,,3413.0,28.0,28.0,,9.15,,,
GJ 758,gj758,0.97,,,0.88,,,8.2,0.5,0.5,0.5,0.5,0.18,0.04,0.04,5425.0,,,,6.36,,,
GJ 785,gj785,0.78,0.02,0.02,0.68,0.02,0.02,,,,,,0.08,0.03,0.03,5144.0,50.0,50.0,,6.13,,,
GJ 832,gj832,0.45,0.05,0.05,,,,,,,,,-0.31,0.2,0.2,,,,,8.67,,,
GJ 849,gj849,0.49,,,0.52,0.07,0.07,,,,,,0.22,,,,,,,10.37,,,
