star_name,star_name,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_age_error_min,star_age_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_teff,star_teff_error_min,star_teff_error_max,Spectral type,mag_v,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
HAT-P-27-WASP-40,hat-p-27-wasp-40,0.945,0.035,0.035,0.898,0.039,0.039,4.4,2.6,2.6,2.6,2.6,0.29,0.1,0.1,5300.0,90.0,90.0,,12.21,,,
HAT-P-28,hat-p-28,1.025,0.047,0.047,1.103,0.069,0.069,6.1,1.9,1.9,1.9,1.9,0.12,0.08,0.08,5680.0,90.0,90.0,,13.03,,,
HAT-P-29,hat-p-29,1.207,0.046,0.046,1.224,0.075,0.075,2.2,1.0,1.0,1.0,1.0,0.21,0.08,0.08,6087.0,88.0,88.0,,11.9,,,
HAT-P-3,hat-p-3,0.917,0.03,0.03,0.799,0.039,0.039,1.6,1.3,1.3,1.3,1.3,0.41,0.08,0.08,5224.0,69.0,69.0,,11.86,,,
HAT-P-30-WASP-51,hat-p-30-wasp-51,1.18,0.03,0.03,1.33,0.03,0.03,1.0,0.5,0.5,0.5,0.5,-0.08,0.08,0.08,6250.0,100.0,100.0,,10.42,,,
HAT-P-31,hat-p-31,1.218,0.063,0.063,1.36,0.18,0.18,3.17,1.11,1.11,1.11,1.11,0.15,0.08,0.08,6065.0,100.0,100.0,,11.66,,,
HAT-P-32,hat-p-32,1.176,0.07,0.07,1.387,0.067,0.067,3.8,0.5,0.5,0.5,0.5,-0.16,0.08,0.08,6001.0,88.0,88.0,,11.29,,,
HAT-P-33,hat-p-33,1.403,0.096,0.096,1.777,0.28,0.28,2.4,0.4,0.4,0.4,0.4,0.05,0.08,0.08,6401.0,88.0,88.0,,11.89,,,
HAT-P-34,hat-p-34,1.36,0.01,0.01,1.45,0.11,0.11,1.7,0.5,0.5,0.5,0.5,0.08,0.05,0.05,6509.0,51.0,51.0,,10.16,,,
HAT-P-35,hat-p-35,1.236,0.048,0.048,1.435,0.084,0.084,3.5,0.5,0.5,0.5,0.5,0.11,0.08,0.08,6096.0,88.0,88.0,,12.46,,,
HAT-P-36,hat-p-36,1.022,0.049,0.049,1.096,0.056,0.056,6.6,1.8,1.8,1.8,1.8,0.26,0.08,0.08,5580.0,100.0,100.0,,12.26,,,
HAT-P-37,hat-p-37,0.929,0.043,0.043,0.877,0.044,0.044,3.6,2.2,2.2,2.2,2.2,0.03,0.1,0.1,5500.0,100.0,100.0,,13.23,,,
HAT-P-38,hat-p-38,0.886,0.044,0.044,0.923,0.067,0.067,10.1,4.8,4.8,4.8,4.8,0.06,0.1,0.1,5330.0,100.0,100.0,,12.56,,,
HAT-P-39,hat-p-39,1.404,0.051,0.051,1.625,0.062,0.081,2.0,0.4,0.4,0.4,0.4,0.19,0.1,0.1,6430.0,100.0,100.0,,11.422,,,
HAT-P-4,hat-p-4,1.26,0.14,0.14,1.59,0.07,0.07,4.2,-0.6,-0.6,-0.6,-0.6,0.2,0.08,0.08,5890.0,67.0,67.0,,11.2,,,
HAT-P-40,hat-p-40,1.512,0.109,0.045,2.206,0.061,0.061,2.7,0.3,0.9,0.3,0.9,0.22,0.1,0.1,6080.0,100.0,100.0,,11.699,,,
HAT-P-41,hat-p-41,1.28,0.09,0.09,1.19,0.08,0.08,2.2,0.4,0.4,0.4,0.4,0.13,0.05,0.05,6479.0,51.0,51.0,,11.087,,,
HAT-P-42,hat-p-42,1.179,0.067,0.067,1.528,0.136,0.136,5.1,0.7,1.8,0.7,1.8,0.27,0.08,0.08,5743.0,50.0,50.0,,12.168,,,
HAT-P-43,hat-p-43,1.048,0.042,0.031,1.104,0.022,0.036,5.7,1.1,1.9,1.1,1.9,0.23,0.08,0.08,5645.0,74.0,74.0,,13.36,,,
HAT-P-44,hat-p-44,0.939,0.041,0.041,0.979,0.11,0.055,8.9,3.9,3.9,3.9,3.9,0.33,0.1,0.1,5295.0,100.0,100.0,,13.212,,,
HAT-P-45,hat-p-45,1.259,0.058,0.058,1.319,0.072,0.155,2.0,0.8,0.8,0.8,0.8,0.07,0.1,0.1,6330.0,100.0,100.0,,12.794,,,
HAT-P-46,hat-p-46,1.284,0.06,0.095,1.396,0.136,0.293,2.5,1.0,0.7,1.0,0.7,0.3,0.1,0.1,6120.0,100.0,100.0,,11.936,,,
HAT-P-49,hat-p-49,1.543,0.051,0.051,1.833,0.138,0.076,1.5,0.2,0.2,0.2,0.2,0.074,0.08,0.08,6820.0,52.0,52.0,,10.21,,,
HAT-P-5,hat-p-5,1.163,0.065,0.065,1.137,0.007,0.007,1.7,1.4,1.4,1.4,1.4,0.24,0.15,0.15,5960.0,100.0,100.0,,12.0,,,
HAT-P-50,hat-p-50,1.273,0.049,0.115,1.698,0.071,0.071,3.37,1.44,0.27,1.44,0.27,-0.18,0.08,0.08,6280.0,49.0,49.0,,11.76,,,
HAT-P-51,hat-p-51,0.976,0.028,0.028,1.041,0.038,0.029,8.2,1.7,1.7,1.7,1.7,0.27,0.08,0.08,5449.0,50.0,50.0,,13.44,,,
HAT-P-52,hat-p-52,0.887,0.027,0.027,0.893,0.047,0.047,9.4,4.1,4.1,4.1,4.1,0.28,0.08,0.08,5131.0,50.0,50.0,,14.07,,,
HAT-P-53,hat-p-53,1.093,0.043,0.043,1.209,0.081,0.062,4.67,1.45,0.83,1.45,0.83,0.0,0.08,0.08,5956.0,50.0,50.0,,13.73,,,
HAT-P-54,hat-p-54,0.645,0.02,0.02,0.617,0.013,0.013,3.9,2.1,4.3,2.1,4.3,-0.127,0.08,0.08,4390.0,50.0,50.0,,13.505,,,
HAT-P-55,hat-p-55,1.013,0.037,0.037,1.011,0.036,0.036,4.2,1.7,1.7,1.7,1.7,-0.03,0.08,0.08,5808.0,50.0,50.0,,13.207,,,
HAT-P-56,hat-p-56,1.296,0.036,0.036,1.428,0.03,0.03,2.01,0.35,0.35,0.35,0.35,-0.077,0.08,0.08,6566.0,50.0,50.0,,10.91,,,
HAT-P-57,hat-p-57,1.47,0.12,0.12,1.5,0.05,0.05,1.0,0.51,0.67,0.51,0.67,-0.25,0.25,0.25,7500.0,250.0,250.0,,10.47,,,
HAT-P-6,hat-p-6,1.29,0.06,0.06,1.46,0.06,0.06,2.3,0.7,0.7,0.7,0.7,-0.13,0.08,0.08,6570.0,80.0,80.0,,10.5,,,
HAT-P-65,hat-p-65,1.212,0.05,0.05,1.86,0.01,0.01,5.46,0.6,0.6,0.6,0.6,0.1,0.08,0.08,5835.0,51.0,51.0,,13.15,,,
HAT-P-66,hat-p-66,1.255,0.0054,0.107,1.881,0.095,0.151,4.66,0.12,0.52,0.12,0.52,0.035,0.08,0.08,6002.0,50.0,50.0,,13.0,,,
HAT-P-7,hat-p-7,1.51,0.05,0.04,2.0,0.02,0.01,2.07,0.23,0.28,0.23,0.28,0.13,,,6259.0,32.0,32.0,,10.5,,,
HAT-P-8,hat-p-8,1.28,0.04,0.04,1.58,0.06,0.06,3.4,1.0,1.0,1.0,1.0,0.01,0.08,0.08,6200.0,80.0,80.0,,10.17,,,
HAT-P-9,hat-p-9,1.28,0.13,0.13,1.32,0.07,0.07,1.6,1.4,1.4,1.4,1.4,0.12,0.2,0.2,6350.0,150.0,150.0,,,,,
HATS-1,hats-1,0.986,0.054,0.054,1.038,0.075,0.075,6.0,2.8,2.8,2.8,2.8,-0.06,0.12,0.12,5870.0,100.0,100.0,,12.05,,,
HATS-10,hats-10,1.1,0.054,0.054,1.105,0.055,0.04,3.3,1.7,1.7,1.7,1.7,0.15,0.1,0.1,5880.0,120.0,120.0,,13.1,,,
HATS-11,hats-11,1.0,0.06,0.06,1.44,0.06,0.06,7.7,1.6,2.2,1.6,2.2,-0.39,0.06,0.06,6060.0,150.0,150.0,,14.0,,,
HATS-12,hats-12,1.49,0.07,0.07,2.21,0.2,0.2,2.36,0.3,0.3,0.3,0.3,-0.1,0.04,0.04,6408.0,75.0,75.0,,12.76,,,
HATS-13,hats-13,0.962,0.029,0.029,0.887,0.019,0.019,2.5,1.7,1.7,1.7,1.7,0.05,0.06,0.06,5523.0,69.0,69.0,,13.89,,,
HATS-14,hats-14,0.967,0.024,0.024,0.933,0.023,0.015,4.9,1.7,1.7,1.7,1.7,0.33,0.06,0.06,5346.0,60.0,60.0,,13.79,,,
HATS-15,hats-15,0.871,0.023,0.023,0.922,0.027,0.027,11.0,2.0,1.4,2.0,1.4,0.0,0.05,0.05,5311.0,77.0,77.0,,14.774,,,
HATS-16,hats-16,0.97,0.035,0.035,1.238,0.127,0.097,9.5,1.8,1.8,1.8,1.8,0.1,0.05,0.05,5738.0,79.0,79.0,,13.834,,,
HATS-17,hats-17,1.131,0.03,0.03,1.091,0.046,0.07,2.1,1.3,1.3,1.3,1.3,0.3,0.03,0.03,5846.0,78.0,78.0,,12.4,,,
HATS-18,hats-18,1.037,0.047,0.047,1.02,0.031,0.057,4.2,,,,,0.28,0.08,0.08,5600.0,120.0,120.0,,14.0,,,
HATS-19,hats-19,1.303,0.83,0.83,1.74,0.25,0.25,3.94,0.5,0.96,0.5,0.96,0.24,0.05,0.05,5896.0,77.0,77.0,,13.0,,,
HATS-2,hats-2,0.882,0.037,0.037,0.898,0.019,0.019,9.7,2.9,2.9,2.9,2.9,0.15,0.05,0.05,5227.0,95.0,95.0,,13.562,,,
HATS-20,hats-20,0.91,0.026,0.026,0.892,0.04,0.057,6.4,3.4,3.4,3.4,3.4,0.03,0.05,0.05,5406.0,49.0,49.0,,13.77,,,
HATS-21,hats-21,1.08,0.026,0.026,1.021,0.036,0.089,2.3,1.7,1.7,1.7,1.7,0.3,0.04,0.04,5695.0,67.0,67.0,,12.2,,,
HATS-22,hats-22,0.759,0.019,0.019,0.689,0.018,0.028,4.6,4.0,5.8,4.0,5.8,0.0,0.04,0.04,4803.0,55.0,55.0,,13.46,,,
HATS-23,hats-23,1.121,0.046,0.046,1.199,0.081,0.061,4.2,1.5,1.5,1.5,1.5,0.28,0.07,0.07,5780.0,120.0,120.0,,13.9,,,
HATS-24,hats-24,1.212,0.033,0.033,1.172,0.033,0.033,0.88,0.045,0.067,0.045,0.067,0.0,0.05,0.05,6346.0,81.0,81.0,,12.8,,,
HATS-25,hats-25,0.994,0.035,0.035,1.107,0.069,0.069,7.5,1.9,1.9,1.9,1.9,0.02,0.05,0.05,5715.0,73.0,73.0,,13.1,,,
HATS-26,hats-26,1.299,0.056,0.113,2.04,0.11,0.15,4.04,0.94,0.62,0.94,0.62,-0.02,0.05,0.05,6071.0,81.0,81.0,,12.955,,,
HATS-27,hats-27,1.415,0.048,0.048,1.74,0.1,0.17,2.3,0.22,0.22,0.22,0.22,0.09,0.04,0.04,6438.0,64.0,64.0,,12.8,,,
HATS-28,hats-28,0.929,0.036,0.036,0.922,0.04,0.04,6.2,2.8,2.8,2.8,2.8,0.01,0.06,0.06,5498.0,84.0,84.0,,,,,
HATS-29,hats-29,1.032,0.049,0.049,1.073,0.038,0.038,5.5,1.7,2.6,1.7,2.6,0.16,0.08,0.08,5670.0,110.0,110.0,,12.6,,,
HATS-3,hats-3,1.209,0.036,0.036,1.404,0.03,0.03,3.2,0.4,0.6,0.4,0.6,-0.157,0.07,0.07,6351.0,76.0,76.0,,11.44,,,
HATS-30,hats-30,1.093,0.031,0.031,1.061,0.039,0.039,2.3,1.2,1.2,1.2,1.2,0.06,0.05,0.05,5943.0,70.0,70.0,,12.192,,,
HATS-31,hats-31,1.275,0.096,0.096,1.87,0.18,0.18,4.3,1.1,1.1,1.1,1.1,0.0,0.07,0.07,6050.0,120.0,120.0,,13.1,,,
HATS-32,hats-32,1.099,0.044,0.044,1.097,0.063,0.098,3.5,1.8,1.8,1.8,1.8,0.39,0.05,0.05,5700.0,110.0,110.0,,14.38,,,
HATS-33,hats-33,1.062,0.032,0.032,1.022,0.037,0.05,3.0,0.17,0.17,0.17,0.17,0.29,0.05,0.05,5659.0,85.0,85.0,,11.9,,,
HATS-34,hats-34,0.955,0.031,0.031,0.98,0.047,0.047,7.7,2.7,2.7,2.7,2.7,0.25,0.07,0.07,5380.0,73.0,73.0,,13.85,,,
HATS-35,hats-35,1.317,0.4,0.4,1.433,0.038,0.056,2.13,0.51,0.51,0.51,0.51,0.21,0.06,0.06,6300.0,100.0,100.0,,12.56,,,
HATS-4,hats-4,1.001,0.02,0.02,0.925,0.022,0.022,2.1,1.6,1.6,1.6,1.6,0.43,0.08,0.08,5403.0,50.0,50.0,,13.5,,,
HATS-5,hats-5,0.936,0.028,0.028,0.871,0.023,0.023,3.6,2.6,1.9,2.6,1.9,0.19,0.08,0.08,5304.0,50.0,50.0,,12.63,,,
HATS-6,hats-6,0.574,0.027,0.02,0.57,0.011,0.011,,,,,,,,,3724.0,18.0,18.0,,15.2,,,
HATS-7,hats-7,0.849,0.027,0.027,0.815,0.035,0.049,7.8,5.0,5.0,5.0,5.0,0.25,0.08,0.08,4985.0,50.0,50.0,,13.34,,,
HATS-8,hats-8,1.056,0.037,0.037,1.086,0.059,0.149,5.1,1.7,1.7,1.7,1.7,0.21,0.08,0.08,5679.0,50.0,50.0,,14.03,,,
HATS-9,hats-9,1.03,0.04,0.04,1.5,0.1,0.04,10.8,1.5,1.5,1.5,1.5,0.34,0.05,0.05,5336.0,70.0,70.0,,13.3,,,
HD 100655,hd100655,2.4,0.4,0.4,9.3,1.1,1.1,,,,,,0.15,0.12,0.12,4861.0,110.0,110.0,,6.45,,,
HD 100777,hd100777,1.0,0.1,0.1,,,,2.0,nan,inf,nan,inf,0.27,0.03,0.03,5582.0,24.0,24.0,,8.42,,,
HD 10180,hd10180,1.06,0.05,0.05,,,,4.3,0.5,0.5,0.5,0.5,0.08,0.01,0.01,5911.0,19.0,19.0,,7.33,,,
HD 101930,hd101930,0.74,0.05,0.05,,,,5.39,,,,,0.17,0.06,0.06,5079.0,62.0,62.0,,8.21,,,
HD 102117,hd102117,1.03,0.05,0.05,1.27,,,6.21,,,,,0.3,0.03,0.03,5672.0,22.0,22.0,,7.47,,,
HD 102195,hd102195,0.926,0.016,0.016,0.835,0.016,0.016,2.4,1.8,1.8,1.8,1.8,0.05,0.05,0.05,5291.0,34.0,34.0,,8.05,,,
HD 102272,hd102272,1.9,0.3,0.3,10.1,4.6,4.6,,,,,,0.26,0.08,0.08,4908.0,35.0,35.0,,8.71,,,
HD 102329,hd102329,1.95,0.14,0.14,6.3,0.1,0.1,1.6,0.4,0.4,0.4,0.4,0.3,0.03,0.03,4830.0,44.0,44.0,,8.04,,,
HD 102365,hd102365,0.85,,,,,,9.0,3.0,3.0,3.0,3.0,-0.28,0.07,0.07,5650.0,100.0,100.0,,4.89,,,
HD 102956,hd102956,1.68,0.11,0.11,4.4,0.1,0.1,2.3,5.0,5.0,5.0,5.0,0.19,0.04,0.04,5054.0,44.0,44.0,,8.0,,,
HD 103197,hd103197,0.9,,,,,,9.1,,,,,0.21,0.04,0.04,5303.0,58.0,58.0,,9.41,,,
HD 103720,hd103720,0.794,0.04,0.04,0.73,0.02,0.02,3.8,3.7,3.7,3.7,3.7,-0.02,0.06,0.06,5017.0,88.0,88.0,,9.49,,,
HD 103774,hd103774,1.335,0.06,0.06,,,,1.05,0.64,0.64,0.64,0.64,0.28,0.06,0.06,6489.0,77.0,77.0,,7.12,,,
HD 104067,hd104067,0.791,0.02,0.02,,,,4.33,3.99,3.99,3.99,3.99,-0.06,0.05,0.05,4969.0,72.0,72.0,,7.93,,,
HD 10442,hd10442,1.56,0.09,0.09,,,,,,,,,0.11,0.03,0.03,5034.0,44.0,44.0,,7.84,,,
HD 104985,hd104985,1.6,,,10.87,0.36,0.36,2.95,0.65,0.65,0.65,0.65,-0.35,,,4786.0,,,,5.79,,,
HD 106252,hd106252,0.96,,,1.09,,,5.02,,,,,-0.078,,,5754.0,,,,7.36,,,
HD 106270,hd106270,1.32,0.092,0.092,2.5,0.1,0.1,4.3,0.6,0.6,0.6,0.6,0.08,0.03,0.03,5638.0,44.0,44.0,,7.73,,,
HD 10647,hd10647,1.1,,,1.1,,,4.8,2.2,2.2,2.2,2.2,-0.078,,,6039.0,,,,5.52,,,
HD 106515 A,hd106515a,0.91,0.03,0.03,,,,6.0,2.0,2.0,2.0,2.0,0.01,,,5232.0,,,,7.35,,,
HD 106906,hd106906,1.5,0.1,0.1,,,,0.013,0.002,0.002,0.002,0.002,,,,6516.0,165.0,165.0,,7.8,,,
HD 10697,hd10697,1.15,0.03,0.03,1.72,0.17,0.17,6.9,0.6,0.6,0.6,0.6,0.1,0.06,0.06,5641.0,80.0,80.0,,6.29,,,
HD 107148,hd107148,1.12,,,,,,5.6,,,,,0.314,,,5797.0,,,,8.01,,,
HD 108147,hd108147,1.19,,,1.22,,,1.98,,,,,0.18,,,6067.0,,,,6.99,,,
HD 108341,hd108341,0.843,0.024,0.024,0.79,0.03,0.03,4.9,4.1,4.1,4.1,4.1,0.04,0.06,0.06,5122.0,79.0,79.0,,9.36,,,
HD 108863,hd108863,1.85,0.13,0.13,5.6,0.1,0.1,1.8,0.4,0.4,0.4,0.4,0.2,0.03,0.03,4956.0,44.0,44.0,,7.89,,,
HD 108874,hd108874,1.0,,,1.22,,,7.26,,,,,0.14,,,5407.0,,,,8.76,,,
HD 109246,hd109246,1.01,0.11,0.11,1.02,0.07,0.07,,,,,,0.1,,,5844.0,21.0,21.0,,8.77,,,
HD 109271,hd109271,1.047,0.024,0.024,,,,7.3,1.2,1.2,1.2,1.2,0.1,0.05,0.05,5783.0,62.0,62.0,,8.05,,,
HD 109749,hd109749,1.2,0.1,0.1,,,,10.3,2.9,2.9,2.9,2.9,0.25,0.05,0.05,5610.0,,,,8.1,,,
HD 110014,hd110014,2.17,0.28,0.28,20.9,1.1,1.1,0.95,0.4,0.4,0.4,0.4,0.19,0.05,0.05,4445.0,70.0,70.0,,4.66,,,
HD 111232,hd111232,0.78,,,,,,5.2,,,,,-0.36,0.04,0.04,5494.0,,,,7.61,,,
HD 113337,hd113337,1.4,0.14,0.14,1.5,0.15,0.15,0.15,0.05,0.1,0.05,0.1,0.07,,,6577.0,16.0,16.0,,6.0,,,
HD 113538,hd113538,0.585,0.05,0.05,0.53,0.02,0.02,4.3,4.0,4.0,4.0,4.0,-0.24,0.06,0.06,4462.0,145.0,145.0,,9.06,,,
HD 114386,hd114386,0.75,,,0.76,,,2.19,,,,,0.0,,,4819.0,,,,8.73,,,
HD 114613,hd114613,1.364,,,,,,,,,,,0.18,,,5729.0,17.0,17.0,,4.85,,,
HD 114729,hd114729,0.93,,,1.46,,,4.58,,,,,-0.22,,,5662.0,,,,6.69,,,
HD 114762,hd114762,0.84,,,1.24,0.1,0.1,11.8,3.9,3.9,3.9,3.9,-0.71,0.08,0.08,5934.0,80.0,80.0,,7.3,,,
HD 114783,hd114783,0.92,,,0.78,,,3.7,,,,,0.33,,,5105.0,,,,7.57,,,
HD 11506,hd11506,1.19,0.1,0.1,1.38,0.15,0.15,5.4,1.6,1.6,1.6,1.6,0.31,0.03,0.03,6058.0,51.0,51.0,,7.51,,,
HD 1160,hd1160,,,,,,,0.05,0.04,0.04,0.04,0.04,-0.3,,,,,,,7.12,,,
HD 116029,hd116029,1.58,0.11,0.11,4.6,0.1,0.1,2.7,0.5,0.5,0.5,0.5,0.18,0.03,0.03,4951.0,44.0,44.0,,8.04,,,
HD 117207,hd117207,1.07,,,1.09,,,6.68,2.2,2.2,2.2,2.2,0.27,,,5432.0,,,,7.26,,,
HD 11755,hd11755,0.9,0.1,0.1,27.3,1.0,1.0,10.2,1.3,1.3,1.3,1.3,-0.74,0.02,0.02,4312.5,5.0,5.0,,6.87,,,
HD 117618,hd117618,1.05,,,1.19,,,3.88,,,,,0.04,,,5861.0,,,,7.18,,,
HD 118203,hd118203,1.23,0.03,0.03,,,,4.6,0.8,0.8,0.8,0.8,0.1,0.05,0.05,5600.0,150.0,150.0,,8.05,,,
HD 119445,hd119445,3.9,0.4,0.4,20.5,9.3,9.3,,,,,,0.04,0.18,0.18,5083.0,103.0,103.0,,6.304,,,
HD 11964,hd11964,1.125,,,2.18,0.29,0.29,9.56,,,,,0.17,,,5248.0,,,,6.42,,,
HD 11977,hd11977,1.91,0.21,0.21,13.0,,,1.25,0.75,0.75,0.75,0.75,-0.21,0.1,0.1,4975.0,,,,4.7,,,
HD 120084,hd120084,2.39,0.3,0.06,9.12,0.61,0.65,,,,,,0.09,0.05,0.05,4892.0,22.0,22.0,,5.91,,,
HD 121504,hd121504,1.18,,,,,,1.62,,,,,0.16,,,6075.0,,,,7.54,,,
HD 122562,hd122562,1.13,0.13,0.13,,,,,,,,,0.31,0.04,0.04,4958.0,67.0,67.0,,7.69,,,
HD 12484,hd12484,1.01,0.03,0.03,,,,,,,,,0.05,0.02,0.02,5920.0,30.0,30.0,,8.17,,,
HD 125595,hd125595,0.756,0.017,0.017,,,,3.53,3.53,3.53,3.53,3.53,0.02,0.06,0.06,4908.0,,,,9.03,,,
HD 125612,hd125612,1.1,0.07,0.07,1.05,0.08,0.08,2.1,,,,,0.24,0.03,0.03,5897.0,40.0,40.0,,8.31,,,
HD 12648,hd12648,1.2,0.1,0.1,9.2,0.6,0.6,4.5,1.0,1.0,1.0,1.0,-0.57,0.02,0.02,4835.8,7.5,7.5,,6.98,,,
HD 126525,hd126525,,,,,,,,,,,,,,,,,,,7.85,,,
HD 12661,hd12661,1.07,,,1.12,,,7.05,,,,,0.29,0.05,0.05,5742.0,,,,7.44,,,
HD 126614,hd126614,1.145,0.03,0.03,1.09,0.06,0.06,7.2,2.0,2.0,2.0,2.0,0.56,0.04,0.04,5585.0,44.0,44.0,,8.81,,,
HD 128311,hd128311,0.84,,,0.73,,,0.39,,,,,0.08,,,4965.0,,,,7.51,,,
HD 128356,hd128356,0.65,0.05,0.05,0.85,0.02,0.02,10.0,5.0,5.0,5.0,5.0,0.17,0.1,0.1,4875.0,100.0,100.0,,8.29,,,
HD 129445,hd129445,0.99,,,,,,,,,,,0.25,,,,,,,8.8,,,
HD 130322,hd130322,0.79,,,0.83,,,0.35,,,,,-0.02,,,5330.0,,,,8.05,,,
HD 131496,hd131496,1.61,0.11,0.11,4.6,0.1,0.1,2.7,0.5,0.5,0.5,0.5,0.25,0.03,0.03,4927.0,44.0,44.0,,7.96,,,
HD 13189,hd13189,4.5,2.5,2.5,50.39,20.51,20.51,,,,,,,,,,,,,7.57,,,
HD 132406,hd132406,1.09,0.05,0.05,,,,6.4,0.8,0.8,0.8,0.8,0.18,0.05,0.05,5885.0,50.0,50.0,,8.45,,,
HD 132563B,hd132563b,1.01,0.01,0.01,,,,5.0,,,,,-0.19,0.1,0.1,5985.0,100.0,100.0,,9.47,,,
HD 133131 A,hd133131a,0.95,,,,,,9.7,,,,,-0.306,0.016,0.016,5799.0,19.0,19.0,,8.4,,,
HD 133131 B,hd133131b,0.93,,,,,,9.7,,,,,-0.281,0.013,0.013,5805.0,15.0,15.0,,8.42,,,
HD 134060,hd134060,,,,,,,,,,,,,,,,,,,6.29,,,
HD 134113,hd134113,0.81,0.01,0.01,,,,,,,,,-0.74,0.02,0.02,5782.0,22.0,22.0,,8.26,,,
HD 134606,hd134606,,,,,,,,,,,,,,,,,,,6.85,,,
HD 134987,hd134987,1.07,0.08,0.08,1.25,0.04,0.04,9.7,3.7,3.7,3.7,3.7,0.25,0.02,0.02,5740.0,23.0,23.0,,6.45,,,
HD 136352,hd136352,,,,,,,,,,,,,,,,,,,5.65,,,
HD 136418,hd136418,1.33,0.09,0.09,3.4,0.1,0.1,4.0,1.0,1.0,1.0,1.0,-0.07,0.03,0.03,5071.0,44.0,44.0,,7.88,,,
HD 137388,hd137388,0.86,,,0.82,,,6.45,0.74,0.74,0.74,0.74,0.18,0.03,0.03,5240.0,53.0,53.0,,8.71,,,
HD 13808,hd13808,,,,,,,,,,,,,,,,,,,8.38,,,
HD 13908,hd13908,1.29,0.04,0.04,,,,2.9,0.4,0.4,0.4,0.4,0.01,0.04,0.04,6255.0,66.0,66.0,,7.51,,,
HD 13931,hd13931,1.02,0.02,0.02,1.23,0.06,0.06,8.4,2.0,2.0,2.0,2.0,0.03,0.04,0.04,5829.0,44.0,44.0,,7.61,,,
HD 139357,hd139357,1.35,0.24,0.24,11.47,0.75,0.75,3.07,1.47,1.47,1.47,1.47,-0.13,0.05,0.05,4700.0,70.0,70.0,,5.98,,,
HD 14067,hd14067,2.4,0.2,0.2,12.4,1.1,1.1,0.69,0.2,0.2,0.2,0.2,-0.1,0.08,0.08,4815.0,100.0,100.0,,6.51,,,
HD 141399,hd141399,1.07,0.08,0.08,1.46,0.15,0.15,,,,,,0.35,0.03,0.03,5600.0,5340.0,5340.0,,7.2,,,
HD 141937,hd141937,1.1,,,1.06,,,2.55,,,,,0.11,,,5925.0,,,,7.25,,,
HD 142,hd142,1.1,,,0.86,0.34,0.34,5.93,,,,,0.04,0.15,0.15,6180.0,,,,5.7,,,
HD 142022 A,hd142022a,0.99,,,0.705,0.135,0.135,13.3,3.9,3.9,3.9,3.9,0.19,0.04,0.04,5382.0,,,,7.7,,,
HD 142245,hd142245,1.69,0.12,0.12,5.2,0.1,0.1,2.3,0.3,0.3,0.3,0.3,0.23,0.03,0.03,4878.0,44.0,44.0,,7.63,,,
HD 142415,hd142415,1.09,,,1.03,,,1.49,,,,,0.21,0.05,0.05,5834.0,,,,7.34,,,
HD 143105,hd143105,1.51,0.11,0.11,,,,,,,,,0.15,0.04,0.04,6380.0,60.0,60.0,,6.75,,,
HD 143361,hd143361,0.95,,,,,,,,,,,0.29,,,,,,,9.2,,,
HD 143761,hd143761,0.889,0.03,0.03,1.362,0.026,0.026,,,,,,-0.31,0.05,0.05,5627.0,54.0,54.0,,5.4,,,
HD 145377,hd145377,1.12,0.03,0.03,1.14,,,1.3,1.0,1.0,1.0,1.0,0.12,0.01,0.01,6046.0,15.0,15.0,,8.12,,,
HD 145457,hd145457,1.9,0.3,0.3,9.9,0.5,0.5,,,,,,-0.14,0.09,0.09,4757.0,100.0,100.0,,6.57,,,
HD 145934,hd145934,1.748,0.1,0.1,5.38,0.44,0.44,,,,,,,,,,,,,7.6,,,
HD 1461,hd1461,1.02,,,1.095,0.026,0.026,6.3,,,,,0.19,0.01,0.01,5765.0,18.0,18.0,,6.64,,,
HD 147018,hd147018,0.927,0.031,0.031,,,,6.36,4.33,4.33,4.33,4.33,0.1,0.05,0.05,5441.0,55.0,55.0,,8.3,,,
HD 147513,hd147513,0.92,,,1.0,,,0.65,,,,,-0.03,,,5701.0,,,,5.37,,,
HD 147873,hd147873,1.38,0.05,0.05,2.29,0.1,0.1,4.0,3.0,3.0,3.0,3.0,-0.03,0.1,0.1,5972.0,100.0,100.0,,7.96,,,
HD 148156,hd148156,1.22,,,1.21,0.03,0.03,,,,,,0.29,0.02,0.02,6308.0,28.0,28.0,,7.69,,,
HD 148427,hd148427,1.45,0.06,0.06,3.22,0.2,0.2,2.5,,,,,0.154,0.04,0.04,5052.0,44.0,44.0,,6.89,,,
HD 149026,hd149026,1.3,0.1,0.1,1.497,0.069,0.069,2.0,0.8,0.8,0.8,0.8,0.36,0.05,0.05,6147.0,50.0,50.0,,8.15,,,
HD 149143,hd149143,1.1,0.1,0.1,,,,7.6,1.2,1.2,1.2,1.2,0.26,0.05,0.05,5730.0,150.0,150.0,,7.9,,,
HD 1502,hd1502,1.61,0.11,0.11,4.5,0.1,0.1,2.4,0.5,0.5,0.5,0.5,0.09,0.03,0.03,5049.0,44.0,44.0,,8.52,,,
HD 150433,hd150433,,,,,,,,,,,,,,,,,,,7.22,,,
