# name,All planet names,Lists,mass,mass_error_min,mass_error_max,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,orbital_period,orbital_period_error_min,orbital_period_error_max,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,eccentricity,eccentricity_error_min,eccentricity_error_max,Eccentricity lowerlimit,Eccentricity upperlimit,temp_calculated,Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,detection_type,discovered,updated,source (xml)
CoRoT-28 b,CoRoT-28 b,,0.484,0.087,0.087,0.087,0.087,0.955,0.066,0.066,,,5.20851,0.00038,0.00038,,,0.047,0.038,0.055,,,,,,,,Primary Transit,2012,2015-08-17,
CoRoT-29 b,CoRoT-29 b,,0.85,0.2,0.2,0.2,0.2,0.9,0.16,0.16,,,2.85057,6e-06,6e-06,,,0.082,0.081,0.081,,,,,,,,Primary Transit,2012,2015-04-27,
CoRoT-3 b,CoRoT-3 b,,21.77,1.0,1.0,1.0,1.0,1.01,0.07,0.07,,,4.2567994,5e-06,5e-06,,,0.0,,,,,,,,,,Primary Transit,2008,2013-07-08,
CoRoT-33 b,CoRoT-33 b,,59.2,1.84,1.85,1.84,1.85,1.1,0.53,0.53,,,5.819143,1.8e-05,1.8e-05,,,0.07,0.0016,0.0016,,,,,,,,Primary Transit,2015,2015-08-25,
CoRoT-4 b,CoRoT-4 b,,0.72,0.08,0.08,0.08,0.08,1.19,0.05,0.05,,,9.20205,0.00037,0.00037,,,0.0,0.0,0.0,,,,,,,,Primary Transit,2008,2013-06-05,
CoRoT-5 b,CoRoT-5 b,,0.467,0.024,0.047,0.024,0.047,1.33,0.047,0.047,,,4.0378962,1.9e-06,1.9e-06,,,0.09,0.04,0.04,,,,,,,,Primary Transit,2008,2014-05-22,
CoRoT-6 b,CoRoT-6 b,,2.96,0.34,0.34,0.34,0.34,1.166,0.035,0.035,,,8.886593,4e-06,4e-06,,,0.1,inf,nan,,,,,,,,Primary Transit,2009,2013-06-05,
CoRoT-7 b,CoRoT-7 b,,0.0233458137998301,0.00380706667086178,0.00380706667086178,0.00380706667086178,0.00380706667086178,0.148987686658376,0.00802927652649929,0.00802927652649929,,,0.853585,2.4e-05,2.4e-05,,,0.0,,,,,,,,,,Primary Transit,2009,2013-11-05,
CoRoT-7 c,CoRoT-7 c,,0.0264,0.0028,0.0028,0.0028,0.0028,,,,,,3.698,0.003,0.003,,,0.0,,,,,,,,,,Radial Velocity,2009,2010-10-15,
CoRoT-8 b,CoRoT-8 b,,0.215838655885,0.0339804297895101,0.0339804297895101,0.0339804297895101,0.0339804297895101,0.569186491545,0.0196271203981094,0.0196271203981094,,,6.21229,3e-05,3e-05,,,0.0,,,,,,,,,,Primary Transit,2010,2014-08-16,
CoRoT-9 b,CoRoT-9 b,,0.84,0.07,0.07,0.07,0.07,0.94,0.04,0.04,,,95.273804,0.0014,0.0014,,,0.11,0.04,0.04,,,,,,,,Primary Transit,2010,2013-06-05,
DE0823-49 b,DE0823-49 b,,31.5,13.0,13.0,13.0,13.0,,,,,,247.75,0.64,0.64,,,0.36,0.04,0.04,,,,,,,,Imaging,2013,2015-06-01,
DH Tau b,DH Tau b,,11.0,0.003,0.01,0.003,0.01,,,,,,,,,,,,,,,,,,,,,Imaging,2005,2011-03-08,
DP Leo b,DP Leo b,,6.05,0.47,0.47,0.47,0.47,,,,,,10230.0,730.0,730.0,,,0.39,0.13,0.13,,,,,,,,Pulsar,2009,2010-11-18,
DW Lyn b,DW Lyn b,,5.58,1.44,1.44,1.44,1.44,,,,,,,,,,,,,,,,,,,,,Radial Velocity,2013,2016-02-19,
EPIC 201295312 b,EPIC 201295312 b,,0.0379,,,,,0.245,0.021,0.021,,,5.65639,0.00075,0.00075,,,0.12,0.09,0.22,,,,,,,,Primary Transit,2016,2016-02-08,
EPIC 201445392 c,EPIC 201445392 c,,,,,,,0.215,0.029,0.029,,,2.50856,0.00041,0.00041,,,,,,,,801.0,,,,,Primary Transit,2015,2015-12-07,
EPIC 201637175 b,EPIC 201637175 b,,1.4,1.4,0.0,1.4,0.0,0.25,0.25,0.0,,,0.381071,1e-06,1e-06,,,,,,,,,,,,,Primary Transit,2015,2015-07-27,
EPIC 201713348 b,EPIC 201713348 b,,,,,,,0.118,0.008,0.008,,,1.42266,5e-05,5e-05,,,,,,,,,,,,,Primary Transit,2015,2016-06-08,
EPIC 201713348 c,EPIC 201713348 c,,,,,,,0.25,0.028,0.038,,,5.34059,0.0001,0.0001,,,,,,,,,,,,,Primary Transit,2015,2016-06-08,
EPIC 203826436 b,EPIC 203826436 b,,,,,,,0.144,0.015,0.015,,,4.44117,0.00075,0.00075,,,,,,,,,,,,,Primary Transit,2015,2016-06-09,
EPIC 203826436 c,EPIC 203826436 c,,,,,,,0.245,0.024,0.024,,,6.42904,0.00036,0.00036,,,,,,,,,,,,,Primary Transit,2015,2016-06-09,
EPIC 203826436 d,EPIC 203826436 d,,,,,,,0.244,0.032,0.032,,,14.09189,0.00135,0.00135,,,,,,,,,,,,,Primary Transit,2015,2016-06-09,
EPIC 204221263 b,EPIC 204221263 b,,,,,,,0.138,0.014,0.014,,,4.01593,0.0005,0.0005,,,,,,,,,,,,,Primary Transit,2016,2016-06-13,
EPIC 204221263 c,EPIC 204221263 c,,,,,,,0.216,0.026,0.026,,,10.56103,0.0009,0.0009,,,,,,,,,,,,,Primary Transit,2016,2016-06-13,
EPIC 205071984 b,EPIC 205071984 b,,0.0787,0.022,0.023,0.022,0.023,0.48,0.031,0.031,,,8.99218,0.0002,0.0002,,,0.21,0.21,0.22,,,,,,,,Primary Transit,2015,2016-08-21,
EPIC 205071984 c,EPIC 205071984 c,,0.026,0.025799956,0.0261,0.025799956,0.0261,0.31,0.037,0.087,,,20.65614,0.00598,0.00598,,,,,,,,,,,,,Primary Transit,2015,2016-08-21,
EPIC 205071984 d,EPIC 205071984 d,,0.0636,0.0632,0.0632,0.0632,0.0632,0.335,0.036,0.036,,,31.71922,0.00236,0.00236,,,,,,,,,,,,,Primary Transit,2015,2016-08-21,
