Primary star name(from standardize_OEC_star.csv),star_name(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),star_mass(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),star_mass_error_min(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),star_mass_error_max(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),star_radius(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),star_radius_error_min(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),star_radius_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),star_age(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),star_metallicity(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),star_metallicity_error_min(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),star_metallicity_error_max(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),star_teff(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),star_teff_error_min(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),star_teff_error_max(from standardize_EU_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),mag_v(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),Visual magnitude errorminus(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),Visual magnitude errorplus(from standardize_EU_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_EU_Catalogue_Star_Data.csv)
Kepler-80,Kepler-80,0.7220,,0.0160,,0.0160,,0.637,0.738,.022,,0.022,,,,,,,,,,,,,-0.56,,,,,4613,4250.0,4,,74,,,,,15.0,,,,,Kepler-80.xml,
Kepler-800,Kepler-800,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,,,67.0,67.05,60.5,60.48,,,,,,,,,Kepler-800.xml,
Kepler-801,Kepler-801,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.094,0.09,0.093,,,38.9,38.89,46.0,45.95,,,,,,,,,Kepler-801.xml,
Kepler-802,Kepler-802,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.176,0.16,0.157,,,67.2,67.23,,,,,,,,,,,Kepler-802.xml,
Kepler-803,Kepler-803,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.092,0.09,0.085,,,100.9,100.93,99.5,99.49,,,,,,,,,Kepler-803.xml,
Kepler-804,Kepler-804,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.104,,,,,,,93.1,93.12,,,,,,,,,Kepler-804.xml,
Kepler-805,Kepler-805,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.067,0.08,0.082,,,66.4,66.37,55.0,55.03,,,,,,,,,Kepler-805.xml,
Kepler-806,Kepler-806,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.149,,,,,67.8,67.82,,,,,,,,,,,Kepler-806.xml,
Kepler-807,Kepler-807,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.187,0.15,0.149,,,92.1,92.14,92.3,92.34,,,,,,,,,Kepler-807.xml,
Kepler-808,Kepler-808,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.207,0.15,0.154,,,,,51.4,51.38,,,,,,,,,Kepler-808.xml,
Kepler-809,Kepler-809,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.152,0.14,0.135,,,78.2,78.23,78.3,78.27,,,,,,,,,Kepler-809.xml,
Kepler-81,Kepler-81,,,,,,,0.595,0.578,.029,0.012,0.029,0.012,,,,,,,,,,,,-0.2,,,,,4500,4391.0,16,65.0,116,65.0,,,,15.563,,,,,Kepler-81.xml,
Kepler-810,Kepler-810,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.152,,,112.3,112.28,75.9,75.93,,,,,,,,,Kepler-810.xml,
Kepler-811,Kepler-811,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.059,,,,,57.0,57.04,64.5,64.53,,,,,,,,,Kepler-811.xml,
Kepler-812,Kepler-812,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.169,0.13,0.128,,,102.9,102.89,124.8,124.82,,,,,,,,,Kepler-812.xml,
Kepler-813,Kepler-813,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.193,0.16,0.164,,,59.4,59.41,69.7,69.68,,,,,,,,,Kepler-813.xml,
Kepler-814,Kepler-814,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,0.13,0.129,,,87.4,87.42,,,,,,,,,,,Kepler-814.xml,
Kepler-815,Kepler-815,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.026,0.04,0.039,,,43.6,43.63,52.6,52.57,,,,,,,,,Kepler-815.xml,
Kepler-816,Kepler-816,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.185,,,,,88.4,88.41,54.6,54.61,,,,,,,,,Kepler-816.xml,
Kepler-817,Kepler-817,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.14,0.139,,,241.2,241.24,259.9,259.88,,,,,,,,,Kepler-817.xml,
Kepler-818,Kepler-818,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.181,0.15,0.149,,,111.0,110.99,214.1,214.12,,,,,,,,,Kepler-818.xml,
Kepler-819,Kepler-819,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.15,0.149,,,111.9,111.92,,,,,,,,,,,Kepler-819.xml,
Kepler-82,Kepler-82,0.9220,0.85,0.0830,1.66,0.0830,1.66,,,,,,,,,,,,,,,,,,0.15,,0.1,,0.1,,,,,,,,,,,,,,,Kepler-82.xml,
Kepler-820,Kepler-820,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.132,,,148.0,147.98,106.6,106.61,,,,,,,,,Kepler-820.xml,
Kepler-821,Kepler-821,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.155,,,100.8,100.75,130.9,130.91,,,,,,,,,Kepler-821.xml,
Kepler-822,Kepler-822,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.147,0.14,0.137,,,183.6,183.56,139.4,139.36,,,,,,,,,Kepler-822.xml,
Kepler-823,Kepler-823,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.144,0.14,0.143,,,122.1,122.13,,,,,,,,,,,Kepler-823.xml,
Kepler-824,Kepler-824,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.141,0.15,0.152,,,120.5,120.47,85.6,85.61,,,,,,,,,Kepler-824.xml,
Kepler-825,Kepler-825,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.194,0.15,0.153,,,202.4,202.44,247.6,247.56,,,,,,,,,Kepler-825.xml,
Kepler-826,Kepler-826,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.129,0.12,0.121,,,96.5,96.47,90.5,90.49,,,,,,,,,Kepler-826.xml,
Kepler-827,Kepler-827,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.181,0.15,0.151,,,142.5,142.49,,,,,,,,,,,Kepler-827.xml,
Kepler-828,Kepler-828,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.16,0.164,,,,,50.7,50.73,,,,,,,,,Kepler-828.xml,
Kepler-829,Kepler-829,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,0.13,0.132,,,120.3,120.29,92.8,92.85,,,,,,,,,Kepler-829.xml,
Kepler-83,Kepler-83,,,,,,,0.594,0.539,.033,0.011,0.033,0.011,,,,,,,,,,,,-0.2,,,,,4648,4164.0,16,75.0,116,75.0,,,,16.511,,,,,Kepler-83.xml,
Kepler-830,Kepler-830,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.14,0.139,,,,,155.8,155.85,,,,,,,,,Kepler-830.xml,
Kepler-831,Kepler-831,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.098,0.09,0.094,,,59.7,59.69,74.5,74.53,,,,,,,,,Kepler-831.xml,
Kepler-832,Kepler-832,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.185,0.16,0.163,,,133.1,133.14,181.7,181.65,,,,,,,,,Kepler-832.xml,
Kepler-833,Kepler-833,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.104,0.10,0.097,,,37.4,37.41,39.3,39.28,,,,,,,,,Kepler-833.xml,
Kepler-834,Kepler-834,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.099,0.12,0.118,,,,,50.4,50.38,,,,,,,,,Kepler-834.xml,
Kepler-835,Kepler-835,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.143,0.14,0.142,,,71.0,70.98,71.9,71.86,,,,,,,,,Kepler-835.xml,
Kepler-836,Kepler-836,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.183,0.14,0.136,,,83.1,83.11,74.3,74.32,,,,,,,,,Kepler-836.xml,
Kepler-837,Kepler-837,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.204,0.16,0.162,,,58.5,58.52,59.0,58.96,,,,,,,,,Kepler-837.xml,
Kepler-838,Kepler-838,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.191,0.15,0.152,,,66.7,66.67,68.3,68.34,,,,,,,,,Kepler-838.xml,
Kepler-839,Kepler-839,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.069,0.07,0.068,,,78.0,77.96,87.7,87.66,,,,,,,,,Kepler-839.xml,
Kepler-84,Kepler-84,1.0200,1.022,,,,,1.169,1.035,.219,0.501,0.219,0.501,,,,,,,,,,,,-0.2,,,,,6031,6015.0,43,118.0,143,118.0,,,,15.032,,,,,Kepler-84.xml,
Kepler-840,Kepler-840,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.176,0.14,0.136,,,159.6,159.58,113.6,113.64,,,,,,,,,Kepler-840.xml,
Kepler-841,Kepler-841,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.186,,,,,58.0,58.03,58.1,58.08,,,,,,,,,Kepler-841.xml,
Kepler-842,Kepler-842,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,0.15,0.155,,,65.4,65.37,60.9,60.94,,,,,,,,,Kepler-842.xml,
Kepler-843,Kepler-843,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.162,0.13,0.131,,,143.2,143.16,107.0,106.99,,,,,,,,,Kepler-843.xml,
Kepler-844,Kepler-844,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.142,,,,,47.0,46.95,46.1,46.09,,,,,,,,,Kepler-844.xml,
Kepler-845,Kepler-845,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,0.15,0.146,,,57.5,57.47,57.5,57.49,,,,,,,,,Kepler-845.xml,
Kepler-846,Kepler-846,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,0.14,0.136,,,74.3,74.32,69.5,69.45,,,,,,,,,Kepler-846.xml,
Kepler-847,Kepler-847,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.148,,,54.7,54.72,51.6,51.58,,,,,,,,,Kepler-847.xml,
Kepler-848,Kepler-848,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.084,0.08,0.079,,,79.0,79.05,70.3,70.35,,,,,,,,,Kepler-848.xml,
Kepler-849,Kepler-849,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.079,0.10,0.102,,,66.2,66.22,81.2,81.18,,,,,,,,,Kepler-849.xml,
Kepler-85,Kepler-85,0.9410,0.95,0.0650,,0.0650,,0.893,0.84,.130,,0.130,,,,,,,,,,,,,,,,,,5436,5666.0,100,,100,,,,,15.0,,,,,Kepler-85.xml,
Kepler-850,Kepler-850,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.164,,,,,95.5,95.55,,,,,,,,,,,Kepler-850.xml,
Kepler-851,Kepler-851,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.173,0.16,0.156,,,80.9,80.92,87.5,87.48,,,,,,,,,Kepler-851.xml,
Kepler-852,Kepler-852,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.068,0.07,0.074,,,84.5,84.46,85.4,85.43,,,,,,,,,Kepler-852.xml,
Kepler-853,Kepler-853,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.079,0.09,0.093,,,55.2,55.18,60.5,60.54,,,,,,,,,Kepler-853.xml,
Kepler-854,Kepler-854,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.148,,,,,142.2,142.15,110.4,110.41,,,,,,,,,Kepler-854.xml,
Kepler-855,Kepler-855,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.15,0.146,,,156.1,156.07,99.8,99.82,,,,,,,,,Kepler-855.xml,
Kepler-856,Kepler-856,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.142,,,,,84.5,84.49,69.5,69.55,,,,,,,,,Kepler-856.xml,
Kepler-857,Kepler-857,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.12,0.125,,,,,125.5,125.46,,,,,,,,,Kepler-857.xml,
Kepler-858,Kepler-858,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.106,0.11,0.106,,,61.1,61.07,74.3,74.35,,,,,,,,,Kepler-858.xml,
Kepler-859,Kepler-859,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.15,0.148,,,50.7,50.72,48.7,48.72,,,,,,,,,Kepler-859.xml,
Kepler-860,Kepler-860,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.142,0.15,0.155,,,111.9,111.94,,,,,,,,,,,Kepler-860.xml,
Kepler-861,Kepler-861,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,0.15,0.153,,,,,65.2,65.25,,,,,,,,,Kepler-861.xml,
Kepler-862,Kepler-862,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.15,0.146,,,134.3,134.35,86.5,86.45,,,,,,,,,Kepler-862.xml,
Kepler-863,Kepler-863,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.187,0.14,0.143,,,195.6,195.62,317.9,317.91,,,,,,,,,Kepler-863.xml,
Kepler-864,Kepler-864,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.14,0.136,,,63.4,63.35,66.1,66.12,,,,,,,,,Kepler-864.xml,
Kepler-865,Kepler-865,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.14,0.138,,,209.0,208.99,287.7,287.71,,,,,,,,,Kepler-865.xml,
Kepler-866,Kepler-866,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.172,,,,,70.3,70.26,64.2,64.17,,,,,,,,,Kepler-866.xml,
Kepler-867,Kepler-867,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.098,,,68.6,68.57,61.7,61.72,,,,,,,,,Kepler-867.xml,
Kepler-868,Kepler-868,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.189,0.15,0.146,,,68.8,68.84,75.1,75.11,,,,,,,,,Kepler-868.xml,
Kepler-869,Kepler-869,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,0.13,0.129,,,95.3,95.26,72.3,72.29,,,,,,,,,Kepler-869.xml,
Kepler-87,KOI-1574,,,,,,,,,,,,,,,,,,,,0.5,,0.5,,,,,,,,,,,,,,,,15.0,,,,,Kepler-87.xml,
Kepler-870,Kepler-870,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.14,0.136,,,151.0,150.97,139.2,139.18,,,,,,,,,Kepler-870.xml,
Kepler-871,Kepler-871,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.149,,,146.5,146.49,107.0,107.01,,,,,,,,,Kepler-871.xml,
Kepler-872,Kepler-872,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,,,,,,,123.6,123.56,,,,,,,,,Kepler-872.xml,
Kepler-873,Kepler-873,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.139,0.14,0.143,,,135.9,135.88,97.1,97.06,,,,,,,,,Kepler-873.xml,
Kepler-874,Kepler-874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.6,210.62,155.9,155.87,,,,,,,,,Kepler-874.xml,
Kepler-875,Kepler-875,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,0.13,0.129,,,255.8,255.76,259.1,259.15,,,,,,,,,Kepler-875.xml,
Kepler-876,Kepler-876,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.14,0.144,,,63.8,63.75,63.1,63.15,,,,,,,,,Kepler-876.xml,
Kepler-877,Kepler-877,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.16,0.157,,,67.0,67.02,66.4,66.39,,,,,,,,,Kepler-877.xml,
Kepler-878,Kepler-878,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.15,0.152,,,47.7,47.72,49.5,49.53,,,,,,,,,Kepler-878.xml,
Kepler-879,Kepler-879,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.155,0.15,0.149,,,120.2,120.23,96.0,96.05,,,,,,,,,Kepler-879.xml,
Kepler-880,Kepler-88,1.46,1.022,0.13,0.026,0.23,0.023,1.74,0.961,0.29,0.024,0.69,0.02,,2.45,,0.77,,1.2,,0.77,,1.2,0.03,0.37,0.18,0.08,0.12,0.08,6761.0,5513.0,97.7,67.0,98.9,67.0,,,,13.5,,,,,Kepler-880.xml,
Kepler-880,Kepler-880,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.176,0.12,0.123,,,97.7,97.72,98.9,98.88,,,,,,,,,Kepler-880.xml,
Kepler-881,Kepler-881,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.181,0.15,0.149,,,115.9,115.91,102.6,102.59,,,,,,,,,Kepler-881.xml,
Kepler-882,Kepler-882,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,,,,,156.5,156.54,141.6,141.55,,,,,,,,,Kepler-882.xml,
Kepler-883,Kepler-883,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.105,,,61.2,61.19,64.7,64.67,,,,,,,,,Kepler-883.xml,
Kepler-884,Kepler-884,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.088,0.09,0.088,,,52.6,52.56,,,,,,,,,,,Kepler-884.xml,
Kepler-885,Kepler-885,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.083,,,58.4,58.44,71.2,71.23,,,,,,,,,Kepler-885.xml,
Kepler-886,Kepler-886,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.191,0.13,0.127,,,,,,,,,,,,,,,Kepler-886.xml,
Kepler-887,Kepler-887,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.077,0.08,0.079,,,49.7,49.68,62.1,62.11,,,,,,,,,Kepler-887.xml,
Kepler-888,Kepler-888,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.098,0.10,0.096,,,,,66.4,66.36,,,,,,,,,Kepler-888.xml,
Kepler-889,Kepler-889,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.084,,,,,60.0,59.95,75.2,75.23,,,,,,,,,Kepler-889.xml,
Kepler-257,KOI-94,0.7400,1.25,0.1400,0.04,0.1400,0.04,1.037,1.656,.518,,0.518,,,3.9,,0.3,,0.3,,0.3,,0.3,,-0.01,,0.04,,0.04,5180,6116.0,200,30.0,200,30.0,,,,12.4,,,,,Kepler-257.xml,
Kepler-890,Kepler-890,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,0.15,0.152,,,101.3,101.27,84.7,84.71,,,,,,,,,Kepler-890.xml,
Kepler-891,Kepler-891,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.148,0.14,0.145,,,117.4,117.44,115.8,115.84,,,,,,,,,Kepler-891.xml,
Kepler-892,Kepler-892,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.14,0.142,,,45.6,45.63,47.3,47.29,,,,,,,,,Kepler-892.xml,
Kepler-893,Kepler-893,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.183,0.13,0.134,,,,,98.8,98.79,,,,,,,,,Kepler-893.xml,
Kepler-894,Kepler-894,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.202,0.18,0.185,,,60.7,60.71,83.9,83.94,,,,,,,,,Kepler-894.xml,
Kepler-895,Kepler-895,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.112,0.10,0.097,,,38.6,38.65,42.1,42.14,,,,,,,,,Kepler-895.xml,
Kepler-896,Kepler-896,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.168,0.15,0.148,,,52.2,52.21,56.7,56.73,,,,,,,,,Kepler-896.xml,
Kepler-897,Kepler-897,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.156,0.14,0.142,,,144.0,143.96,103.5,103.48,,,,,,,,,Kepler-897.xml,
Kepler-898,Kepler-898,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.083,0.12,0.115,,,38.0,38.02,42.7,42.74,,,,,,,,,Kepler-898.xml,
Kepler-899,Kepler-899,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.178,0.16,0.158,,,192.1,192.07,270.6,270.58,,,,,,,,,Kepler-899.xml,
Kepler-9,Kepler-9,1.07,1.0,0.05,0.1,0.05,0.1,1.02,1.1,0.05,0.09,0.05,0.09,,3.0,,1.0,,1.0,,1.0,,1.0,0.12,0.17,0.04,,0.04,,5777,5722.0,61,,61,,g2,,,,,,,,Kepler-9.xml,
Kepler-90,Kepler-90,1.20,1.13,0.10,0.0,0.10,0.18,,,,,,,0.5300,,0.8800,,0.8800,,,,,,-0.12,-0.17,0.18,0.21,0.18,0.21,6080,5930.0,170,320.0,260,320.0,,,,14.0,,,,,Kepler-90.xml,
Kepler-900,Kepler-900,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,,,,,70.0,69.99,83.8,83.81,,,,,,,,,Kepler-900.xml,
Kepler-901,Kepler-901,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.143,0.14,0.138,,,49.2,49.25,52.6,52.61,,,,,,,,,Kepler-901.xml,
Kepler-902,Kepler-902,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.14,0.142,,,89.0,88.98,73.3,73.28,,,,,,,,,Kepler-902.xml,
Kepler-903,Kepler-903,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.156,0.14,0.144,,,110.7,110.73,77.9,77.93,,,,,,,,,Kepler-903.xml,
Kepler-904,Kepler-904,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.144,0.13,0.129,,,149.1,149.12,119.7,119.73,,,,,,,,,Kepler-904.xml,
Kepler-905,Kepler-905,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.085,,,55.1,55.12,58.6,58.65,,,,,,,,,Kepler-905.xml,
Kepler-906,Kepler-906,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.101,0.10,0.104,,,62.4,62.37,72.6,72.63,,,,,,,,,Kepler-906.xml,
Kepler-907,Kepler-907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.3,82.33,84.3,84.34,,,,,,,,,Kepler-907.xml,
Kepler-908,Kepler-908,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.063,0.06,0.056,,,95.8,95.84,89.4,89.43,,,,,,,,,Kepler-908.xml,
Kepler-909,Kepler-909,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.075,0.08,0.082,,,57.7,57.72,62.0,62.02,,,,,,,,,Kepler-909.xml,
Kepler-91,Kepler-91,,,,,,,,,,,,,,4.86,,2.13,,2.13,,2.13,,2.13,,,,,,,,,,,,,,,,12.9,,,,,Kepler-91.xml,
Kepler-910,Kepler-910,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.084,,,71.7,71.69,78.4,78.42,,,,,,,,,Kepler-910.xml,
Kepler-911,Kepler-911,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.033,0.06,0.056,,,,,58.0,58.03,,,,,,,,,Kepler-911.xml,
Kepler-912,Kepler-912,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,,,,,268.3,268.31,277.9,277.89,,,,,,,,,Kepler-912.xml,
Kepler-913,Kepler-913,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.055,0.03,0.026,,,30.7,30.74,34.1,34.09,,,,,,,,,Kepler-913.xml,
Kepler-914,Kepler-914,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.082,0.08,0.077,,,65.0,65.03,74.2,74.15,,,,,,,,,Kepler-914.xml,
Kepler-915,Kepler-915,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.084,,,51.9,51.89,70.3,70.33,,,,,,,,,Kepler-915.xml,
Kepler-916,Kepler-916,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,,,,,91.4,91.38,98.8,98.84,,,,,,,,,Kepler-916.xml,
Kepler-917,Kepler-917,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.186,0.21,0.211,,,70.7,70.72,120.3,120.33,,,,,,,,,Kepler-917.xml,
Kepler-918,Kepler-918,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.129,0.14,0.137,,,163.8,163.81,134.4,134.42,,,,,,,,,Kepler-918.xml,
Kepler-919,Kepler-919,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.133,0.14,0.145,,,,,,,,,,,,,,,Kepler-919.xml,
Kepler-920,Kepler-92,0.89,1.209,0.05,0.46,0.04,0.34,0.85,1.716,0.05,0.03,0.07,0.019,,5.52,,0.48,,0.51,,0.48,,0.51,0.00,0.17,0.19,0.11,0.15,0.11,5403.0,5871.0,59.4,94.0,62.2,94.0,,,,11.6,,,,,Kepler-920.xml,
Kepler-920,Kepler-920,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.191,0.15,0.147,,,59.4,59.44,62.2,62.18,,,,,,,,,Kepler-920.xml,
Kepler-921,Kepler-921,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.195,0.16,0.161,,,62.0,61.96,70.0,69.96,,,,,,,,,Kepler-921.xml,
Kepler-922,Kepler-922,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.179,0.15,0.152,,,65.4,65.37,64.1,64.06,,,,,,,,,Kepler-922.xml,
Kepler-923,Kepler-923,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.081,0.09,0.088,,,64.6,64.57,,,,,,,,,,,Kepler-923.xml,
Kepler-924,Kepler-924,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.182,0.12,0.124,,,161.3,161.28,124.0,124.02,,,,,,,,,Kepler-924.xml,
Kepler-925,Kepler-925,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.189,0.14,0.142,,,104.9,104.92,62.2,62.23,,,,,,,,,Kepler-925.xml,
