Primary planet name(from standardize_OEC_planet.csv),# name(from standardize_EU_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_EU_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),mass(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),radius(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),radius_error_min(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),radius_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),Radius [Rjup] lowerlimit(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),Radius [Rjup] upperlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),orbital_period(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),orbital_period_error_min(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),orbital_period_error_max(from standardize_EU_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),Orbital period [days] lowerlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),Orbital period [days] upperlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),eccentricity(from standardize_EU_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),eccentricity_error_min(from standardize_EU_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),eccentricity_error_max(from standardize_EU_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),Eccentricity lowerlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),Eccentricity upperlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),temp_calculated(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorminus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorplus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] lowerlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] upperlimit(from standardize_EU_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),detection_type(from standardize_EU_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),discovered(from standardize_EU_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),updated(from standardize_EU_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_EU_Catalogue_Data.csv)
CoRoT-1 b,CoRoT-1 b,confirmedplanets,,,,,,,,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1898,,50,,50,,,,,,transit,primarytransit,,,12/04/05,2014-01-24,CoRoT-1.xml,
CoRoT-10 b,CoRoT-10 b,confirmedplanets,,,,,0.14,,0.14,,0.14,,0.14,,,,0.05,,0.05,,,,,,,,0.0002,,0.0002,,,,,,,,0.04,,0.04,,,,,600.8,,,,,,,,,,transit,primarytransit,,,10/06/14,2014-08-29,CoRoT-10.xml,
CoRoT-11 b,CoRoT-11 b,confirmedplanets,,2.49,2.33,,0.27,,0.27,,0.27,,0.27,1.39,1.43,,0.033,,0.033,,,,,,,,2.1e-05,,2.1e-05,,,,,,,,,,,,,,,1593.4,,,,,,,,,,transit,primarytransit,,,12/07/02,2014-08-17,CoRoT-11.xml,
CoRoT-12 b,CoRoT-12 b,confirmedplanets,,,,,0.065,,0.07,,0.065,,0.07,,,,0.13,,0.13,,,,,,,,1.3e-05,,1.3e-05,,,,,,,,0.042,,0.042,,,,,1318.7,,,,,,,,,,transit,primarytransit,,,10/06/14,2014-08-16,CoRoT-12.xml,
CoRoT-13 b,CoRoT-13 b,confirmedplanets,,,,,0.066,,0.066,,0.066,,0.066,,,,0.014,,0.014,,,,,,,,3e-05,,3e-05,,,,,,,,,,,,,,,1166.5,,,,,,,,,,transit,primarytransit,,,10/07/12,2014-08-16,CoRoT-13.xml,
CoRoT-14 b,CoRoT-14 b,confirmedplanets,,,,,0.6,,0.6,,0.6,,0.6,,,,0.07,,0.07,,,,,,,,0.00013,,0.00013,,,,,,,,,,,,,,,1781.4,,,,,,,,,,transit,primarytransit,,,10/12/22,2014-01-24,CoRoT-14.xml,
CoRoT-16 b,CoRoT-16 b,confirmedplanets,,0.53,0.535,0.8,0.085,0.8,0.085,,0.085,,0.085,,,,0.14,,0.14,,,,,,,,0.0002,,0.0002,,,,,,,,,0.3,0.1,,,,,1085.5,,,,,,,,,,transit,primarytransit,,,11/06/14,2014-01-24,CoRoT-16.xml,
CoRoT-17 b,CoRoT-17 b,confirmedplanets,,2.45,2.43,,0.16,,0.16,,0.16,,0.16,,,,0.07,,0.07,,,,,,,,0.000257,,0.000257,,,,,,,,,,,,,,,1486.4,,,,,,,,,,transit,primarytransit,,,11/05/11,2014-01-24,CoRoT-17.xml,
CoRoT-18 b,CoRoT-18 b,confirmedplanets,,,,,0.38,,0.38,,0.38,,0.38,,,,0.18,,0.18,,,,,,,,2.8e-06,,2.8e-06,,,,,,,,inf,,nan,,,,,1396.0,,,,,,,,,,transit,primarytransit,,,12/04/05,2014-01-24,CoRoT-18.xml,
CoRoT-19 b,CoRoT-19 b,confirmedplanets,,,,,0.06,,0.06,,0.06,,0.06,1.45,1.29,,0.05,,0.05,,,,,,,,2e-05,,2e-05,,,,,,,,0.045,,0.045,,,,,1515.3,,,,,,,,,,transit,primarytransit,,,11/07/05,2014-01-24,CoRoT-19.xml,
CoRoT-2 b,CoRoT-2 b,confirmedplanets,,,,,,,,,0.16,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1392.7,,,,,,,,,,transit,primarytransit,,,12/04/05,2014-01-25,CoRoT-2.xml,
CoRoT-20 b,CoRoT-20 b,confirmedplanets,,,,,,,,,0.23,,0.23,,,,,,,,,,,9.2,9.24285,,0.0,,0.0,,,,,,,,,,,,,,,1002,,24,,24,,,,,,transit,primarytransit,,,11/06/14,2014-07-10,CoRoT-20.xml,
CoRoT-21 b,CoRoT-21 b,confirmedplanets,,,,,0.31,,0.31,,0.31,,0.31,,,,0.14,,0.14,,,,,,,,0.00014,,0.00014,,,,,,,,,,,,,,,1867.0,,,,,,,,,,transit,primarytransit,,,11/12/13,2014-01-24,CoRoT-21.xml,
CoRoT-22 b,CoRoT-22 b,confirmedplanets,,,,,,,,,0.0276877576062675,,0.0440487052826983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280,,54,,,,,,transit,primarytransit,2014,2011,14/08/28,2014-08-28,CoRoT-22.xml,
CoRoT-23 b,CoRoT-23 b,confirmedplanets,,,,,0.25,,0.25,,0.25,,0.25,1.05,1.08,,0.13,,0.13,,,,,,,,0.0001,,0.0001,,,,,,,,0.017,,0.017,,,,,1508.9,,,,,,,,,,transit,primarytransit,,,11/09/20,2014-01-26,CoRoT-23.xml,
CoRoT-24 b,CoRoT-24 b,confirmedplanets,,,0.018,,inf,,nan,,inf,0.018,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,,140,,,,,,transit,primarytransit,2014,2011,14/06/08,2014-07-08,CoRoT-24.xml,
CoRoT-24 c,CoRoT-24 c,confirmedplanets,,,,,,,,,0.035,,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,80,,,,,,transit,primarytransit,2014,2011,14/06/08,2014-07-08,CoRoT-24.xml,
CoRoT-25 b,CoRoT-25 b,confirmedplanets,,,,,,,,,0.04,,0.04,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,transit,primarytransit,2013,2012,13/05/24,2014-05-21,CoRoT-25.xml,
CoRoT-26 b,CoRoT-26 b,confirmedplanets,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,2013,2012,13/05/24,2014-05-27,CoRoT-26.xml,
CoRoT-27 b,CoRoT-27 b,confirmedplanets,,,,,,,,,0.55,,0.55,,,,,,,,,,,,,,,,,,,,,,0.065,,0.065,,0.0,,,0.065,,,,130,,130,,,,,,transit,primarytransit,2014,2012,14/01/07,2014-07-10,CoRoT-27.xml,
CoRoT-28 b,CoRoT-28 b,confirmedplanets,,,,,,,,,0.087,,0.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,2015,2012,15/04/07,2015-08-17,CoRoT-28.xml,
CoRoT-29 b,CoRoT-29 b,confirmedplanets,,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,2015,2012,15/04/07,2015-04-27,CoRoT-29.xml,
CoRoT-3 b,CoRoT-3 b,confirmedplanets,,21.66,21.77,,,,,,1.0,,1.0,,,,,,,,,,,4.25680,4.2567994,,,,,,,,,,,,,,,,,,,1554.7,,,,,,,,,,transit,primarytransit,,,12/04/05,2013-07-08,CoRoT-3.xml,
CoRoT-4 b,CoRoT-4 b,confirmedplanets,,,,,0.08,,0.08,,0.08,,0.08,,,,0.05,,0.05,,,,,,,,0.00037,,0.00037,,,,,,,,0.0,,0.0,,,,,975.6,,,,,,,,,,transit,primarytransit,,,08/11/27,2013-06-05,CoRoT-4.xml,
CoRoT-5 b,CoRoT-5 b,confirmedplanets,,,,,,,,,0.024,,0.047,1.388,1.33,,,0.046,0.047,,,,,,,,,,,,,,,,,,,0.09,0.04,,,,,1316.3,,,,,,,,,,transit,primarytransit,,,09/07/18,2014-05-22,CoRoT-5.xml,
CoRoT-6 b,CoRoT-6 b,confirmedplanets,,,,,,,,,0.34,,0.34,,,,,,,,,,,,,,,,,,,,,,0.1,,inf,,nan,,,0.1,,929.2,,,,,,,,,,transit,primarytransit,,,10/01/11,2013-06-05,CoRoT-6.xml,
CoRoT-7 b,CoRoT-7 b,confirmedplanets,,0.0151,0.0233458137998301,,0.00380706667086178,,0.00380706667086178,,0.00380706667086178,,0.00380706667086178,0.15,0.148987686658376,,0.00802927652649929,,0.00802927652649929,,,,,,,,,,,,,,,,,,,,,,,,,1666.1,,,,,,,,,,transit,primarytransit,,,10/10/15,2013-11-05,CoRoT-7.xml,
CoRoT-7 c,CoRoT-7 c,confirmedplanets,,,,,0.0028,,0.0028,,0.0028,,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.8,,,,,,,,,,rv,radialvelocity,,,10/10/15,2010-10-15,CoRoT-7.xml,
CoRoT-8 b,CoRoT-8 b,confirmedplanets,,0.22,0.215838655885,,0.0339804297895101,,0.0339804297895101,,0.0339804297895101,,0.0339804297895101,0.57,0.569186491545,,0.0196271203981094,,0.0196271203981094,,,,,,,,3e-05,,3e-05,,,,,,,,,,,,,,,783.1,,,,,,,,,,transit,primarytransit,,,10/06/14,2014-08-16,CoRoT-8.xml,
CoRoT-9 b,CoRoT-9 b,confirmedplanets,,,,,0.07,,0.07,,0.07,,0.07,1.05,0.94,,0.04,,0.04,,,,,95.2738,95.273804,,0.0014,,0.0014,,,,,,,,0.04,,0.04,,,,,376.6,,,,,,,,,,transit,primarytransit,,,10/03/17,2013-06-05,CoRoT-9.xml,
DH Tau B,DH Tau b,confirmedplanets,,12,11.0,4,0.003,10,0.01,,0.003,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750,,,,,,2700,,2800,,,,,,11/03/08,2011-03-08,DH Tau.xml,
DP Leo b,DP Leo b,confirmedplanets|planetsinbinarysystems|p-type,,,,,0.47,,0.47,,0.47,,0.47,,,,,,,,,,,,,,730.0,,730.0,,,,,,,,0.13,,0.13,,,,,,,,,,,,,,,timing,pulsar,,,10/11/18,2010-11-18,DP Leo.xml,
EPIC 201295312 b,EPIC 201295312 b,confirmedplanets,,,0.0379,,,,,,,0.03776,,0.2453,0.245,0.0196,0.021,0.0214,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,2015,2016,16/03/07,2016-02-08,EPIC 201295312.xml,
EPIC 201445392 c,EPIC 201445392 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,5.06416,2.50856,,,,,,,,,,,,,,,,,,,,801.0,,,,,,,,,transit,primarytransit,,,15/07/07,2015-12-07,EPIC 201445392.xml,
EPIC 201637175 b,EPIC 201637175 b,confirmedplanets|planetsinbinarysystems|s-type,,,1.4,,1.4,,0.0,,1.4,1.4,0.0,,0.25,,0.25,,0.0,,,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/05/03,2015-07-27,EPIC 201637175.xml,
EPIC 201713348 b,EPIC 201713348 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/12/06,2016-06-08,EPIC 201713348.xml,
EPIC 201713348 c,EPIC 201713348 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/12/06,2016-06-08,EPIC 201713348.xml,
EPIC 203826436 b,EPIC 203826436 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/12/06,2016-06-09,EPIC 203826436.xml,
EPIC 203826436 c,EPIC 203826436 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/12/06,2016-06-09,EPIC 203826436.xml,
EPIC 203826436 d,EPIC 203826436 d,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/12/06,2016-06-09,EPIC 203826436.xml,
EPIC 204221263 b,EPIC 204221263 b,confirmedplanets,,0.0378,,0.0091,,0.0091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,2015,2016,15/12/06,2016-06-13,EPIC 204221263.xml,
EPIC 204221263 c,EPIC 204221263 c,confirmedplanets,,0.031,,0.014,,0.014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,2015,2016,15/12/06,2016-06-13,EPIC 204221263.xml,
EPIC 205071984 b,EPIC 205071984 b,confirmedplanets,,,0.0787,,0.022,,0.023,,0.022,,0.023,,,,,,,,,,,,,,,,,,,,,,0.21,,0.21,,0.22,,,,,,,,,,,,,,,transit,primarytransit,,,15/12/06,2016-08-21,EPIC 205071984.xml,
EPIC 205071984 c,EPIC 205071984 c,confirmedplanets,,,0.026,,0.025799956,,0.0261,,0.025799956,,0.0261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/12/06,2016-08-21,EPIC 205071984.xml,
EPIC 205071984 d,EPIC 205071984 d,confirmedplanets,,,0.0636,,0.0632,,0.0632,,0.0632,,0.0632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/12/06,2016-08-21,EPIC 205071984.xml,
FU Tau B,FU Tau b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2375,,,,,,,,,,,,,,11/09/19,2011-09-19,FU Tau.xml,
FW Tau b,FW Tau b,confirmedplanets|planetsinbinarysystems|p-type,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13/12/02,2013-12-02,FW Tau.xml,
Fomalhaut b,Fomalhaut b,controversial|planetsinbinarysystems|s-type,,,3.0,,3.0,,0.0,,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,0.8,0.11,0.1,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,13/05/12,2014-05-22,Fomalhaut.xml,
GJ 1132 b,GJ 1132 b,confirmedplanets,,0.005096,0.0051,0.001730,0.0017,0.001730,0.0017,,0.0017,,0.0017,0.105711,0.103,0.010024,0.0098,0.010024,0.0098,,,,,,,,,,,,,,,,0.0,,,,,,,,,,580.0,,,,,,,,,transit,primarytransit,,,15/11/12,2016-07-15,GJ 1132.xml,
Gliese 1214 b,GJ 1214 b,confirmedplanets,,0.0195,0.0203253311519,0.0028,0.00311487273070509,0.0028,0.00311487273070509,,0.00311487273070509,,0.00311487273070509,0.2525,0.238201870286,0.0055,1.07057020353324,0.0055,1.07057020353324,,,,,1.58040417,1.58040482,0.00000022,1.8e-07,0.00000022,1.8e-07,,,,,0,0.27,,0.27,,0.0,,,,,604,,19,,19,,,,,,transit,primarytransit,,,10/12/07,2014-05-21,Gliese 1214.xml,
GJ 160.2 b,GJ 160.2 b,controversial,,0.0321,0.0320926281345,0.0186,0.018557955,0.0227,0.022646996,,0.018557955,,0.022646996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/04/21,2014-05-25,GJ 160.2.xml,
Gliese 163 b,GJ 163 b,confirmedplanets,,0.033344,0.0334,0.001887,0.0019,0.001887,0.0019,,0.0019,,0.0019,,,,,,,,,,,8.63182,8.633,,,,,,,,,0.073,0.0106,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,16/02/03,2016-02-23,Gliese 163.xml,
Gliese 163 c,GJ 163 c,confirmedplanets,,0.021391,0.02285,0.002831,0.0028,0.002831,0.0028,,0.0028,,0.0028,,,,,,,,,,,25.63058,25.645,0.02550,0.0235,0.02550,0.0235,,,,,0.099,0.094,,,,,,,,,302,,10,,10,,,,,,rv,radialvelocity,,,16/02/03,2016-09-12,Gliese 163.xml,
Gliese 163 d,GJ 163 d,confirmedplanets,,0.092484,0.06945,0.009123,0.0092,0.009123,0.0092,,0.0092,,0.0092,,,,,,,,,,,,600.895,,7.56,,7.56,,,,,0.373,0.399,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,16/02/03,2016-02-23,Gliese 163.xml,
Gliese 176 b,GJ 176 b,confirmedplanets,,0.0264,0.0265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,rv,radialvelocity,,,16/02/03,2010-12-17,Gliese 176.xml,
Gliese 179 b,GJ 179 b,confirmedplanets,,,,,,,,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,16/03/09,2016-02-23,Gliese 179.xml,
GJ 180 b,GJ 180 b,controversial,,0.026,0.0261145895605,0.017,0.016670706,0.011,0.011008956,,0.016670706,,0.011008956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/04/21,2014-05-25,GJ 180.xml,
GJ 180 c,GJ 180 c,controversial,,0.020,0.0201365509864,0.013,0.012896206,0.012,0.01163804,,0.012896206,,0.01163804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/04/21,2014-05-25,GJ 180.xml,
GJ 229 b,GJ 229 b,controversial|planetsinbinarysystems|s-type,,0.101,0.100682754932,0.050,0.050326659,0.053,0.053472075,,0.050326659,,0.053472075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/04/21,2014-05-25,GJ 229.xml,
GJ 27.1 b,GJ 27.1 b,controversial,,0.0409,0.0409023691911,0.0208,0.020759747,0.0129,0.012896206,,0.020759747,,0.012896206,,,,,,,,,,,,,,,0.023,0.049,,,,,,,,,0.18,0.16,,,,,,,,,,,,,,,rv,radialvelocity,,,15/04/21,2014-05-25,GJ 27.1.xml,
Gliese 3021 A b,GJ 3021 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,0.09,,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,14/06/24,2016-07-29,Gliese 3021.xml,
Gliese 317 b,GJ 317 b,confirmedplanets,,1.8,2.56,,0.411,,0.683,,0.411,,0.683,,,,,,,,,,,691.78,692.0,,2.0,,2.0,,,,,,,,0.05,,0.05,,,,,,,,,,,,,,,rv,radialvelocity,,,11/11/14,2015-08-01,Gliese 317.xml,
Gliese 317 c,GJ 317 c,confirmedplanets,,,,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,10000,7300.0,,nan,,inf,,,,,,,,0.2,,0.2,,,,,,,,,,,,,,,rv,radialvelocity,,,11/11/14,2015-10-16,Gliese 317.xml,
Gliese 328 b,GJ 328 b,confirmedplanets,,,,0.13,13.0,0.13,13.0,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,13/07/31,2014-08-29,Gliese 328.xml,
Gliese 3293 b,GJ 3293 b,confirmedplanets,,0.076,0.0812,0.005,0.0053,0.005,0.0053,,0.0053,,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,14/11/25,2014-12-17,Gliese 3293.xml,
Gliese 3293 d,GJ 3293 d,confirmedplanets,,0.07,0.0705,0.005,0.0053,0.005,0.0053,,0.0053,,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,14/11/25,2014-12-02,Gliese 3293.xml,
Gliese 3341 b,GJ 3341 b,confirmedplanets,,0.02,0.35717,0.003,0.0053,0.003,0.0053,,0.0053,,0.0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,14/11/25,2014-12-17,Gliese 3341.xml,
Gliese 3470 b,GJ 3470 b,confirmedplanets,,0.04320,0.0437533292587,0.00506,0.00513931672341,0.00506,0.00514531263071,,0.00513931672341,,0.00514531263071,0.346,0.373807429400356,0.029,0.0526363683403842,0.029,0.0526363683403842,,,,,3.3366487,3.33671,0.0000033,5e-05,0.0000043,5e-05,,,,,0.017,,0.012,,0.016,,,,,,,,,,,,506,,702,,transit,primarytransit,,,15/04/29,2013-11-05,Gliese 3470.xml,
Gliese 3634 b,GJ 3634 b,confirmedplanets,,0.022,0.026,,0.007,,0.019,,0.007,,0.019,,,,,,,,,,,,,,0.00066,,0.00066,,,,,,,,0.057,,0.057,,,,,565.4,,,,,,,,,,rv,radialvelocity,,,11/02/07,2012-09-10,Gliese 3634.xml,
GJ 422 b,GJ 422 b,controversial,,0.031,0.0311487273071,0.013,0.012581664,0.018,0.01761433,,0.012581664,,0.01761433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/04/21,2014-05-25,GJ 422.xml,
Gliese 433 b,GJ 433 b,confirmedplanets,,0.0167,0.01667,0.006,0.00597,0.0063,0.00629,,0.00597,,0.00629,,,,,,,,,,,,,0.36,0.0036,0.34,0.0034,,,,,,,,,,,,,,,416.2,,,,,,,,,,rv,radialvelocity,,,14/03/31,2014-05-25,Gliese 433.xml,
Gliese 433 c,GJ 433 c,controversial,,0.1416,0.14,0.1385,,0.1385,,,,,,,,,,,,,,,,3400,3693.0,1500,253.0,1500,253.0,,,,,0.08,0.17,0.08,0.09,0.16,0.09,,,,,,,,,,,,,,,rv,radialvelocity,,,14/03/18,2014-05-25,Gliese 433.xml,
Gliese 436 b,GJ 436 b,confirmedplanets,,0.0727,0.07,0.0032,0.0052,0.0032,0.0052,,0.0052,,0.0052,0.3767,0.38,0.0092,,0.0082,,,,,,2.643850,2.64394,0.00009,9.85041e-05,0.00009,9.85041e-05,,,,,0.15,0.1912,0.012,0.0571,0.012,0.0449,,,,,650.3,,,,,,,,,,transit,primarytransit,,,14/03/31,2016-06-02,Gliese 436.xml,
Gliese 504 b,GJ 504 b,confirmedplanets,,,,,,,,,1.0,,4.5,,0.96,,0.07,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,510,,20,,30,,,,,,,,,,13/07/22,2015-12-01,Gliese 504.xml,
Gliese 581 b,GJ 581 b,confirmedplanets,,0.049702,0.05,0.000944,,0.000944,,,,,,,,,,,,,,,,5.3686,5.36865,0.0001,9e-05,0.0001,9e-05,,,,,,0.031,,0.014,,0.014,,,0.03,,419.2,,,,,,,,,,rv,radialvelocity,,,14/07/04,2016-02-23,Gliese 581.xml,
Gliese 581 c,GJ 581 c,confirmedplanets,,0.017301,0.017,0.000944,,0.000944,,,,,,,,,,,,,,,,12.914,12.9182,0.002,0.0022,0.002,0.0022,,,,,,0.07,,0.06,,0.06,,,0.06,,312.7,,,,,,,,,,rv,radialvelocity,,,14/07/04,2016-02-23,Gliese 581.xml,
Gliese 581 e,GJ 581 e,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,3.1490,3.14945,0.0002,0.00017,0.0002,0.00017,,,,,,0.32,,0.09,,0.09,,,0.06,,500.8,,,,,,,,,,rv,radialvelocity,,,14/07/04,2016-02-23,Gliese 581.xml,
Gliese 649 b,GJ 649 b,confirmedplanets,,,,,0.032,,0.032,,0.032,,0.032,,,,,,,,,,,,,,4.2,,4.2,,,,,,,,0.08,,0.08,,,,,102.2,,,,,,,,,,rv,radialvelocity,,,09/12/17,2016-02-23,Gliese 649.xml,
Gliese 667 C b,GJ 667 C b,confirmedplanets|planetsinbinarysystems|s-type,,0.017616,0.0176,0.004089,0.0041,0.004404,0.0044,,0.0041,,0.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,13/06/25,2016-02-23,Gliese 667.xml,
Gliese 667 C c,GJ 667 C c,confirmedplanets|planetsinbinarysystems|s-type,,0.011954,0.012,0.003775,0.0038,0.004719,0.0047,,0.0038,,0.0047,,,,,,,,,,,,,0.065000,0.03,0.053000,0.03,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,2009,2011,13/06/25,2016-10-08,Gliese 667.xml,
Gliese 667 C d,GJ 667 C d,controversial|planetsinbinarysystems|s-type,,0.016043,0.01604,0.005348,0.00535,0.005662,0.00566,,0.00535,,0.00566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,2013,2012,13/06/25,2016-02-23,Gliese 667.xml,
Gliese 667 C e,GJ 667 C e,controversial|planetsinbinarysystems|s-type,,0.008493,0.0085,0.004404,0.0044,0.005033,0.005,,0.0044,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,0.220000,0.004,,,,,,,,,,,,,,,rv,radialvelocity,,,13/06/25,2016-02-23,Gliese 667.xml,
Gliese 667 C f,GJ 667 C f,controversial|planetsinbinarysystems|s-type,,0.008493,0.0085,0.003775,0.0038,0.004404,0.0044,,0.0038,,0.0044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,13/06/25,2016-02-23,Gliese 667.xml,
