Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
Kepler-1193,Kepler-1193,19 12 35,,+51 16 32,,,695.0,,,,,Kepler-1193.xml,
Kepler-1194,Kepler-1194,19 26 48,,+38 08 43,,,616.0,,,,,Kepler-1194.xml,
Kepler-1195,Kepler-1195,18 57 24,,+40 51 11,,,812.0,,,,,Kepler-1195.xml,
Kepler-1196,Kepler-1196,19 29 29,,+43 54 39,,,946.0,,,,,Kepler-1196.xml,
Kepler-1197,Kepler-1197,19 26 41,,+42 35 27,,,505.0,,,,,Kepler-1197.xml,
Kepler-1198,Kepler-1198,19 15 20,,+44 50 18,,,777.0,,,,,Kepler-1198.xml,
Kepler-1199,Kepler-1199,19 34 54,,+47 14 49,,,540.0,,,,,Kepler-1199.xml,
Kepler-12,Kepler-12,19 04 58,,+50 02 25,,600,,,,,,Kepler-12.xml,
Kepler-120,Kepler-120,19 11 34,,+39 20 20,,267.74,,,,,,Kepler-120.xml,
Kepler-1200,Kepler-1200,19 46 25,,+44 07 45,,,579.0,,,,,Kepler-1200.xml,
Kepler-1201,Kepler-1201,19 38 28,,+40 49 59,,,1202.0,,,,,Kepler-1201.xml,
Kepler-1202,Kepler-1202,19 29 10,,+44 39 12,,,1393.0,,,,,Kepler-1202.xml,
Kepler-1203,Kepler-1203,19 31 06,,+44 10 41,,,269.0,,,,,Kepler-1203.xml,
Kepler-1204,Kepler-1204,19 17 46,,+42 29 53,,,1282.0,,,,,Kepler-1204.xml,
Kepler-1205,Kepler-1205,19 21 07,,+41 30 54,,,766.0,,,,,Kepler-1205.xml,
Kepler-1206,Kepler-1206,19 43 45,,+49 47 28,,,807.0,,,,,Kepler-1206.xml,
Kepler-1207,Kepler-1207,19 40 15,,+49 21 32,,,946.0,,,,,Kepler-1207.xml,
Kepler-1208,Kepler-1208,19 27 32,,+44 33 21,,,877.0,,,,,Kepler-1208.xml,
Kepler-1209,Kepler-1209,19 10 20,,+49 09 17,,,558.0,,,,,Kepler-1209.xml,
Kepler-121,Kepler-121,19 04 38,,+39 40 40,,583.60,,,,,,Kepler-121.xml,
Kepler-1210,Kepler-1210,19 31 20,,+48 13 10,,,1155.0,,,,,Kepler-1210.xml,
Kepler-1211,Kepler-1211,19 02 53,,+40 51 25,,,1486.0,,,,,Kepler-1211.xml,
Kepler-1212,Kepler-1212,19 47 25,,+50 02 14,,,1304.0,,,,,Kepler-1212.xml,
Kepler-1213,Kepler-1213,19 17 57,,+50 56 39,,,685.0,,,,,Kepler-1213.xml,
Kepler-1214,Kepler-1214,19 00 34,,+49 48 02,,,757.0,,,,,Kepler-1214.xml,
Kepler-1215,Kepler-1215,19 49 51,,+48 10 53,,,701.0,,,,,Kepler-1215.xml,
Kepler-1216,Kepler-1216,19 09 37,,+45 55 05,,,1124.0,,,,,Kepler-1216.xml,
Kepler-1217,Kepler-1217,19 16 45,,+50 56 15,,,1363.0,,,,,Kepler-1217.xml,
Kepler-1218,Kepler-1218,19 26 19,,+44 31 54,,,667.0,,,,,Kepler-1218.xml,
Kepler-1219,Kepler-1219,19 48 52,,+47 22 43,,,622.0,,,,,Kepler-1219.xml,
Kepler-122,Kepler-122,19 24 26,,+39 56 56,,1062.40,,,,,,Kepler-122.xml,
Kepler-1220,Kepler-1220,19 48 17,,+42 58 40,,,958.0,,,,,Kepler-1220.xml,
Kepler-1221,Kepler-1221,19 03 17,,+45 42 43,,,909.0,,,,,Kepler-1221.xml,
Kepler-1222,Kepler-1222,19 39 34,,+49 22 47,,,455.0,,,,,Kepler-1222.xml,
Kepler-1223,Kepler-1223,19 01 11,,+44 33 10,,,455.0,,,,,Kepler-1223.xml,
Kepler-1224,Kepler-1224,19 06 30,,+37 32 14,,,578.0,,,,,Kepler-1224.xml,
Kepler-1225,Kepler-1225,19 22 32,,+40 08 13,,,1241.0,,,,,Kepler-1225.xml,
Kepler-1226,Kepler-1226,19 45 30,,+50 37 17,,,779.0,,,,,Kepler-1226.xml,
Kepler-1227,Kepler-1227,19 08 16,,+41 52 30,,,667.0,,,,,Kepler-1227.xml,
Kepler-1228,Kepler-1228,19 46 13,,+46 57 59,,,547.0,,,,,Kepler-1228.xml,
Kepler-1229,Kepler-1229,19 49 57,,+46 59 48,,,236.0,,,,,Kepler-1229.xml,
Kepler-123,Kepler-123,19 47 59,,+42 46 55,,1026.80,,,,,,Kepler-123.xml,
Kepler-1230,Kepler-1230,18 53 03,,+41 42 41,,,1433.0,,,,,Kepler-1230.xml,
Kepler-1231,Kepler-1231,19 14 21,,+42 36 20,,,948.0,,,,,Kepler-1231.xml,
Kepler-1232,Kepler-1232,19 46 12,,+49 06 08,,,740.0,,,,,Kepler-1232.xml,
Kepler-1233,Kepler-1233,19 49 30,,+46 39 44,,,1281.0,,,,,Kepler-1233.xml,
Kepler-1234,Kepler-1234,19 10 05,,+51 22 33,,,866.0,,,,,Kepler-1234.xml,
Kepler-1235,Kepler-1235,18 59 37,,+43 57 14,,,533.0,,,,,Kepler-1235.xml,
Kepler-1236,Kepler-1236,19 42 30,,+42 32 45,,,1078.0,,,,,Kepler-1236.xml,
Kepler-1237,Kepler-1237,19 42 31,,+44 41 26,,,1121.0,,,,,Kepler-1237.xml,
Kepler-1238,Kepler-1238,19 51 37,,+40 09 46,,,1533.0,,,,,Kepler-1238.xml,
Kepler-1239,Kepler-1239,19 32 31,,+42 19 12,,,2511.0,,,,,Kepler-1239.xml,
Kepler-124,Kepler-124,19 07 00,,+49 03 53,,358.80,,,,,,Kepler-124.xml,
Kepler-1240,Kepler-1240,18 51 59.9,,+40 33 27,,,614.0,,,,,Kepler-1240.xml,
Kepler-1241,Kepler-1241,19 38 18,,+38 27 25,,,936.0,,,,,Kepler-1241.xml,
Kepler-1242,Kepler-1242,18 58 25,,+41 11 47,,,682.0,,,,,Kepler-1242.xml,
Kepler-1243,Kepler-1243,19 36 02,,+42 52 51,,,877.0,,,,,Kepler-1243.xml,
Kepler-1244,Kepler-1244,18 49 12,,+46 30 58,,,764.0,,,,,Kepler-1244.xml,
Kepler-1245,Kepler-1245,19 22 59,,+43 15 39,,,861.0,,,,,Kepler-1245.xml,
Kepler-1246,Kepler-1246,19 10 38,,+48 58 56,,,435.0,,,,,Kepler-1246.xml,
Kepler-1247,Kepler-1247,19 38 08,,+46 37 06,,,1094.0,,,,,Kepler-1247.xml,
Kepler-1248,Kepler-1248,19 12 14,,+51 21 16,,,540.0,,,,,Kepler-1248.xml,
Kepler-1249,Kepler-1249,19 47 35,,+44 22 18,,,1674.0,,,,,Kepler-1249.xml,
Kepler-125,Kepler-125,19 53 01,,+47 36 17,,223.85,,,,,,Kepler-125.xml,
Kepler-1250,Kepler-1250,19 11 11,,+45 58 49,,,1371.0,,,,,Kepler-1250.xml,
Kepler-1251,Kepler-1251,19 28 28,,+49 15 23,,,863.0,,,,,Kepler-1251.xml,
Kepler-1252,Kepler-1252,19 55 48,,+46 41 34,,,828.0,,,,,Kepler-1252.xml,
Kepler-1253,Kepler-1253,18 55 32,,+47 38 14,,,390.0,,,,,Kepler-1253.xml,
Kepler-1254,Kepler-1254,19 00 42,,+48 46 12,,,676.0,,,,,Kepler-1254.xml,
Kepler-1255,Kepler-1255,19 40 57,,+42 43 35,,,1344.0,,,,,Kepler-1255.xml,
Kepler-1256,Kepler-1256,19 25 54,,+44 41 01,,,862.0,,,,,Kepler-1256.xml,
Kepler-1257,Kepler-1257,19 44 18,,+45 37 37,,,1081.0,,,,,Kepler-1257.xml,
Kepler-1258,Kepler-1258,19 01 37,,+49 59 41,,,651.0,,,,,Kepler-1258.xml,
Kepler-1259,Kepler-1259,19 51 22,,+46 58 04,,,704.0,,,,,Kepler-1259.xml,
Kepler-126,Kepler-126,19 17 23,,+44 12 30,,224.69,,,,,,Kepler-126.xml,
Kepler-1260,Kepler-1260,19 42 22,,+42 33 19,,,1041.0,,,,,Kepler-1260.xml,
Kepler-1261,Kepler-1261,19 00 56,,+48 48 24,,,795.0,,,,,Kepler-1261.xml,
Kepler-1262,Kepler-1262,19 15 05,,+42 12 48,,,1153.0,,,,,Kepler-1262.xml,
Kepler-1263,Kepler-1263,19 05 56,,+46 45 09,,,695.0,,,,,Kepler-1263.xml,
Kepler-1264,Kepler-1264,19 19 32,,+45 12 41,,,814.0,,,,,Kepler-1264.xml,
Kepler-1265,Kepler-1265,18 58 21,,+47 04 46,,,581.0,,,,,Kepler-1265.xml,
Kepler-1266,Kepler-1266,19 03 29,,+42 43 41,,,901.0,,,,,Kepler-1266.xml,
Kepler-1267,Kepler-1267,19 56 41,,+43 26 28,,,1628.0,,,,,Kepler-1267.xml,
Kepler-1268,Kepler-1268,19 11 21,,+43 09 12,,,1406.0,,,,,Kepler-1268.xml,
Kepler-1269,Kepler-1269,19 11 13,,+45 20 26,,,710.0,,,,,Kepler-1269.xml,
Kepler-127,Kepler-127,19 00 45,,+46 01 40,,338.98,,,,,,Kepler-127.xml,
Kepler-1270,Kepler-1270,19 06 52,,+48 38 43,,,1204.0,,,,,Kepler-1270.xml,
Kepler-1271,Kepler-1271,19 05 23,,+37 24 43,,,885.0,,,,,Kepler-1271.xml,
Kepler-1272,Kepler-1272,19 00 53,,+38 48 21,,,896.0,,,,,Kepler-1272.xml,
Kepler-1273,Kepler-1273,19 03 13,,+44 52 24,,,1355.0,,,,,Kepler-1273.xml,
Kepler-1274,Kepler-1274,18 58 22,,+46 26 59,,,609.0,,,,,Kepler-1274.xml,
Kepler-1275,Kepler-1275,19 34 00,,+44 55 57,,,1280.0,,,,,Kepler-1275.xml,
Kepler-1276,Kepler-1276,19 11 26,,+40 32 50,,,587.0,,,,,Kepler-1276.xml,
Kepler-1277,Kepler-1277,19 40 25,,+40 34 21,,,606.0,,,,,Kepler-1277.xml,
Kepler-1278,Kepler-1278,18 51 50,,+42 49 32,,,743.0,,,,,Kepler-1278.xml,
Kepler-1279,Kepler-1279,19 12 23,,+40 21 57,,,1017.0,,,,,Kepler-1279.xml,
Kepler-128,Kepler-128,18 49 58.128,,+43 58 48.64,,368.14,,,,,,Kepler-128.xml,
Kepler-1280,Kepler-1280,19 34 18,,+45 23 04,,,1006.0,,,,,Kepler-1280.xml,
Kepler-1281,Kepler-1281,19 41 25,,+48 30 55,,,1090.0,,,,,Kepler-1281.xml,
Kepler-1282,Kepler-1282,19 20 42,,+46 41 54,,,1126.0,,,,,Kepler-1282.xml,
Kepler-1283,Kepler-1283,19 41 51,,+40 46 37,,,1452.0,,,,,Kepler-1283.xml,
Kepler-1284,Kepler-1284,19 25 07,,+47 41 16,,,852.0,,,,,Kepler-1284.xml,
Kepler-1285,Kepler-1285,18 47 20,,+44 09 21,,,364.0,,,,,Kepler-1285.xml,
Kepler-1286,Kepler-1286,18 41 02,,+43 50 09,,,1150.0,,,,,Kepler-1286.xml,
Kepler-1287,Kepler-1287,19 16 32,,+47 03 47,,,1027.0,,,,,Kepler-1287.xml,
Kepler-1288,Kepler-1288,19 02 51,,+41 36 21,,,715.0,,,,,Kepler-1288.xml,
Kepler-1289,Kepler-1289,19 45 33,,+41 02 26,,,1059.0,,,,,Kepler-1289.xml,
Kepler-129,Kepler-129,19 01 14,,+47 50 54,,402.81,,,,,,Kepler-129.xml,
Kepler-1290,Kepler-1290,19 22 44,,+43 51 35,,,1321.0,,,,,Kepler-1290.xml,
Kepler-1291,Kepler-1291,19 17 30,,+40 00 04,,,982.0,,,,,Kepler-1291.xml,
Kepler-1292,Kepler-1292,18 59 37,,+43 56 57,,,1406.0,,,,,Kepler-1292.xml,
Kepler-1293,Kepler-1293,19 20 06,,+48 20 09,,,770.0,,,,,Kepler-1293.xml,
Kepler-1294,Kepler-1294,19 25 04,,+44 29 17,,,1120.0,,,,,Kepler-1294.xml,
Kepler-1295,Kepler-1295,19 25 35,,+45 35 19,,,1257.0,,,,,Kepler-1295.xml,
Kepler-1296,Kepler-1296,19 28 30,,+41 24 28,,,631.0,,,,,Kepler-1296.xml,
Kepler-1297,Kepler-1297,19 19 50,,+47 01 13,,,996.0,,,,,Kepler-1297.xml,
Kepler-1298,Kepler-1298,18 57 41,,+49 06 22,,,498.0,,,,,Kepler-1298.xml,
Kepler-1299,Kepler-1299,19 04 36,,+37 24 41,,,1352.0,,,,,Kepler-1299.xml,
Kepler-130,Kepler-130,19 13 48,,+40 14 43,,266.39,,,,,,Kepler-130.xml,
Kepler-1300,Kepler-1300,19 16 08,,+40 05 13,,,757.0,,,,,Kepler-1300.xml,
Kepler-1301,Kepler-1301,19 06 25,,+42 26 25,,,816.0,,,,,Kepler-1301.xml,
Kepler-1302,Kepler-1302,19 23 57,,+50 18 29,,,727.0,,,,,Kepler-1302.xml,
Kepler-1303,Kepler-1303,18 57 09,,+42 21 20,,,905.0,,,,,Kepler-1303.xml,
Kepler-1304,Kepler-1304,19 01 06,,+39 26 49,,,682.0,,,,,Kepler-1304.xml,
Kepler-1305,Kepler-1305,19 49 21,,+46 20 50,,,1343.0,,,,,Kepler-1305.xml,
Kepler-1306,Kepler-1306,19 37 55,,+46 56 45,,,1130.0,,,,,Kepler-1306.xml,
Kepler-1307,Kepler-1307,19 31 29,,+46 44 31,,,1396.0,,,,,Kepler-1307.xml,
Kepler-1308,Kepler-1308,19 03 43,,+38 31 15,,,73.0,,,,,Kepler-1308.xml,
Kepler-1309,Kepler-1309,19 54 56,,+40 45 51,,,845.0,,,,,Kepler-1309.xml,
Kepler-131,Kepler-131,19 14 07,,+40 56 32,,226.3,,,,,,Kepler-131.xml,
Kepler-1310,Kepler-1310,18 55 41,,+40 44 24,,,583.0,,,,,Kepler-1310.xml,
Kepler-1311,Kepler-1311,19 18 36,,+43 49 28,,,705.0,,,,,Kepler-1311.xml,
Kepler-1312,Kepler-1312,19 31 53,,+41 02 09,,,305.0,,,,,Kepler-1312.xml,
Kepler-1313,Kepler-1313,19 29 33,,+42 13 60,,,187.0,,,,,Kepler-1313.xml,
Kepler-1314,Kepler-1314,19 36 57,,+45 11 50,,,462.0,,,,,Kepler-1314.xml,
Kepler-1315,Kepler-1315,19 43 17,,+46 03 11,,,505.0,,,,,Kepler-1315.xml,
Kepler-1316,Kepler-1316,19 55 21,,+40 17 35,,,753.0,,,,,Kepler-1316.xml,
Kepler-1317,Kepler-1317,19 26 27,,+42 06 57,,,734.0,,,,,Kepler-1317.xml,
Kepler-1318,Kepler-1318,19 21 30,,+41 09 03,,,475.0,,,,,Kepler-1318.xml,
Kepler-1319,Kepler-1319,19 23 49,,+49 21 59,,,114.0,,,,,Kepler-1319.xml,
Kepler-132,Kepler-132,18 52 56,,+41 20 34,,331.08,,,,,,Kepler-132.xml,
Kepler-1320,Kepler-1320,19 13 44,,+40 22 51,,,771.0,,,,,Kepler-1320.xml,
Kepler-1321,Kepler-1321,19 38 07,,+46 38 27,,,547.0,,,,,Kepler-1321.xml,
Kepler-1322,Kepler-1322,19 32 49,,+45 26 07,,,1217.0,,,,,Kepler-1322.xml,
Kepler-1323,Kepler-1323,19 31 29,,+46 05 56,,,530.0,,,,,Kepler-1323.xml,
Kepler-1324,Kepler-1324,19 24 44,,+40 18 40,,,522.0,,,,,Kepler-1324.xml,
Kepler-1325,Kepler-1325,19 00 04,,+42 05 07,,,955.0,,,,,Kepler-1325.xml,
Kepler-1326,Kepler-1326,19 44 53,,+39 16 08,,,910.0,,,,,Kepler-1326.xml,
Kepler-1327,Kepler-1327,19 16 16,,+50 27 40,,,688.0,,,,,Kepler-1327.xml,
Kepler-1328,Kepler-1328,18 58 42,,+44 25 04,,,630.0,,,,,Kepler-1328.xml,
Kepler-1329,Kepler-1329,18 46 35,,+48 16 16,,,624.0,,,,,Kepler-1329.xml,
Kepler-133,Kepler-133,19 49 06,,+48 19 13,,587.59,,,,,,Kepler-133.xml,
Kepler-1330,Kepler-1330,19 22 18,,+39 57 25,,,939.0,,,,,Kepler-1330.xml,
Kepler-1331,Kepler-1331,19 48 18,,+41 13 28,,,365.0,,,,,Kepler-1331.xml,
Kepler-1332,Kepler-1332,19 24 07,,+43 54 49,,,515.0,,,,,Kepler-1332.xml,
Kepler-1333,Kepler-1333,19 34 07,,+41 06 41,,,958.0,,,,,Kepler-1333.xml,
Kepler-1334,Kepler-1334,19 17 15,,+51 19 15,,,1047.0,,,,,Kepler-1334.xml,
Kepler-1335,Kepler-1335,18 59 21,,+42 04 14,,,628.0,,,,,Kepler-1335.xml,
Kepler-1336,Kepler-1336,19 45 07,,+46 53 59,,,822.0,,,,,Kepler-1336.xml,
Kepler-1337,Kepler-1337,19 08 02,,+46 47 46,,,588.0,,,,,Kepler-1337.xml,
Kepler-1338,Kepler-1338,18 56 10,,+41 41 57,,,619.0,,,,,Kepler-1338.xml,
Kepler-1339,Kepler-1339,18 54 59,,+48 22 24,,,267.0,,,,,Kepler-1339.xml,
Kepler-134,Kepler-134,18 58 57,,+49 35 54,,414.47,,,,,,Kepler-134.xml,
Kepler-1340,Kepler-1340,19 44 56,,+42 28 22,,,1421.0,,,,,Kepler-1340.xml,
Kepler-1341,Kepler-1341,18 42 03,,+44 09 34,,,466.0,,,,,Kepler-1341.xml,
Kepler-1342,Kepler-1342,19 48 05,,+43 25 57,,,941.0,,,,,Kepler-1342.xml,
Kepler-1343,Kepler-1343,19 37 11,,+50 43 31,,,1307.0,,,,,Kepler-1343.xml,
Kepler-1344,Kepler-1344,19 08 21,,+46 56 45,,,851.0,,,,,Kepler-1344.xml,
Kepler-1345,Kepler-1345,19 29 55,,+46 01 22,,,1164.0,,,,,Kepler-1345.xml,
Kepler-1346,Kepler-1346,19 27 22,,+45 10 45,,,1123.0,,,,,Kepler-1346.xml,
Kepler-1347,Kepler-1347,19 58 38,,+40 50 38,,,321.0,,,,,Kepler-1347.xml,
Kepler-1348,Kepler-1348,19 28 21,,+49 47 20,,,1033.0,,,,,Kepler-1348.xml,
Kepler-1349,Kepler-1349,19 05 21,,+48 44 39,,,260.0,,,,,Kepler-1349.xml,
Kepler-135,Kepler-135,19 21 58,,+38 47 43,,561.29,,,,,,Kepler-135.xml,
Kepler-1350,Kepler-1350,19 13 00,,+46 40 47,,,350.0,,,,,Kepler-1350.xml,
Kepler-1351,Kepler-1351,19 34 26,,+42 11 52,,,241.0,,,,,Kepler-1351.xml,
Kepler-1352,Kepler-1352,19 22 46,,+48 42 05,,,637.0,,,,,Kepler-1352.xml,
Kepler-1353,Kepler-1353,19 42 56,,+42 34 35,,,596.0,,,,,Kepler-1353.xml,
Kepler-1354,Kepler-1354,19 24 59,,+37 45 33,,,1057.0,,,,,Kepler-1354.xml,
Kepler-1355,Kepler-1355,18 54 58,,+49 04 05,,,963.0,,,,,Kepler-1355.xml,
Kepler-1356,Kepler-1356,19 23 59,,+43 14 38,,,881.0,,,,,Kepler-1356.xml,
Kepler-1357,Kepler-1357,19 26 12,,+50 21 12,,,1026.0,,,,,Kepler-1357.xml,
Kepler-1358,Kepler-1358,19 04 41,,+43 00 32,,,558.0,,,,,Kepler-1358.xml,
Kepler-1359,Kepler-1359,19 18 09,,+41 53 34,,,669.0,,,,,Kepler-1359.xml,
Kepler-136,Kepler-136,19 45 52.158,,+42 35 55.73,,539.57,,,,,,Kepler-136.xml,
Kepler-1360,Kepler-1360,20 01 23,,+45 37 24,,,1405.0,,,,,Kepler-1360.xml,
Kepler-1361,Kepler-1361,18 54 16,,+46 54 15,,,404.0,,,,,Kepler-1361.xml,
Kepler-1362,Kepler-1362,19 14 09,,+40 52 38,,,767.0,,,,,Kepler-1362.xml,
Kepler-1363,Kepler-1363,19 47 59,,+49 15 23,,,559.0,,,,,Kepler-1363.xml,
Kepler-1364,Kepler-1364,19 40 37,,+49 35 15,,,1149.0,,,,,Kepler-1364.xml,
Kepler-1365,Kepler-1365,19 28 48,,+42 02 46,,,541.0,,,,,Kepler-1365.xml,
Kepler-1366,Kepler-1366,19 00 16,,+41 33 18,,,395.0,,,,,Kepler-1366.xml,
Kepler-1367,Kepler-1367,19 13 40,,+47 52 43,,,357.0,,,,,Kepler-1367.xml,
Kepler-1368,Kepler-1368,19 39 04,,+41 38 41,,,1750.0,,,,,Kepler-1368.xml,
Kepler-1369,Kepler-1369,19 03 11,,+40 56 10,,,1236.0,,,,,Kepler-1369.xml,
Kepler-137,Kepler-137,18 48 32,,+43 02 20,,288.70,,,,,,Kepler-137.xml,
Kepler-1370,Kepler-1370,18 58 16,,+41 46 43,,,878.0,,,,,Kepler-1370.xml,
Kepler-1371,Kepler-1371,19 15 20,,+47 33 07,,,450.0,,,,,Kepler-1371.xml,
Kepler-1372,Kepler-1372,19 15 33,,+44 50 22,,,1161.0,,,,,Kepler-1372.xml,
Kepler-1373,Kepler-1373,19 03 00,,+39 14 57,,,1112.0,,,,,Kepler-1373.xml,
Kepler-1374,Kepler-1374,19 25 24,,+45 10 20,,,1135.0,,,,,Kepler-1374.xml,
Kepler-1375,Kepler-1375,19 45 10,,+43 24 12,,,1238.0,,,,,Kepler-1375.xml,
Kepler-1376,Kepler-1376,19 07 50,,+42 32 29,,,864.0,,,,,Kepler-1376.xml,
Kepler-1377,Kepler-1377,19 16 47,,+46 39 06,,,1019.0,,,,,Kepler-1377.xml,
Kepler-1378,Kepler-1378,19 49 30,,+40 21 59,,,562.0,,,,,Kepler-1378.xml,
Kepler-1379,Kepler-1379,19 34 41,,+41 24 37,,,951.0,,,,,Kepler-1379.xml,
KOI-314,KOI-314,19 21 31,,+43 17 34,,114.07,,,,,,KOI-314.xml,
Kepler-1380,Kepler-1380,19 12 28,,+42 26 26,,,1209.0,,,,,Kepler-1380.xml,
Kepler-1381,Kepler-1381,19 10 09,,+48 43 40,,,1306.0,,,,,Kepler-1381.xml,
Kepler-1382,Kepler-1382,19 41 31,,+39 02 53,,,730.0,,,,,Kepler-1382.xml,
Kepler-1383,Kepler-1383,19 51 47,,+42 11 31,,,961.0,,,,,Kepler-1383.xml,
Kepler-1384,Kepler-1384,19 44 52,,+39 31 37,,,618.0,,,,,Kepler-1384.xml,
Kepler-1385,Kepler-1385,18 50 32,,+46 28 52,,,527.0,,,,,Kepler-1385.xml,
Kepler-1386,Kepler-1386,18 43 18,,+42 38 10,,,838.0,,,,,Kepler-1386.xml,
Kepler-1387,Kepler-1387,19 29 46,,+43 12 34,,,491.0,,,,,Kepler-1387.xml,
Kepler-1388,Kepler-1388,18 53 21,,+47 10 28,,,492.0,,,,,Kepler-1388.xml,
Kepler-1389,Kepler-1389,19 02 52,,+44 45 30,,,521.0,,,,,Kepler-1389.xml,
Kepler-139,Kepler-139,18 49 34,,+43 53 21,,476.47,,,,,,Kepler-139.xml,
Kepler-1390,Kepler-1390,19 54 39,,+48 14 56,,,760.0,,,,,Kepler-1390.xml,
Kepler-1391,Kepler-1391,19 39 19,,+46 39 35,,,721.0,,,,,Kepler-1391.xml,
Kepler-1392,Kepler-1392,19 15 04,,+46 23 40,,,1117.0,,,,,Kepler-1392.xml,
Kepler-1393,Kepler-1393,18 57 50,,+40 08 33,,,462.0,,,,,Kepler-1393.xml,
Kepler-1394,Kepler-1394,18 53 49,,+45 05 03,,,820.0,,,,,Kepler-1394.xml,
Kepler-1395,Kepler-1395,19 29 21,,+47 39 51,,,507.0,,,,,Kepler-1395.xml,
Kepler-1396,Kepler-1396,19 37 21,,+44 55 06,,,1236.0,,,,,Kepler-1396.xml,
Kepler-1397,Kepler-1397,19 58 42,,+47 04 33,,,770.0,,,,,Kepler-1397.xml,
Kepler-1398,Kepler-1398,19 39 28,,+48 38 20,,,793.0,,,,,Kepler-1398.xml,
Kepler-1399,Kepler-1399,19 33 15,,+46 02 30,,,1256.0,,,,,Kepler-1399.xml,
Kepler-14,Kepler-14,19 10 50,,+47 19 59,,,,,,,,Kepler-14.xml,
Kepler-140,Kepler-140,19 09 28,,+46 46 05,,638.17,,,,,,Kepler-140.xml,
Kepler-1400,Kepler-1400,19 05 05,,+45 26 27,,,879.0,,,,,Kepler-1400.xml,
Kepler-1401,Kepler-1401,19 09 52,,+40 45 30,,,1242.0,,,,,Kepler-1401.xml,
Kepler-1402,Kepler-1402,19 27 23,,+48 58 05,,,681.0,,,,,Kepler-1402.xml,
Kepler-1403,Kepler-1403,19 23 28,,+38 57 36,,,1801.0,,,,,Kepler-1403.xml,
Kepler-1404,Kepler-1404,19 44 02,,+50 29 54,,,946.0,,,,,Kepler-1404.xml,
Kepler-1405,Kepler-1405,19 42 44,,+39 15 22,,,1605.0,,,,,Kepler-1405.xml,
Kepler-1406,Kepler-1406,19 28 20,,+38 54 54,,,587.0,,,,,Kepler-1406.xml,
Kepler-1407,Kepler-1407,18 55 46,,+41 28 18,,,1275.0,,,,,Kepler-1407.xml,
Kepler-1408,Kepler-1408,18 50 48,,+45 25 33,,,426.0,,,,,Kepler-1408.xml,
Kepler-1409,Kepler-1409,19 20 20,,+51 12 31,,,722.0,,,,,Kepler-1409.xml,
Kepler-141,Kepler-141,19 51 53,,+47 43 54,,313.46,,,,,,Kepler-141.xml,
Kepler-1410,Kepler-1410,19 22 02,,+38 44 37,,,367.0,,,,,Kepler-1410.xml,
Kepler-1411,Kepler-1411,19 05 27,,+42 57 50,,,1431.0,,,,,Kepler-1411.xml,
Kepler-1412,Kepler-1412,19 28 43,,+49 12 09,,,639.0,,,,,Kepler-1412.xml,
Kepler-1413,Kepler-1413,19 37 22,,+46 29 56,,,1162.0,,,,,Kepler-1413.xml,
Kepler-1414,Kepler-1414,18 59 43,,+42 25 20,,,534.0,,,,,Kepler-1414.xml,
Kepler-1415,Kepler-1415,19 00 38,,+47 52 24,,,1066.0,,,,,Kepler-1415.xml,
Kepler-1416,Kepler-1416,19 54 39,,+43 53 39,,,807.0,,,,,Kepler-1416.xml,
Kepler-1417,Kepler-1417,19 23 48,,+40 36 19,,,656.0,,,,,Kepler-1417.xml,
Kepler-1418,Kepler-1418,18 51 59,,+41 40 43,,,499.0,,,,,Kepler-1418.xml,
Kepler-1419,Kepler-1419,19 29 01,,+37 58 17,,,1444.0,,,,,Kepler-1419.xml,
Kepler-142,Kepler-142,19 40 28,,+48 28 52,,627.86,,,,,,Kepler-142.xml,
Kepler-1420,Kepler-1420,19 44 49,,+42 46 40,,,923.0,,,,,Kepler-1420.xml,
Kepler-1421,Kepler-1421,19 06 19,,+48 32 39,,,675.0,,,,,Kepler-1421.xml,
Kepler-1422,Kepler-1422,19 35 34,,+48 20 10,,,2081.0,,,,,Kepler-1422.xml,
Kepler-1423,Kepler-1423,19 12 59,,+41 06 36,,,449.0,,,,,Kepler-1423.xml,
Kepler-1424,Kepler-1424,19 23 58,,+40 13 46,,,620.0,,,,,Kepler-1424.xml,
Kepler-1425,Kepler-1425,19 39 48,,+43 00 45,,,499.0,,,,,Kepler-1425.xml,
Kepler-1426,Kepler-1426,19 30 11,,+49 25 01,,,1211.0,,,,,Kepler-1426.xml,
Kepler-1427,Kepler-1427,19 41 24,,+45 06 52,,,1220.0,,,,,Kepler-1427.xml,
Kepler-1428,Kepler-1428,19 50 34,,+49 35 42,,,802.0,,,,,Kepler-1428.xml,
Kepler-1429,Kepler-1429,19 01 28,,+49 02 42,,,1156.0,,,,,Kepler-1429.xml,
Kepler-143,Kepler-143,19 52 16,,+49 24 45,,890.59,,,,,,Kepler-143.xml,
