Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
HATS-6,HATS-6,05 52 35.231,,-19 01 53.96,,172.6,148.4,5.5,3.3,5.5,3.3,HATS-6.xml,
HATS-7,HATS-7,13 55 25.68,,-21 12 27.7,,,,,,,,HATS-7.xml,
HATS-8,HATS-8,19 39 46.08,,-25 44 53.9,,,,,,,,HATS-8.xml,
HATS-9,HATS-9,19 23 14.28,,-20 09 58.7,,,,30,42.0,42,30.0,HATS-9.xml,
HD 100655,HD 100655,11 35 04,,+20 26 30,,,,,8.0,,8.0,HD 100655.xml,
HD 100777,HD 100777,11 35 52,,-04 45 21,,,,,3.4,,3.4,HD 100777.xml,
HD 10180,HD 10180,01 37 54,,-60 30 42,,,,,1.0,,1.0,HD 10180.xml,
HD 101930,HD 101930,11 43 30,,-58 00 24,,,,,,,,HD 101930.xml,
HD 102117,HD 102117,11 44 50,,-58 42 13,,,,,,,,HD 102117.xml,
HD 102195,HD 102195,11 45 42,,+02 49 17,,,,,1.0,,1.0,HD 102195.xml,
HD 102272,HD 102272,11 46 24,,+14 07 26,,,,,90.0,,90.0,HD 102272.xml,
HD 102329,HD 102329,11 46 46,,+03 28 27,,,,,21.0,,21.0,HD 102329.xml,
HD 102365,HD 102365,11 46 31,,-40 30 01,,,,,0.06,,0.06,HD 102365.xml,
HD 102956,HD 102956,11 51 23,,+57 38 27,,,,,13.0,,13.0,HD 102956.xml,
HD 103197,HD 103197,11 52 53,,-50 17 34,,,,,3.6,,3.6,HD 103197.xml,
HD 103720,HD 103720,11 56 41.18534,,-02 46 44.2430,,41.58,41.6,2.07,2.1,2.07,2.1,HD 103720.xml,
HD 103774,HD 103774,11 56 55,,-12 06 28,,,,,2.0,,2.0,HD 103774.xml,
HD 104067,HD 104067,11 59 10,,-20 21 14,,,,,0.04,,0.04,HD 104067.xml,
HD 10442,HD 10442,01 41 53.142,,+02 42 15.77,,,,,,,,HD 10442.xml,
HD 104985,HD 104985,12 05 15.11890,,+76 54 20.6475,,97.1,102.0,2.4,,2.4,,HD 104985.xml,
HD 106252,HD 106252,12 13 29,,+10 02 29,,,,,,,,HD 106252.xml,
HD 106270,HD 106270,12 13 37,,-09 30 47,,,,,5.7,,5.7,HD 106270.xml,
HD 10647,HD 10647,01 42 29,,-53 44 27,,,,,,,,HD 10647.xml,
HD 106515 A,HD 106515 A,12 15 07,,-07 15 26,,,,,1.0,,1.0,HD 106515 A.xml,
HD 106906,HD 106906,12 17 53.19228,,-55 58 31.8890,,,,,,,,HD 106906.xml,
HD 10697,HD 10697,01 44 55,,+20 04 59,,,,,0.88,,0.88,HD 10697.xml,
HD 107148,HD 107148,12 19 13,,-03 19 11,,,,,2.6,,2.6,HD 107148.xml,
HD 108147,HD 108147,12 25 46,,-64 01 19,,,,,,,,HD 108147.xml,
HD 108341,HD 108341,12 27 31.38999,,-71 25 22.7053,,,,,,,,HD 108341.xml,
HD 108863,HD 108863,12 30 19,,+21 56 54,,,,,15.0,,15.0,HD 108863.xml,
HD 108874,HD 108874,12 30 26,,+22 52 47,,,,,,,,HD 108874.xml,
HD 109246,HD 109246,12 32 07,,+74 29 22,,,,,3.0,,3.0,HD 109246.xml,
HD 109271,HD 109271,12 33 35,,-11 37 18,,,,,3.0,,3.0,HD 109271.xml,
HD 109749,HD 109749,12 37 16,,-40 48 43,,,,,,,,HD 109749.xml,
HD 110014,HD 110014,12 39 14,,-07 59 44,,,,,2.3,,2.3,HD 110014.xml,
HD 111232,HD 111232,12 48 51,,-68 25 30,,,,,,,,HD 111232.xml,
HD 113337,HD 113337,13 01 47,,+63 36 37,,,,,,,,HD 113337.xml,
HD 113538,HD 113538,13 04 57.47691,,-52 26 34.5223,,15.87,15.8,0.34,0.4,0.34,0.4,HD 113538.xml,
HD 114386,HD 114386,13 10 39,,-35 03 17,,28.04,28.0,,,,,HD 114386.xml,
HD 114613,HD 114613,13 12 03.18502,,-37 48 10.8901,,,,,,,,HD 114613.xml,
HD 114729,HD 114729,13 12 44,,-31 52 24,,,,,,,,HD 114729.xml,
HD 114762,HD 114762,13 12 19,,+17 31 01,,,,,2.86,,2.86,HD 114762.xml,
HD 114783,HD 114783,13 12 43,,-02 15 54,,,,,,,,HD 114783.xml,
HD 11506,HD 11506,01 52 50.535,,-19 30 25.11,,51.7,53.82,1.6,,1.6,,HD 11506.xml,
