Primary planet name,All planet names,Lists,Mass [Mjup],Mass [Mjup] errorminus,Mass [Mjup] errorplus,Mass [Mjup] lowerlimit,Mass [Mjup] upperlimit,Radius [Rjup],Radius [Rjup] errorminus,Radius [Rjup] errorplus,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,Orbital period [days],Orbital period [days] errorminus,Orbital period [days] errorplus,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,Eccentricity,Eccentricity errorminus,Eccentricity errorplus,Eccentricity lowerlimit,Eccentricity upperlimit,Equilibrium temperature [K],Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,Discovery method,Discovery year,Last updated [yy/mm/dd],source (xml)
Kepler-241 c,Kepler-241 c|KOI-842 c|KOI-842.02|KIC 5794379 c|KIC 5794379.02,Confirmed planets,,,,,,0.23420,0.01002,0.10115,,,36.065978,.000133,0.000133,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-241.xml
Kepler-242 b,Kepler-242 b|KOI-853 b|KOI-853.01|KIC 6428700 b|KIC 6428700.01,Confirmed planets,,,,,,0.23785,0.05468,0.14581,,,8.203950,.000020,0.000020,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-242.xml
Kepler-242 c,Kepler-242 c|KOI-853 c|KOI-853.02|KIC 6428700 c|KIC 6428700.02,Confirmed planets,,,,,,0.18226,0.02096,0.11209,,,14.496481,.000083,0.000083,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-242.xml
Kepler-243 b,Kepler-243 b|KOI-857 b|KOI-857.01|KIC 6587280 b|KIC 6587280.01,Confirmed planets,,,,,,0.22327,0.01458,0.10571,,,5.715442,.000011,0.000011,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-243.xml
Kepler-243 c,Kepler-243 c|KOI-857 c|KOI-857.02|KIC 6587280 c|KIC 6587280.02,Confirmed planets,,,,,,0.18135,0.08840,0.08840,,,20.026218,.000163,0.000163,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-243.xml
Kepler-244 b,Kepler-244 b|KOI-864 b|KOI-864.01|KIC 6849310 b|KIC 6849310.01,Confirmed planets,,,,,,0.25152,0.01458,0.10571,,,4.311792,.000008,0.000008,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-244.xml
Kepler-244 d,Kepler-244 d|KOI-864 d|KOI-864.02|KIC 6849310 d|KIC 6849310.02,Confirmed planets,,,,,,0.21051,0.08840,0.08840,,,20.050401,.000130,0.000130,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-244.xml
Kepler-244 c,Kepler-244 c|KOI-864 c|KOI-864.03|KIC 6849310 c|KIC 6849310.03,Confirmed planets,,,,,,0.18682,0.07928,0.07928,,,9.767292,.000046,0.000046,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-244.xml
Kepler-245 b,Kepler-245 b|KOI-869 b|KOI-869.01|KIC 6948054 b|KIC 6948054.01,Confirmed planets,,,,,,0.23420,0.01640,0.01640,,,7.490190,.000019,0.000019,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-245.xml
Kepler-245 d,Kepler-245 d|KOI-869 d|KOI-869.02|KIC 6948054 d|KIC 6948054.02,Confirmed planets,,,,,,0.27612,0.01914,0.01914,,,36.277108,.000173,0.000173,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-245.xml
Kepler-245 c,Kepler-245 c|KOI-869 c|KOI-869.03|KIC 6948054 c|KIC 6948054.03,Confirmed planets,,,,,,0.19866,0.01549,0.01549,,,17.460812,.000076,0.000076,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-245.xml
Kepler-245 e,Kepler-245 e,Confirmed planets,,,,,,0.156,0.005,0.007,,,3.219821060,0.000004740,0.000004740,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-245.xml
Kepler-246 b,Kepler-246 b|KOI-874 b|KOI-874.01|KIC 7134976 b|KIC 7134976.01,Confirmed planets,,,,,,0.21324,0.01823,0.10936,,,4.601820,.000008,0.000008,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-246.xml
Kepler-246 c,Kepler-246 c|KOI-874 c|KOI-874.02|KIC 7134976 c|KIC 7134976.02,Confirmed planets,,,,,,0.13670,0.06926,0.06926,,,11.187161,.000075,0.000075,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-246.xml
Kepler-247 c,Kepler-247 c|KOI-884 c|KOI-884.01|KIC 7434875 c|KIC 7434875.01,Confirmed planets,,,,,,0.37272,0.01276,0.10389,,,9.439452,.000007,0.000007,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-247.xml
Kepler-247 d,Kepler-247 d|KOI-884 d|KOI-884.02|KIC 7434875 d|KIC 7434875.02,Confirmed planets,,,,,,0.35905,0.00911,0.10024,,,20.477912,.000026,0.000026,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-247.xml
Kepler-247 b,Kepler-247 b|KOI-884 b|KOI-884.03|KIC 7434875 b|KIC 7434875.03,Confirmed planets,,,,,,0.14945,0.04192,0.04192,,,3.336160,.000007,0.000007,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-247.xml
Kepler-248 c,Kepler-248 c|KOI-896 c|KOI-896.01|KIC 7825899 c|KIC 7825899.01,Confirmed planets,,,,,,0.37090,0.04465,0.04465,,,16.239494,.000024,0.000024,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-248.xml
Kepler-248 b,Kepler-248 b|KOI-896 b|KOI-896.02|KIC 7825899 b|KIC 7825899.02,Confirmed planets,,,,,,0.27521,0.03281,0.03281,,,6.308205,.000010,0.000010,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-248.xml
Kepler-249 c,Kepler-249 c|KOI-899 c|KOI-899.01|KIC 7907423 c|KIC 7907423.01,Confirmed planets,,,,,,0.13761,0.00820,0.00820,,,7.113702,.000018,0.000018,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-249.xml
Kepler-249 b,Kepler-249 b|KOI-899 b|KOI-899.02|KIC 7907423 b|KIC 7907423.02,Confirmed planets,,,,,,0.09933,0.00456,0.00456,,,3.306539,.000010,0.000010,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-249.xml
Kepler-249 d,Kepler-249 d|KOI-899 d|KOI-899.03|KIC 7907423 d|KIC 7907423.03,Confirmed planets,,,,,,0.14307,0.01276,0.01276,,,15.368459,.000070,0.000070,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-249.xml
Kepler-25 b,Kepler-25 b|KIC 4349452 b|KOI-244.02|KOI-244 b,Confirmed planets,,,,,,0.2411,0.0033,0.0033,,,6.2385369,0.0000033,0.0000033,,,0.05,0.05,0.11,,,1220.6,,,,,transit,2012,15/06/09,Kepler-25.xml
Kepler-25 c,Kepler-25 c|KIC 4349452 c|KOI-244.01|KOI-244 c,Confirmed planets,,,,,,0.4598,0.0054,0.0054,,,12.7203678,0.0000035,0.0000035,,,0.01,0.01,0.07,,,959.7,,,,,transit,2012,15/06/09,Kepler-25.xml
Kepler-25 d,Kepler-25 d|KOI-244.10|KIC 4349452 d|KOI-244 d,Confirmed planets,0.282798,0.043096,0.043096,,,,,,,,123,2,2,,,,,,,,,,,,,RV,2014,14/02/24,Kepler-25.xml
Kepler-250 c,Kepler-250 c|KOI-906 c|KOI-906.01|KIC 8226994 c|KIC 8226994.01,Confirmed planets,,,,,,0.20778,0.02825,0.11938,,,7.156804,.000022,0.000022,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-250.xml
