Primary planet name,All planet names,Lists,Mass [Mjup],Mass [Mjup] errorminus,Mass [Mjup] errorplus,Mass [Mjup] lowerlimit,Mass [Mjup] upperlimit,Radius [Rjup],Radius [Rjup] errorminus,Radius [Rjup] errorplus,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,Orbital period [days],Orbital period [days] errorminus,Orbital period [days] errorplus,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,Eccentricity,Eccentricity errorminus,Eccentricity errorplus,Eccentricity lowerlimit,Eccentricity upperlimit,Equilibrium temperature [K],Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,Discovery method,Discovery year,Last updated [yy/mm/dd],source (xml)
Kepler-250 d,Kepler-250 d|KOI-906 d|KOI-906.02|KIC 8226994 d|KIC 8226994.02,Confirmed planets,,,,,,0.19866,0.02278,0.11391,,,17.648312,.000081,0.000081,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-250.xml
Kepler-250 b,Kepler-250 b|KOI-906 b|KOI-906.03|KIC 8226994 b|KIC 8226994.03,Confirmed planets,,,,,,0.10298,0.06197,0.06197,,,4.148141,.000046,0.000046,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-250.xml
Kepler-251 c,Kepler-251 c|KOI-907 c|KOI-907.01|KIC 8247638 c|KIC 8247638.01,Confirmed planets,,,,,,0.25243,0.04465,0.04465,,,16.514043,.000054,0.000054,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-251.xml
Kepler-251 d,Kepler-251 d|KOI-907 d|KOI-907.02|KIC 8247638 d|KIC 8247638.02,Confirmed planets,,,,,,0.25243,0.04465,0.04465,,,30.133001,.000161,0.000161,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-251.xml
Kepler-251 b,Kepler-251 b|KOI-907 b|KOI-907.03|KIC 8247638 b|KIC 8247638.03,Confirmed planets,,,,,,0.12120,0.02187,0.02187,,,4.790936,.000037,0.000037,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-251.xml
Kepler-251 e,Kepler-251 e|KOI-907 e|KOI-907.04|KIC 8247638 e|KIC 8247638.04,Confirmed planets,,,,,,0.25243,0.04465,0.04465,,,99.640161,.001074,0.001074,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-251.xml
Kepler-252 c,Kepler-252 c|KOI-912 c|KOI-912.01|KIC 8505670 c|KIC 8505670.01,Confirmed planets,,,,,,0.19593,0.01185,0.01185,,,10.848463,.000015,0.000015,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-252.xml
Kepler-252 b,Kepler-252 b|KOI-912 b|KOI-912.02|KIC 8505670 b|KIC 8505670.02,Confirmed planets,,,,,,0.11209,0.01094,0.01094,,,6.668391,.000031,0.000031,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-252.xml
Kepler-253 c,Kepler-253 c|KOI-921 c|KOI-921.01|KIC 8689373 c|KIC 8689373.01,Confirmed planets,,,,,,0.24150,0.01002,0.10115,,,10.281951,.000032,0.000032,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-253.xml
Kepler-253 d,Kepler-253 d|KOI-921 d|KOI-921.02|KIC 8689373 d|KIC 8689373.02,Confirmed planets,,,,,,0.28888,0.02734,0.11847,,,18.119869,.000066,0.000066,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-253.xml
Kepler-253 b,Kepler-253 b|KOI-921 b|KOI-921.03|KIC 8689373 b|KIC 8689373.03,Confirmed planets,,,,,,0.14854,0.06106,0.06106,,,3.783986,.000017,0.000017,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-253.xml
Kepler-254 b,Kepler-254 b|KOI-934 b|KOI-934.01|KIC 9334289 b|KIC 9334289.01,Confirmed planets,,,,,,0.35267,0.07746,0.16859,,,5.826662,.000010,0.000010,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-254.xml
Kepler-254 c,Kepler-254 c|KOI-934 c|KOI-934.02|KIC 9334289 c|KIC 9334289.02,Confirmed planets,,,,,,0.19593,0.00273,0.09386,,,12.412183,.000082,0.000082,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-254.xml
Kepler-254 d,Kepler-254 d|KOI-934 d|KOI-934.03|KIC 9334289 d|KIC 9334289.03,Confirmed planets,,,,,,0.22783,0.01731,0.10845,,,18.746477,.000121,0.000121,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-254.xml
Kepler-255 c,Kepler-255 c|KOI-938 c|KOI-938.01|KIC 9415172 c|KIC 9415172.01,Confirmed planets,,,,,,0.27248,0.01640,0.10753,,,9.946047,.000035,0.000035,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-255.xml
Kepler-255 b,Kepler-255 b|KOI-938 b|KOI-938.03|KIC 9415172 b|KIC 9415172.03,Confirmed planets,,,,,,0.14125,0.05650,0.05650,,,5.714606,.000052,0.000052,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-255.xml
Kepler-255 d,Kepler-255 d,Confirmed planets,,,,,,0.118,0.009,0.012,,,1.045622660,0.000002670,0.000002670,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-255.xml
Kepler-256 c,Kepler-256 c|KOI-939 c|KOI-939.01|KIC 9466668 c|KIC 9466668.01,Confirmed planets,,,,,,0.19593,0.04830,0.04830,,,3.388020,.000016,0.000016,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-256.xml
Kepler-256 d,Kepler-256 d|KOI-939 d|KOI-939.02|KIC 9466668 d|KIC 9466668.02,Confirmed planets,,,,,,0.22600,0.05741,0.05741,,,5.839172,.000031,0.000031,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-256.xml
Kepler-256 b,Kepler-256 b|KOI-939 b|KOI-939.03|KIC 9466668 b|KIC 9466668.03,Confirmed planets,,,,,,0.14490,0.03554,0.03554,,,1.620493,.000009,0.000009,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-256.xml
Kepler-256 e,Kepler-256 e|KOI-939 e|KOI-939.04|KIC 9466668 e|KIC 9466668.04,Confirmed planets,,,,,,0.21416,0.05286,0.05286,,,10.681572,.000066,0.000066,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-256.xml
Kepler-257 c,Kepler-257 c|KOI-941 c|KOI-941.01|KIC 9480189 c|KIC 9480189.01,Confirmed planets,,,,,,0.49301,0.06561,0.24787,,,6.581484,.000008,0.000008,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-257.xml
Kepler-257 b,Kepler-257 b|KOI-941 b|KOI-941.02|KIC 9480189 b|KIC 9480189.02,Confirmed planets,,,,,,0.23785,0.02825,0.11938,,,2.382667,.000006,0.000006,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-257.xml
Kepler-257 d,Kepler-257 d|KOI-941 d|KOI-941.03|KIC 9480189 d|KIC 9480189.03,Confirmed planets,,,,,,0.45109,0.04374,0.22600,,,24.664551,.000051,0.000051,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-257.xml
Kepler-258 b,Kepler-258 b|KOI-951 b|KOI-951.01|KIC 9775938 b|KIC 9775938.01,Confirmed planets,,,,,,0.36999,0.06470,0.24696,,,13.197220,.000019,0.000019,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-258.xml
Kepler-258 c,Kepler-258 c|KOI-951 c|KOI-951.02|KIC 9775938 c|KIC 9775938.02,Confirmed planets,,,,,,0.32898,0.03919,0.22145,,,33.653079,.000189,0.000189,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-258.xml
Kepler-259 b,Kepler-259 b|KOI-954 b|KOI-954.01|KIC 9823457 b|KIC 9823457.01,Confirmed planets,,,,,,0.25516,0.03372,0.12485,,,8.115317,.000022,0.000022,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-259.xml
Kepler-259 c,Kepler-259 c|KOI-954 c|KOI-954.02|KIC 9823457 c|KIC 9823457.02,Confirmed planets,,,,,,0.24605,0.02825,0.11938,,,36.924931,.000181,0.000181,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-259.xml
Kepler-26 b,Kepler-26 b|KOI-250 b|KOI-250.01|KIC 9757613 b|KIC 9757613.01,Confirmed planets,0.016097,0.001916,0.002054,,,0.26792,0.01276,0.01276,,,12.282972,.000013,0.000013,,,,,,,,,,,,,transit,2014,16/01/13,Kepler-26.xml
Kepler-26 c,Kepler-26 c|KOI-250 c|KOI-250.02|KIC 9757613 c|KIC 9757613.02,Confirmed planets,0.019492,0.001949,0.002055,,,0.26792,0.02825,0.02825,,,17.251204,.000034,0.000034,,,,,,,,,,,,,transit,2014,16/01/13,Kepler-26.xml
Kepler-26 d,Kepler-26 d|KOI-250 d|KOI-250.03|KIC 9757613 d|KIC 9757613.03,Confirmed planets,,,,,,0.09751,0.00547,0.00547,,,3.543919,.000015,0.000015,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-26.xml
Kepler-26 e,Kepler-26 e|KOI-250 e|KOI-250.04|KIC 9757613 e|KIC 9757613.04,Confirmed planets,,,,,,0.21962,0.01367,0.01367,,,46.827915,.000173,0.000173,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-26.xml
Kepler-260 b,Kepler-260 b|KOI-986 b|KOI-986.01|KIC 2854698 b|KIC 2854698.01,Confirmed planets,,,,,,0.18317,0.05012,0.05012,,,8.187399,.000022,0.000022,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-260.xml
Kepler-260 c,Kepler-260 c|KOI-986 c|KOI-986.02|KIC 2854698 c|KIC 2854698.02,Confirmed planets,,,,,,0.15857,0.04921,0.04921,,,76.050178,.001026,0.001026,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-260.xml
Kepler-261 b,Kepler-261 b|KOI-988 b|KOI-988.01|KIC 2302548 b|KIC 2302548.01,Confirmed planets,,,,,,0.19866,0.01276,0.01276,,,10.381227,.000016,0.000016,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-261.xml
Kepler-261 c,Kepler-261 c|KOI-988 c|KOI-988.02|KIC 2302548 c|KIC 2302548.02,Confirmed planets,,,,,,0.18226,0.01276,0.01276,,,24.570858,.000069,0.000069,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-261.xml
Kepler-262 c,Kepler-262 c|KOI-993 c|KOI-993.01|KIC 1718189 c|KIC 1718189.01,Confirmed planets,,,,,,0.14945,0.06197,0.06197,,,21.853722,.000187,0.000187,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-262.xml
Kepler-262 b,Kepler-262 b|KOI-993 b|KOI-993.02|KIC 1718189 b|KIC 1718189.02,Confirmed planets,,,,,,0.12394,0.05377,0.05377,,,13.060855,.000164,0.000164,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-262.xml
Kepler-263 b,Kepler-263 b|KOI-999 b|KOI-999.01|KIC 2165002 b|KIC 2165002.01,Confirmed planets,,,,,,0.24332,0.04101,0.13214,,,16.568087,.000065,0.000065,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-263.xml
Kepler-263 c,Kepler-263 c|KOI-999 c|KOI-999.02|KIC 2165002 c|KIC 2165002.02,Confirmed planets,,,,,,0.22509,0.03190,0.12303,,,47.332773,.000456,0.000456,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-263.xml
Kepler-264 b,Kepler-264 b|KOI-1001 b|KOI-1001.01|KIC 1871056 b|KIC 1871056.01,Confirmed planets,,,,,,0.30346,0.06744,0.06744,,,40.806231,.000538,0.000538,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-264.xml
Kepler-264 c,Kepler-264 c|KOI-1001 c|KOI-1001.02|KIC 1871056 c|KIC 1871056.02,Confirmed planets,,,,,,0.25790,0.05286,0.05286,,,140.101261,.003678,0.003678,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-264.xml
Kepler-265 c,Kepler-265 c|KOI-1052 c|KOI-1052.01|KIC 5956342 c|KIC 5956342.01,Confirmed planets,,,,,,0.23967,0.05012,0.05012,,,17.028937,.000136,0.000136,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-265.xml
Kepler-265 b,Kepler-265 b|KOI-1052 b|KOI-1052.02|KIC 5956342 b|KIC 5956342.02,Confirmed planets,,,,,,0.16950,0.04101,0.04101,,,6.846262,.000063,0.000063,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-265.xml
Kepler-265 e,Kepler-265 e|KOI-1052 e|KOI-1052.03|KIC 5956342 e|KIC 5956342.03,Confirmed planets,,,,,,0.23603,0.05012,0.05012,,,67.831024,.001396,0.001396,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-265.xml
Kepler-265 d,Kepler-265 d|KOI-1052 d|KOI-1052.04|KIC 5956342 d|KIC 5956342.04,Confirmed planets,,,,,,0.22691,0.04921,0.04921,,,43.130617,.000658,0.000658,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-265.xml
Kepler-266 b,Kepler-266 b|KOI-1070 b|KOI-1070.01|KIC 8240904 b|KIC 8240904.01,Confirmed planets,,,,,,0.22600,0.01823,0.10936,,,6.618330,.000048,0.000048,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-266.xml
Kepler-266 c,Kepler-266 c|KOI-1070 c|KOI-1070.02|KIC 8240904 c|KIC 8240904.02,Confirmed planets,,,,,,0.35450,0.08111,0.17224,,,107.723601,.001643,0.001643,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-266.xml
Kepler-267 b,Kepler-267 b|KOI-1078 b|KOI-1078.01|KIC 10166274 b|KIC 10166274.01,Confirmed planets,,,,,,0.18044,0.00820,0.00820,,,3.353728,.000007,0.000007,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-267.xml
Kepler-267 c,Kepler-267 c|KOI-1078 c|KOI-1078.02|KIC 10166274 c|KIC 10166274.02,Confirmed planets,,,,,,0.19411,0.01002,0.01002,,,6.877450,.000016,0.000016,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-267.xml
Kepler-267 d,Kepler-267 d|KOI-1078 d|KOI-1078.03|KIC 10166274 d|KIC 10166274.03,Confirmed planets,,,,,,0.20687,0.01094,0.01094,,,28.464515,.000180,0.000180,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-267.xml
Kepler-268 b,Kepler-268 b|KOI-1113 b|KOI-1113.01|KIC 2854914 b|KIC 2854914.01,Confirmed planets,,,,,,0.23238,0.04283,0.04283,,,25.934138,.000142,0.000142,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-268.xml
Kepler-268 c,Kepler-268 c|KOI-1113 c|KOI-1113.02|KIC 2854914 c|KIC 2854914.02,Confirmed planets,,,,,,0.30802,0.06288,0.06288,,,83.446393,.000761,0.000761,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-268.xml
Kepler-269 b,Kepler-269 b|KOI-1127 b|KOI-1127.01|KIC 6359320 b|KIC 6359320.01,Confirmed planets,,,,,,0.22509,0.01367,0.10480,,,5.326718,.000035,0.000035,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-269.xml
Kepler-269 c,Kepler-269 c|KOI-1127 c|KOI-1127.02|KIC 6359320 c|KIC 6359320.02,Confirmed planets,,,,,,0.15401,0.07290,0.07290,,,8.127899,.000149,0.000149,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-269.xml
Kepler-27 b,Kepler-27 b|KOI-841.01|KOI-841 b|KIC 5792202 b,Confirmed planets,,,,,,0.364521,,,,,15.33,,,,,,,,,,532.4,,,,,transit,2012,12/08/06,Kepler-27.xml
Kepler-27 c,Kepler-27 c|KOI-841.02|KOI-841 c|KIC 5792202 c,Confirmed planets,,,,,,0.44653,,,,,31.33,,,,,,,,,,418.5,,,,,transit,2012,12/08/06,Kepler-27.xml
Kepler-270 b,Kepler-270 b|KOI-1148 b|KOI-1148.01|KIC 8410727 b|KIC 8410727.01,Confirmed planets,,,,,,0.18317,0.03645,0.03645,,,11.476094,.000071,0.000071,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-270.xml
Kepler-270 c,Kepler-270 c|KOI-1148 c|KOI-1148.02|KIC 8410727 c|KIC 8410727.02,Confirmed planets,,,,,,0.16130,0.03372,0.03372,,,25.262887,.000599,0.000599,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-270.xml
Kepler-271 b,Kepler-271 b|KOI-1151 b|KOI-1151.01|KIC 8280511 b|KIC 8280511.01,Confirmed planets,,,,,,0.08111,0.01458,0.01458,,,5.217738,.000043,0.000043,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-271.xml
Kepler-271 c,Kepler-271 c|KOI-1151 c|KOI-1151.02|KIC 8280511 c|KIC 8280511.02,Confirmed planets,,,,,,0.09113,0.01640,0.01640,,,7.410935,.000049,0.000049,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-271.xml
Kepler-271 d,Kepler-271 d,Confirmed planets,,,,,,0.059,0.004,0.004,,,5.249725410,0.000040620,0.000040620,,,,,,,,,,,,,transit,2016,16/05/10,Kepler-271.xml
Kepler-272 c,Kepler-272 c|KOI-1161 c|KOI-1161.01|KIC 10426656 c|KIC 10426656.01,Confirmed planets,,,,,,0.16312,0.08749,0.08749,,,6.057342,.000037,0.000037,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-272.xml
Kepler-272 d,Kepler-272 d|KOI-1161 d|KOI-1161.02|KIC 10426656 d|KIC 10426656.02,Confirmed planets,,,,,,0.20504,0.02005,0.11118,,,10.937304,.000073,0.000073,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-272.xml
Kepler-272 b,Kepler-272 b|KOI-1161 b|KOI-1161.03|KIC 10426656 b|KIC 10426656.03,Confirmed planets,,,,,,0.13032,0.07017,0.07017,,,2.971353,.000017,0.000017,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-272.xml
Kepler-273 b,Kepler-273 b|KOI-1163 b|KOI-1163.01|KIC 10468940 b|KIC 10468940.01,Confirmed planets,,,,,,0.13670,0.07837,0.07837,,,2.936532,.000009,0.000009,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-273.xml
Kepler-273 c,Kepler-273 c|KOI-1163 c|KOI-1163.02|KIC 10468940 c|KIC 10468940.02,Confirmed planets,,,,,,0.18044,0.01367,0.10480,,,8.014927,.000052,0.000052,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-273.xml
Kepler-274 b,Kepler-274 b|KOI-1196 b|KOI-1196.02|KIC 3348082 b|KIC 3348082.02,Confirmed planets,,,,,,0.14034,0.07655,0.07655,,,11.634788,.000134,0.000134,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-274.xml
Kepler-274 c,Kepler-274 c|KOI-1196 c|KOI-1196.03|KIC 3348082 c|KIC 3348082.03,Confirmed planets,,,,,,0.16768,0.09113,0.09113,,,33.197861,.000894,0.000894,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-274.xml
Kepler-275 c,Kepler-275 c|KOI-1198 c|KOI-1198.01|KIC 3447722 c|KIC 3447722.01,Confirmed planets,,,,,,0.30802,0.05832,0.05832,,,16.088134,.000164,0.000164,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-275.xml
Kepler-275 b,Kepler-275 b|KOI-1198 b|KOI-1198.02|KIC 3447722 b|KIC 3447722.02,Confirmed planets,,,,,,0.21324,0.04101,0.04101,,,10.300682,.000254,0.000254,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-275.xml
Kepler-275 d,Kepler-275 d|KOI-1198 d|KOI-1198.03|KIC 3447722 d|KIC 3447722.03,Confirmed planets,,,,,,0.30346,0.06744,0.06744,,,35.676062,.000641,0.000641,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-275.xml
Kepler-276 c,Kepler-276 c|KOI-1203 c|KOI-1203.01|KIC 3962243 c|KIC 3962243.01,Confirmed planets,,,,,,0.30984,0.06379,0.15492,,,31.884362,.000323,0.000323,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-276.xml
Kepler-276 b,Kepler-276 b|KOI-1203 b|KOI-1203.02|KIC 3962243 b|KIC 3962243.02,Confirmed planets,,,,,,0.26154,0.03190,0.12303,,,14.128410,.000111,0.000111,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-276.xml
Kepler-276 d,Kepler-276 d|KOI-1203 d|KOI-1203.03|KIC 3962243 d|KIC 3962243.03,Confirmed planets,,,,,,0.25608,0.02916,0.12029,,,48.648869,.000877,0.000877,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-276.xml
Kepler-277 b,Kepler-277 b|KOI-1215 b|KOI-1215.01|KIC 3939150 b|KIC 3939150.01,Confirmed planets,0.27619,0.01195,0.47343,,,0.26610,0.03554,0.03554,,,17.324,,,,,,,,,,,,,,,transit,2013,13/09/13,Kepler-277.xml
Kepler-277 c,Kepler-277 c|KOI-1215 c|KOI-1215.02|KIC 3939150 c|KIC 3939150.02,Confirmed planets,0.20856,0.00818,0.31834,,,0.30620,0.04101,0.04101,,,33.006,,,,,,,,,,,,,,,transit,2013,13/09/13,Kepler-277.xml
Kepler-278 b,Kepler-278 b|KOI-1221 b|KOI-1221.01|KIC 3640905 b|KIC 3640905.01,Confirmed planets,,,,,,0.37090,0.01458,0.01458,,,30.160546,0.000311,0.000311,,,0.03,0.03,0.33,,,,,,,,transit,2014,15/07/28,Kepler-278.xml
Kepler-278 c,Kepler-278 c|KOI-1221 c|KOI-1221.02|KIC 3640905 c|KIC 3640905.02,Confirmed planets,,,,,,0.32716,0.03919,0.03919,,,51.078775,0.000890,0.000890,,,,,,,,,,,,,transit,2014,15/07/28,Kepler-278.xml
Kepler-279 c,Kepler-279 c|KOI-1236 c|KOI-1236.01|KIC 6677841 c|KIC 6677841.01,Confirmed planets,,,,,,0.48664,0.09022,0.09022,,,35.740844,.000182,0.000182,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-279.xml
Kepler-279 b,Kepler-279 b|KOI-1236 b|KOI-1236.02|KIC 6677841 b|KIC 6677841.02,Confirmed planets,,,,,,0.32989,0.06470,0.06470,,,12.309681,.000051,0.000051,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-279.xml
Kepler-279 d,Kepler-279 d|KOI-1236 d|KOI-1236.03|KIC 6677841 d|KIC 6677841.03,Confirmed planets,,,,,,0.45201,0.08840,0.08840,,,54.399606,.000457,0.000457,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-279.xml
Kepler-28 b,Kepler-28 b|KOI-870.01|KOI-870 b|KIC 6949607 b,Confirmed planets,,,,,,0.32806906,,,,,5.91,,,,,,,,,,680.0,,,,,transit,2012,12/01/26,Kepler-28.xml
Kepler-28 c,Kepler-28 c|KOI-870.02|KOI-870 c|KIC 6949607 c,Confirmed planets,,,,,,0.30984,,,,,8.98,,,,,,,,,,595.0,,,,,transit,2012,12/08/06,Kepler-28.xml
Kepler-280 b,Kepler-280 b|KOI-1240 b|KOI-1240.01|KIC 6690082 b|KIC 6690082.01,Confirmed planets,,,,,,0.13214,0.06379,0.06379,,,2.139542,.000006,0.000006,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-280.xml
Kepler-280 c,Kepler-280 c|KOI-1240 c|KOI-1240.02|KIC 6690082 c|KIC 6690082.02,Confirmed planets,,,,,,0.18317,0.08840,0.08840,,,4.807091,.000009,0.000009,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-280.xml
Kepler-281 c,Kepler-281 c|KOI-1258 c|KOI-1258.01|KIC 8630788 c|KIC 8630788.01,Confirmed planets,,,,,,0.48390,0.00547,0.18773,,,36.337373,.000111,0.000111,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-281.xml
Kepler-281 b,Kepler-281 b|KOI-1258 b|KOI-1258.02|KIC 8630788 b|KIC 8630788.02,Confirmed planets,,,,,,0.25699,0.01094,0.10207,,,14.646008,.000139,0.000139,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-281.xml
Kepler-282 d,Kepler-282 d|KOI-1278 d|KOI-1278.01|KIC 8609450 d|KIC 8609450.01,Confirmed planets,,,,,,0.20778,0.04921,0.04921,,,24.805787,.000152,0.000152,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-282.xml
Kepler-282 e,Kepler-282 e|KOI-1278 e|KOI-1278.02|KIC 8609450 e|KIC 8609450.02,Confirmed planets,,,,,,0.23420,0.05559,0.05559,,,44.346937,.000309,0.000309,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-282.xml
Kepler-282 b,Kepler-282 b|KOI-1278 b|KOI-1278.03|KIC 8609450 b|KIC 8609450.03,Confirmed planets,,,,,,0.09204,0.02278,0.02278,,,9.220524,.000341,0.000341,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-282.xml
Kepler-282 c,Kepler-282 c|KOI-1278 c|KOI-1278.04|KIC 8609450 c|KIC 8609450.04,Confirmed planets,,,,,,0.10936,0.02643,0.02643,,,13.638723,.000491,0.000491,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-282.xml
Kepler-283 b,Kepler-283 b|KOI-1298 b|KOI-1298.01|KIC 10604335 b|KIC 10604335.01,Confirmed planets,,,,,,0.19411,0.02369,0.02369,,,11.008151,.000029,0.000029,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-283.xml
Kepler-283 c,Kepler-283 c|KOI-1298 c|KOI-1298.02|KIC 10604335 c|KIC 10604335.02,Confirmed planets,,,,,,0.16586,0.01094,0.01094,,,92.743711,.001413,0.001413,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-283.xml
Kepler-284 b,Kepler-284 b|KOI-1301 b|KOI-1301.01|KIC 10538176 b|KIC 10538176.01,Confirmed planets,,,,,,0.20413,0.08931,0.08931,,,12.699149,.000071,0.000071,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-284.xml
Kepler-284 c,Kepler-284 c|KOI-1301 c|KOI-1301.02|KIC 10538176 c|KIC 10538176.02,Confirmed planets,,,,,,0.23785,0.01640,0.10753,,,37.514456,.000350,0.000350,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-284.xml
Kepler-285 b,Kepler-285 b|KOI-1305 b|KOI-1305.01|KIC 10730034 b|KIC 10730034.01,Confirmed planets,,,,,,0.12211,0.05286,0.05286,,,2.633867,.000012,0.000012,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-285.xml
Kepler-285 c,Kepler-285 c|KOI-1305 c|KOI-1305.02|KIC 10730034 c|KIC 10730034.02,Confirmed planets,,,,,,0.10207,0.04465,0.04465,,,6.186676,.000059,0.000059,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-285.xml
Kepler-286 b,Kepler-286 b|KOI-1306 b|KOI-1306.01|KIC 10858691 b|KIC 10858691.01,Confirmed planets,,,,,,0.11300,0.02278,0.02278,,,1.796302,.000009,0.000009,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-286.xml
Kepler-286 c,Kepler-286 c|KOI-1306 c|KOI-1306.02|KIC 10858691 c|KIC 10858691.02,Confirmed planets,,,,,,0.12485,0.02461,0.02461,,,3.468095,.000023,0.000023,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-286.xml
Kepler-286 d,Kepler-286 d|KOI-1306 d|KOI-1306.03|KIC 10858691 d|KIC 10858691.03,Confirmed planets,,,,,,0.12120,0.02461,0.02461,,,5.914323,.000054,0.000054,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-286.xml
Kepler-286 e,Kepler-286 e|KOI-1306 e|KOI-1306.04|KIC 10858691 e|KIC 10858691.04,Confirmed planets,,,,,,0.16130,0.03919,0.03919,,,29.221289,.000370,0.000370,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-286.xml
Kepler-287 c,Kepler-287 c|KOI-1307 c|KOI-1307.01|KIC 10973814 c|KIC 10973814.01,Confirmed planets,,,,,,0.29708,0.04465,0.13578,,,44.851896,.000247,0.000247,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-287.xml
