Primary star name(from standardize_OEC_star.csv),pl_hostname(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),st_mass(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),st_masserr2(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),st_masserr1(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),st_rad(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),st_raderr2(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),st_raderr1(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),st_age(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),st_ageerr2(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),st_ageerr1(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),Age [Gyr] lowerlimit(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),Age [Gyr] upperlimit(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),st_metfe(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),st_metfeerr2(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),st_metfeerr1(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),st_teff(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),st_tefferr2(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),st_tefferr1(from standardize_NASA_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),st_optmag(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),st_optmagerr(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),st_optmagerr(from standardize_NASA_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_NASA_Catalogue_Star_Data.csv)
HD 106252,HD 106252,0.96,1.01,,0.02,,0.02,1.09,,,,,,,,,,,,,,,,-0.078,-0.070,,0.030,,0.030,5754.0,5870.00,,44.00,,44.00,g0,,7.36,7.408,,0.011,,0.011,HD 106252.xml,
HD 10647,HD 10647,,,,0.02,,0.02,,,,0.02,,0.02,,,,0.900,,0.900,,,,,,,,0.010,,0.010,6039.0,6218.00,,20.00,,20.00,f9v,,,,,,,,HD 10647.xml,
HD 107148,HD 107148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g5,,8.01,8.015,,0.012,,0.012,HD 107148.xml,
HD 108863,HD 108863,,,,0.13,,0.13,,,,0.10,,0.10,,1.800,,0.400,,0.400,,,,,,,,0.030,,0.030,,,,44.00,,44.00,k0,,,,,,,,HD 108863.xml,
HD 110014,HD 110014,2.09,2.17,,0.28,,0.28,,,,1.10,,1.10,,0.950,,0.400,,0.400,,,,,0.14,0.190,,0.050,,0.050,,,,70.00,,70.00,k2iii,,,,,,,,HD 110014.xml,
HD 113337,HD 113337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6576.60,,149.70,,153.20,f6v,,6,6.008,,0.009,,0.009,HD 113337.xml,
HD 114613,HD 114613,1.364,1.36,,,,,,,,,,,,,,,,,,,,,0.19,0.180,0.01,,0.01,,,,,,,,g4iv,,,,,,,,HD 114613.xml,
HD 114783,HD 114783,0.92,0.85,,0.03,,0.03,0.78,,,,,,,,,,,,,,,,0.33,0.210,,0.030,,0.030,5105.0,5135.00,,44.00,,44.00,k0,,7.57,7.550,,0.010,,0.010,HD 114783.xml,
V830 Tau,V830 Tau,,,,,,,,,,,,,0.0022,0.002,,,,,,,,,,,,,,,,,,,,,m0-1,,12.08,,,,,,V830 Tau.xml,
HATS-15,HATS-15,0.871,0.87,0.023,0.02,0.023,0.02,0.922,0.92,0.027,0.03,0.027,0.03,,,,,,,,,,,,,,,,,,,,,,,g9v,,,,,,,,HATS-15.xml,
HATS-16,HATS-16,,,0.035,0.04,0.035,0.04,1.238,1.24,0.127,0.13,0.097,0.10,,,,,,,,,,,0.100,-0.100,,,,,,,,,,,g3v,,,,,,,,HATS-16.xml,
WASP-121,WASP-121,1.353,1.35,0.079,0.08,,,1.458,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,f6v,,10.51,10.440,0.04,,0.04,,WASP-121.xml,
Proxima Centauri,Proxima Cen,,,0.015,0.01,0.014,0.01,0.141,0.14,0.019,0.02,0.022,0.02,,,,,,,,,,,,,,,,,,,,,,,m5.5v,,,11.110,,,,,Alpha Centauri.xml,
Kepler-405,Kepler-405,1.0200,,0.3000,,0.3000,,0.893,0.89,.425,0.42,0.425,0.42,,,,,,,,,,,,-0.131,,,,,,,50,250.00,,,,,,15.855,,,,,Kepler-405.xml,
Kepler-390,Kepler-390,0.8440,0.67,0.0390,,0.0390,,0.776,0.78,.053,0.05,0.053,0.05,,,,,,,,,,,,-0.539,,,,,,,,,,,,,,13.942,,,,,Kepler-390.xml,
Kepler-391,Kepler-391,,1.22,,,,,3.569,3.57,.853,0.85,0.853,0.85,,,,,,,,,,,,0.020,,,,,,,,,,,,,,13.007,,,,,Kepler-391.xml,
Kepler-392,Kepler-392,,1.13,,,,,1.129,1.13,.231,0.23,0.231,0.23,,,,,,,,,,,,-0.297,,,,,,,26,226.00,,,,,,13.455,,,,,Kepler-392.xml,
Kepler-393,Kepler-393,1.3800,1.32,0.1800,,0.1800,,1.382,1.38,.263,0.26,0.263,0.26,,,,,,,,,,,,-0.217,,,,,,,,,,,,,,13.223,,,,,Kepler-393.xml,
Kepler-394,Kepler-394,1.1700,1.11,0.1300,,0.1300,,1.132,1.13,,,,,,,,,,,,,,,,-0.129,,,,,,,,,,,,,,14.790,,,,,Kepler-394.xml,
Kepler-395,Kepler-395,0.5470,0.53,0.0370,,0.0370,,0.556,0.56,.022,0.02,0.022,0.02,,,,,,,,,,,,-0.163,,,,,,,,,,,,,,15.987,,,,,Kepler-395.xml,
KOI-2672,Kepler-396,0.95,0.85,,0.06,,0.13,1.04,1.06,,0.20,,0.39,,,,,,,,,,,,-0.129,,,,,5565,5384.00,,,,,,,12.26,11.921,0.17,,0.17,,KOI-2672.xml,
Kepler-397,Kepler-397,0.8440,,0.0320,,0.0320,,0.767,0.77,.066,0.07,0.066,0.07,,,,,,,,,,,,-0.035,,,,,,,,,,,,,,15.996,,,,,Kepler-397.xml,
Kepler-399,Kepler-399,0.9270,,0.0610,,0.0610,,,,.363,0.36,0.363,0.36,,,,,,,,,,,,-0.827,,,,,,,,,,,,,,14.467,,,,,Kepler-399.xml,
Kepler-400,Kepler-400,1.0300,,0.1100,,0.1100,,1.145,1.15,.208,0.21,0.208,0.21,,,,,,,,,,,,0.009,,,,,,,,,,,,,,13.642,,,,,Kepler-400.xml,
Kepler-402,Kepler-402,,,,,,,1.264,1.26,.244,0.24,0.244,0.24,,,,,,,,,,,,-0.220,,,,,,,20,120.00,,,,,,13.268,,,,,Kepler-402.xml,
Kepler-404,Kepler-404,0.9250,,0.0640,,0.0640,,0.884,0.88,.331,0.33,0.331,0.33,,,,,,,,,,,,-0.009,,,,,,,,,,,,,,15.228,,,,,Kepler-404.xml,
HD 148427,HD 148427,1.45,,,,,,3.22,,,,,,,,,,,,,,,,0.154,,,,,,5052.0,,,,,,k0iv,,6.89,6.895,,0.010,,0.010,HD 148427.xml,
HD 152079,HD 152079,1.023,1.10,,0.05,,0.05,,1.15,,0.13,,0.13,,3.000,,3.000,,3.000,,,,,,,,0.100,,0.100,5940.0,5726.00,,100.00,,100.00,g6v,,,,,,,,HD 152079.xml,
HD 154345,HD 154345,0.88,,,,,,,,,,,,,,,,,,,,,,-0.105,,,,,,5468.0,,,,,,g8v,,6.74,6.760,,0.000,,0.000,HD 154345.xml,
HD 156279,HD 156279,,,,0.04,,0.04,,,,,,,,4.100,,3.700,,3.600,,,,,,,,0.010,,0.010,,,,40.00,,40.00,k0,,8.08,8.100,,,,,HD 156279.xml,
HD 158038,HD 158038,,,,0.12,,0.12,,,,0.10,,0.10,,2.500,,0.300,,0.300,,,,,,,,0.030,,0.030,,,,44.00,,44.00,k0,,,,,,,,HD 158038.xml,
HD 117618,HD 117618,1.05,1.08,,,,,1.19,,,,,,,,,,,,,,,,0.04,0.030,,0.010,,0.010,5861.0,5990.00,,13.00,,13.00,g2v,,7.18,7.169,,0.011,,0.011,HD 117618.xml,
HD 125595,HD 125595,0.756,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,4908.0,,,,,,k4v,,9.03,9.000,,,,,HD 125595.xml,
HD 139357,HD 139357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k4iii,,5.98,5.964,,0.010,,0.010,HD 139357.xml,
HD 142415,HD 142415,1.09,1.03,,,,,1.03,,,,,,,1.100,,,,,,,,,,,,,,,5834.0,6045.00,,,,,g1v,,7.34,7.327,,0.010,,0.010,HD 142415.xml,
HD 145934,HD 145934,1.748,1.75,0.105,0.10,0.105,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k0,,8.49,8.500,,,,,HD 145934.xml,
HD 16417,HD 16417,1.18,1.20,,,,,,,,,,,,,,,,,,,,,0.19,0.060,,,,,5936.0,,,,,,g1v,,,,,,,,HD 16417.xml,
HD 164604,HD 164604,0.8,,,,,,,,,,,,,,,,,,,,,,-0.18,,,,,,5150.0,,,,,,k2v,,9.7,9.827,,0.041,,0.041,HD 164604.xml,
HD 167042,HD 167042,1.72,1.50,0.12,0.20,0.12,0.20,4.30,4.50,0.07,0.20,0.07,0.20,,,,,,,,,,,0.05,0.000,,0.020,,0.020,5020.0,4943.00,,12.00,,12.00,k1iv,,5.97,5.940,,,,,HD 167042.xml,
HD 131399 A,HD 131399 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a1v,,,7.074,,0.011,,0.011,HD 131399.xml,
Kepler-406,Kepler-406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.520,,,,,Kepler-406.xml,
Kepler-407,Kepler-407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.521,,,,,Kepler-407.xml,
KOI-1612,Kepler-408,,,,,,,,,,,,,,6.680,,,,,,,,,,,,,,,,,,,,,,,8.83,8.769,0.01,,0.01,,KOI-1612.xml,
Kepler-409,Kepler-409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64,9.439,0.03,,0.03,,Kepler-409.xml,
Kepler-412,Kepler-412,1.167,1.17,0.091,0.09,0.091,0.09,1.287,1.29,0.035,0.04,0.035,0.04,5.1,,1.7,,1.7,,,,,,,,,,,,,,,,,,g3v,,,,,,,,Kepler-412.xml,
KOI-341,Kepler-414,0.892,0.89,0.042,,0.063,,0.946,0.95,0.078,,0.171,,,,,,,,,,,,,,,,,,5523,,103,,103,,,,,13.338,,,,,KOI-341.xml,
KOI-1194,Kepler-415,0.674,0.67,0.068,,0.062,,0.643,0.64,0.055,,0.069,,,,,,,,,,,,,,,,,,4523,,156,,170,,,,,15.842,,,,,KOI-1194.xml,
KOI-1860,Kepler-416,0.999,1.00,0.116,,0.174,,1.075,1.07,0.144,,0.431,,,,,,,,,,,,,,,,,,,,,,,,,,,14.028,,,,,KOI-1860.xml,
KOI-2113,Kepler-417,0.897,0.90,0.089,,0.080,,0.806,0.81,0.060,,0.299,,,,,,,,,,,,,,,,,,5376,,162,,201,,,,,15.886,,,,,KOI-2113.xml,
KOI-1474,Kepler-419,,,,,,,1.75,1.74,,,0.08,0.07,,,,,,,,,,,0.14,0.176,0.09,0.070,0.09,0.070,6370,6430.00,,79.00,,79.00,,,,13.005,,,,,KOI-1474.xml,
KOI-1257 A,Kepler-420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g5v,,,14.867,,0.062,,0.062,KOI-1257.xml,
Kepler-421,Kepler-421,0.794,0.79,,,,,0.757,0.76,0.029,0.03,0.029,0.03,,,,,,,,,,,,,,,,,,,,,,,,,5.9,13.354,0.12,,0.12,,Kepler-421.xml,
KOI-183,Kepler-423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g4v,,,14.290,,,,,KOI-183.xml,
Kepler-424,Kepler-424,,,0.054,0.05,0.054,0.05,,,0.056,0.06,0.056,0.06,12.2000,,3.6000,,3.6000,,,,,,,,,,,,,,,,,,,,,14.256,,,,,Kepler-424.xml,
KOI-188,Kepler-425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k1v,,,,,,,,KOI-188.xml,
KOI-195,Kepler-426,,,,,,,,,,,,,3,6.000,1,4.000,1,4.000,,,,,,,,,,,,,,,,,g1v,,,,,,,,KOI-195.xml,
KOI-192,Kepler-427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g2v,,,,,,,,KOI-192.xml,
KIC 10001893,KIC 10001893,0.47,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,500,200.00,sdb,,,15.846,,,,,KIC 10001893.xml,
Kepler-430,Kepler-430,1.166,1.17,,0.10,,0.13,1.485,1.49,,0.23,,0.27,,,,,,,,,,,,0.200,,0.100,,0.100,,,,75.00,,75.00,,,,13.848,,,,,Kepler-430.xml,
Kepler-431,Kepler-431,1.071,1.07,,0.04,,0.06,1.092,1.09,,0.11,,0.19,,,,,,,,,,,,0.070,,0.100,,0.100,,,,75.00,,75.00,,,,11.973,,,,,Kepler-431.xml,
KOI-206,Kepler-433,,,,,,,,,,,,,,2.670,,0.910,,0.910,,,,,0.06,-0.010,0.19,0.200,0.19,0.200,6340,6360.00,,,,,,,14.35,14.463,0.34,,0.34,,KOI-206.xml,
HD 17092,HD 17092,,,,0.30,,0.30,,,,,,,,,,,,,,,,,0.18,0.220,,0.080,,0.080,,,,35.00,,35.00,k0iii,,7.73,,,,,,HD 17092.xml,
HD 171028,HD 171028,,,,0.08,,0.08,,,,0.26,,0.26,,8.500,,2.500,,2.500,,,,,,,,0.020,,0.020,,,,20.00,,20.00,g0,,,,,,,,HD 171028.xml,
HD 175541,HD 175541,,,,0.12,,0.12,3.85,3.80,,0.09,,0.09,,1.900,,1.000,,1.000,,,,,,,,0.040,,0.040,,,,44.00,,44.00,g8iv,,,,,,,,HD 175541.xml,
Kepler-1428,Kepler-1428,,,,,,,,,,,,,,2.040,,0.619,,0.576,,,,,,,0.05,0.054,0.05,0.054,,,58.8,58.83,53.7,53.72,,,,13.688,,,,,Kepler-1428.xml,
Kepler-1429,Kepler-1429,,,,,,,,,,,,,,4.170,,2.280,,2.240,,,,,,,0.17,0.166,0.14,0.135,,,,,68.8,68.85,,,,14.879,,,,,Kepler-1429.xml,
Kepler-1430,Kepler-1430,,,,,,,,,,,,,,2.090,,0.734,,5.260,,,,,,,0.18,0.178,0.20,0.201,,,59.9,59.94,46.7,46.68,,,,15.245,,,,,Kepler-1430.xml,
Kepler-1431,Kepler-1431,,,,,,,,,,,,,,4.270,,2.500,,2.880,,,,,,,0.14,0.141,0.14,0.139,,,100.3,100.35,77.1,77.08,,,,15.273,,,,,Kepler-1431.xml,
Kepler-1432,Kepler-1432,,,,,,,,,,,,,,3.470,,1.750,,1.700,,,,,,,,,0.13,0.134,,,137.5,137.46,122.0,121.96,,,,15.376,,,,,Kepler-1432.xml,
Kepler-1433,Kepler-1433,,,,,,,,,,,,,,3.020,,1.360,,1.200,,,,,,,0.14,0.138,,,,,116.4,116.39,97.6,97.58,,,,14.826,,,,,Kepler-1433.xml,
Kepler-1434,Kepler-1434,,,,,,,,,,,,,,2.570,,0.480,,0.490,,,,,,,0.09,0.094,0.09,0.091,,,88.3,88.27,88.6,88.58,,,,12.086,,,,,Kepler-1434.xml,
Kepler-1435,Kepler-1435,,,,,,,,,,,,,,2.630,,0.880,,0.640,,,,,,,0.10,0.097,0.09,0.088,,,65.5,65.48,74.8,74.81,,,,12.938,,,,,Kepler-1435.xml,
Kepler-1436,Kepler-1436,,,,,,,,,,,,,,3.800,,2.030,,2.350,,,,,,,0.18,0.179,0.13,0.132,,,172.5,172.48,,,,,,14.930,,,,,Kepler-1436.xml,
Kepler-1437,Kepler-1437,,,,,,,,,,,,,,4.570,,2.820,,5.130,,,,,,,0.17,0.167,0.14,0.142,,,80.4,80.38,78.7,78.69,,,,15.591,,,,,Kepler-1437.xml,
Kepler-1438,Kepler-1438,,,,,,,,,,,,,,5.370,,3.620,,4.840,,,,,,,0.17,0.175,0.13,0.134,,,67.0,67.02,56.6,56.64,,,,14.869,,,,,Kepler-1438.xml,
Kepler-1439,Kepler-1439,,,,,,,,,,,,,,4.070,,2.430,,6.040,,,,,,,0.13,0.126,0.11,0.112,,,51.7,51.71,54.9,54.92,,,,16.109,,,,,Kepler-1439.xml,
Kepler-1440,Kepler-1440,,,,,,,,,,,,,,4.470,,2.700,,4.080,,,,,,,0.17,0.171,0.14,0.137,,,68.7,68.65,66.7,66.72,,,,14.131,,,,,Kepler-1440.xml,
Kepler-1441,Kepler-1441,,,,,,,,,,,,,,3.890,,2.220,,3.060,,,,,,,0.17,0.166,0.14,0.145,,,,,122.7,122.74,,,,14.268,,,,,Kepler-1441.xml,
Kepler-1442,Kepler-1442,,,,,,,,,,,,,,1.700,,0.459,,0.556,,,,,,,0.08,0.084,0.07,0.075,,,77.6,77.61,,,,,,12.146,,,,,Kepler-1442.xml,
Kepler-1443,Kepler-1443,,,,,,,,,,,,,,2.630,,0.948,,0.774,,,,,,,,,0.08,0.077,,,68.3,68.31,83.4,83.36,,,,12.278,,,,,Kepler-1443.xml,
Kepler-1444,Kepler-1444,,,,,,,,,,,,,,4.790,,2.640,,2.310,,,,,,,0.09,0.087,,,,,70.5,70.49,85.5,85.52,,,,12.325,,,,,Kepler-1444.xml,
Kepler-1445,Kepler-1445,,,,,,,,,,,,,,3.800,,1.390,,0.970,,,,,,,0.11,0.111,0.08,0.084,,,60.9,60.88,,,,,,12.405,,,,,Kepler-1445.xml,
Kepler-1446,Kepler-1446,,,,,,,,,,,,,,2.630,,1.120,,2.420,,,,,,,0.10,0.097,0.10,0.102,,,52.5,52.46,43.7,43.69,,,,12.411,,,,,Kepler-1446.xml,
Kepler-1447,Kepler-1447,,,,,,,,,,,,,,4.170,,2.410,,4.030,,,,,,,0.18,0.183,,,,,88.5,88.46,108.7,108.69,,,,14.682,,,,,Kepler-1447.xml,
Kepler-1448,Kepler-1448,,,,,,,,,,,,,,3.550,,1.930,,3.850,,,,,,,,,0.18,0.176,,,66.7,66.69,89.9,89.88,,,,14.411,,,,,Kepler-1448.xml,
Kepler-1449,Kepler-1449,,,,,,,,,,,,,,3.470,,1.790,,1.890,,,,,,,0.17,0.169,0.14,0.143,,,97.4,97.37,98.8,98.77,,,,15.050,,,,,Kepler-1449.xml,
Kepler-1450,Kepler-1450,,,,,,,,,,,,,,4.370,,2.440,,5.400,,,,,,,0.15,0.147,0.15,0.146,,,94.0,94.04,104.8,104.75,,,,15.498,,,,,Kepler-1450.xml,
Kepler-1451,Kepler-1451,,,,,,,,,,,,,,4.170,,2.440,,3.230,,,,,,,0.16,0.164,0.14,0.135,,,186.2,186.17,133.7,133.65,,,,15.332,,,,,Kepler-1451.xml,
Kepler-1452,Kepler-1452,,,,,,,,,,,,,,3.240,,0.620,,0.952,,,,,,,0.09,0.093,0.08,0.081,,,112.9,112.92,90.2,90.21,,,,13.062,,,,,Kepler-1452.xml,
Kepler-1453,Kepler-1453,,,,,,,,,,,,,,4.270,,2.590,,4.710,,,,,,,0.16,0.164,0.13,0.126,,,70.1,70.11,68.1,68.09,,,,15.570,,,,,Kepler-1453.xml,
KOI-680,Kepler-435,1.538,1.54,0.088,0.09,0.088,0.09,,,,,,,,2.250,,0.420,,0.420,,,,,-0.17,-0.180,0.10,0.110,0.10,0.110,6090,6161.00,110,94.00,110,94.00,,,13.91,13.643,0.26,,0.26,,KOI-680.xml,
Kepler-437,Kepler-437,0.707,0.71,0.027,0.03,0.033,0.03,,,0.024,0.02,0.026,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,14.352,,,,,Kepler-437.xml,
Kepler-438,Kepler-438,0.544,0.54,0.061,0.06,0.041,0.04,,,0.061,0.06,0.038,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,14.467,,,,,Kepler-438.xml,
Kepler-440,Kepler-440,0.575,0.57,0.047,0.05,0.043,0.04,0.559,0.56,0.054,0.05,0.029,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,15.134,,,,,Kepler-440.xml,
Kepler-441,Kepler-441,0.0572,0.57,0.053,0.05,0.049,0.05,,,0.054,0.05,0.038,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,15.142,,,,,Kepler-441.xml,
Kepler-443,Kepler-443,0.738,0.74,0.029,0.03,0.033,0.03,0.706,0.71,0.024,0.02,0.028,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,15.891,,,,,Kepler-443.xml,
Kepler-447,Kepler-447,0.764,1.00,0.49,0.21,0.145,0.21,0.872,1.05,0.120,0.19,0.49,0.19,,,,,,,,,,,,,,,,,,,,,,,g8v,,,12.394,,,,,Kepler-447.xml,
Kepler-109,KOI-12,1.04,1.45,0.06,0.09,0.06,0.09,1.32,1.63,0.04,0.15,0.04,0.15,5.73,1.500,,0.500,,0.500,,,,,-0.08,0.090,0.10,0.150,0.10,0.150,5952,6820.00,75,120.00,75,120.00,,,12.93,11.353,,,,,Kepler-109.xml,
SAND364,NGC 2682 Sand 364,,,,,,,,,,,,,,4.150,,0.650,,0.650,,,,,,,,,,,,,,,,,k3iii,,9.77,9.800,,,,,SAND364.xml,
Kepler-1454,Kepler-1454,,,,,,,,,,,,,,4.570,,2.870,,5.850,,,,,,,0.17,0.169,0.15,0.147,,,64.3,64.34,59.9,59.86,,,,14.904,,,,,Kepler-1454.xml,
Kepler-1455,Kepler-1455,,,,,,,,,,,,,,4.170,,2.400,,6.160,,,,,,,0.17,0.167,0.13,0.134,,,,,61.2,61.23,,,,15.855,,,,,Kepler-1455.xml,
Kepler-1456,Kepler-1456,,,,,,,,,,,,,,3.720,,2.100,,5.700,,,,,,,0.34,0.336,0.21,0.212,,,85.6,85.61,,,,,,15.464,,,,,Kepler-1456.xml,
Kepler-1457,Kepler-1457,,,,,,,,,,,,,,3.720,,2.040,,3.080,,,,,,,0.19,0.189,0.15,0.154,,,119.8,119.79,137.3,137.28,,,,14.060,,,,,Kepler-1457.xml,
Kepler-1458,Kepler-1458,,,,,,,,,,,,,,4.170,,2.450,,4.640,,,,,,,0.16,0.161,0.13,0.131,,,136.1,136.13,119.7,119.66,,,,14.190,,,,,Kepler-1458.xml,
Kepler-1459,Kepler-1459,,,,,,,,,,,,,,3.890,,2.200,,5.970,,,,,,,0.16,0.161,,,,,40.8,40.76,42.4,42.43,,,,14.591,,,,,Kepler-1459.xml,
Kepler-1460,Kepler-1460,,,,,,,,,,,,,,3.980,,2.270,,5.950,,,,,,,0.17,0.172,,,,,45.0,45.02,43.6,43.62,,,,15.947,,,,,Kepler-1460.xml,
Kepler-1461,Kepler-1461,,,,,,,,,,,,,,3.240,,1.660,,6.560,,,,,,,0.17,0.174,0.17,0.174,,,58.2,58.16,49.8,49.81,,,,15.689,,,,,Kepler-1461.xml,
Kepler-1462,Kepler-1462,,,,,,,,,,,,,,4.070,,2.340,,3.600,,,,,,,0.14,0.142,0.15,0.146,,,,,144.6,144.59,,,,15.858,,,,,Kepler-1462.xml,
Kepler-1463,Kepler-1463,,,,,,,,,,,,,,4.790,,2.990,,4.150,,,,,,,0.19,0.191,0.15,0.147,,,,,93.9,93.91,,,,15.759,,,,,Kepler-1463.xml,
Kepler-1464,Kepler-1464,,,,,,,,,,,,,,3.890,,2.220,,2.850,,,,,,,0.16,0.162,0.15,0.147,,,169.6,169.63,112.2,112.18,,,,14.159,,,,,Kepler-1464.xml,
Kepler-1465,Kepler-1465,,,,,,,,,,,,,,3.720,,2.060,,6.100,,,,,,,0.17,0.175,0.17,0.174,,,75.4,75.37,60.7,60.73,,,,14.410,,,,,Kepler-1465.xml,
Kepler-1466,Kepler-1466,,,,,,,,,,,,,,3.890,,2.180,,2.760,,,,,,,0.20,0.196,0.15,0.149,,,128.1,128.07,144.6,144.58,,,,13.926,,,,,Kepler-1466.xml,
Kepler-1467,Kepler-1467,,,,,,,,,,,,,,4.370,,2.680,,6.250,,,,,,,0.19,0.187,0.16,0.159,,,173.7,173.73,179.2,179.19,,,,15.549,,,,,Kepler-1467.xml,
Kepler-1468,Kepler-1468,,,,,,,,,,,,,,3.550,,1.860,,2.630,,,,,,,0.16,0.164,,,,,197.9,197.95,,,,,,15.024,,,,,Kepler-1468.xml,
Kepler-1469,Kepler-1469,,,,,,,,,,,,,,4.470,,2.750,,5.700,,,,,,,0.17,0.171,,,,,170.8,170.81,,,,,,15.965,,,,,Kepler-1469.xml,
Kepler-1470,Kepler-1470,,,,,,,,,,,,,,4.570,,2.760,,6.100,,,,,,,,,0.14,0.144,,,94.6,94.64,84.4,84.41,,,,15.061,,,,,Kepler-1470.xml,
Kepler-1471,Kepler-1471,,,,,,,,,,,,,,4.570,,2.770,,4.720,,,,,,,0.19,0.188,0.14,0.143,,,105.0,104.98,86.5,86.53,,,,15.254,,,,,Kepler-1471.xml,
Kepler-1472,Kepler-1472,,,,,,,,,,,,,,3.090,,1.320,,1.010,,,,,,,0.15,0.147,0.13,0.129,,,114.6,114.64,,,,,,14.633,,,,,Kepler-1472.xml,
Kepler-1473,Kepler-1473,,,,,,,,,,,,,,2.630,,1.060,,1.470,,,,,,,0.10,0.097,0.09,0.092,,,64.1,64.08,77.2,77.17,,,,13.359,,,,,Kepler-1473.xml,
Kepler-1474,Kepler-1474,,,,,,,,,,,,,,3.800,,2.080,,2.640,,,,,,,0.16,0.164,0.15,0.147,,,173.3,173.32,115.7,115.73,,,,15.246,,,,,Kepler-1474.xml,
Kepler-1475,Kepler-1475,,,,,,,,,,,,,,2.820,,1.060,,1.220,,,,,,,0.16,0.163,0.13,0.129,,,203.2,203.22,192.7,192.71,,,,15.292,,,,,Kepler-1475.xml,
Kepler-1476,Kepler-1476,,,,,,,,,,,,,,4.570,,2.810,,4.700,,,,,,,0.15,0.155,0.14,0.138,,,77.2,77.19,68.1,68.09,,,,15.408,,,,,Kepler-1476.xml,
Kepler-1477,Kepler-1477,,,,,,,,,,,,,,4.680,,2.780,,5.770,,,,,,,0.17,0.166,0.16,0.158,,,73.5,73.51,78.1,78.06,,,,14.598,,,,,Kepler-1477.xml,
Kepler-1478,Kepler-1478,,,,,,,,,,,,,,3.980,,2.200,,2.420,,,,,,,0.18,0.178,0.14,0.136,,,137.7,137.72,102.5,102.51,,,,15.440,,,,,Kepler-1478.xml,
Kepler-1479,Kepler-1479,,,,,,,,,,,,,,4.270,,2.480,,3.130,,,,,,,0.19,0.187,0.14,0.143,,,79.5,79.45,74.4,74.44,,,,13.785,,,,,Kepler-1479.xml,
Kepler-1480,Kepler-1480,,,,,,,,,,,,,,4.790,,2.910,,6.200,,,,,,,0.15,0.155,0.15,0.146,,,70.7,70.65,61.4,61.41,,,,14.523,,,,,Kepler-1480.xml,
