Primary system name,All system names,Right ascension,Declination,Distance [parsec],Distance errorminus,Distance errorplus,source (xml)
Kepler-1003,kepler-1003,19 28 05,+44 52 34,,,,Kepler-1003.xml
Kepler-1004,kepler-1004,19 49 26,+49 47 51,,,,Kepler-1004.xml
Kepler-1005,kepler-1005,19 05 09,+43 19 14,,,,Kepler-1005.xml
Kepler-1006,kepler-1006,19 43 01,+42 32 15,,,,Kepler-1006.xml
Kepler-1007,kepler-1007,19 43 38,+45 48 33,,,,Kepler-1007.xml
Kepler-1008,kepler-1008,19 46 11,+44 56 31,,,,Kepler-1008.xml
Kepler-1009,kepler-1009,18 51 26,+42 39 57,,,,Kepler-1009.xml
Kepler-101,kepler-101|koi-46|kic10905239,18 53 01.32,+48 21 18.84,990.44,,,Kepler-101.xml
Kepler-1010,kepler-1010,19 16 46,+44 08 58,,,,Kepler-1010.xml
Kepler-1011,kepler-1011,19 49 36,+46 49 26,,,,Kepler-1011.xml
Kepler-1012,kepler-1012,19 17 11,+46 27 29,,,,Kepler-1012.xml
Kepler-1013,kepler-1013,19 20 59.5,+44 26 07,,,,Kepler-1013.xml
Kepler-1014,kepler-1014,19 00 29,+44 06 38,,,,Kepler-1014.xml
Kepler-1015,kepler-1015,19 31 02,+43 25 37,,,,Kepler-1015.xml
Kepler-1016,kepler-1016,19 38 27,+45 59 05,,,,Kepler-1016.xml
Kepler-1017,kepler-1017,18 53 53,+40 07 57,,,,Kepler-1017.xml
Kepler-1018,kepler-1018,18 54 23,+45 24 28,,,,Kepler-1018.xml
Kepler-1019,kepler-1019,18 54 52,+47 12 16,,,,Kepler-1019.xml
Kepler-102,kepler-102|koi-82|kic10187017,18 45 55,+47 12 28,119.3,,,Kepler-102.xml
Kepler-1020,kepler-1020,19 30 41,+46 22 39,,,,Kepler-1020.xml
Kepler-1021,kepler-1021,19 40 49,+42 33 35,,,,Kepler-1021.xml
Kepler-1022,kepler-1022,19 17 24,+46 58 25,,,,Kepler-1022.xml
Kepler-1023,kepler-1023,19 16 07,+49 46 11,,,,Kepler-1023.xml
Kepler-1024,kepler-1024,19 27 48,+38 15 06,,,,Kepler-1024.xml
Kepler-1025,kepler-1025,18 58 02,+43 57 42,,,,Kepler-1025.xml
Kepler-1026,kepler-1026,18 54 25,+39 59 53,,,,Kepler-1026.xml
Kepler-1027,kepler-1027,19 10 17,+42 48 50,,,,Kepler-1027.xml
Kepler-1028,kepler-1028,19 18 22,+49 46 52,,,,Kepler-1028.xml
Kepler-1029,kepler-1029,19 28 32,+41 32 51,,,,Kepler-1029.xml
Kepler-103,kepler-103|koi-108|kic4914423,19 15 56.2,+40 03 52,476.8,,,Kepler-103.xml
Kepler-1030,kepler-1030,19 34 44,+45 49 03,,,,Kepler-1030.xml
Kepler-1031,kepler-1031,19 44 22,+48 57 19,,,,Kepler-1031.xml
Kepler-1032,kepler-1032,19 19 43,+40 05 52,,,,Kepler-1032.xml
Kepler-1033,kepler-1033,18 55 23,+44 36 33,,,,Kepler-1033.xml
Kepler-1034,kepler-1034,19 04 28,+37 58 01,,,,Kepler-1034.xml
Kepler-1035,kepler-1035,19 16 10,+42 52 57,,,,Kepler-1035.xml
Kepler-1036,kepler-1036,19 40 44,+49 56 45,,,,Kepler-1036.xml
Kepler-1037,kepler-1037,19 45 22,+47 10 15,,,,Kepler-1037.xml
Kepler-1038,kepler-1038,19 55 53,+44 07 57,,,,Kepler-1038.xml
Kepler-1039,kepler-1039,19 53 18,+45 18 56,,,,Kepler-1039.xml
Kepler-104,kepler-104|koi-111|kic6678383,19 10 25,+42 10 00,491.00,,,Kepler-104.xml
Kepler-1040,kepler-1040,18 52 27,+48 07 53,,,,Kepler-1040.xml
Kepler-1041,kepler-1041,19 35 32,+49 40 59,,,,Kepler-1041.xml
Kepler-1042,kepler-1042,19 14 41,+39 49 26,,,,Kepler-1042.xml
Kepler-1043,kepler-1043,18 46 39,+47 34 07,,,,Kepler-1043.xml
Kepler-1044,kepler-1044,19 32 35,+46 39 58,,,,Kepler-1044.xml
Kepler-1045,kepler-1045,18 56 44,+45 04 27,,,,Kepler-1045.xml
Kepler-1046,kepler-1046,19 47 01,+46 59 54,,,,Kepler-1046.xml
Kepler-1047,kepler-1047,19 14 35,+50 47 20,,,,Kepler-1047.xml
Kepler-1048,kepler-1048,18 47 36,+42 09 57,,,,Kepler-1048.xml
Kepler-1049,kepler-1049,19 09 23,+47 46 23,,,,Kepler-1049.xml
Kepler-105,kepler-105|koi-115|kic9579641,19 11 32,+46 16 34,488.45,,,Kepler-105.xml
Kepler-1050,kepler-1050,18 51 42,+48 37 35,,,,Kepler-1050.xml
Kepler-1051,kepler-1051,19 40 38,+40 53 56,,,,Kepler-1051.xml
Kepler-1052,kepler-1052,19 41 22,+46 36 08,,,,Kepler-1052.xml
Kepler-1053,kepler-1053,19 25 40,+39 07 39,,,,Kepler-1053.xml
Kepler-1054,kepler-1054,19 22 24,+44 33 23,,,,Kepler-1054.xml
Kepler-1055,kepler-1055,19 21 57,+44 55 57,,,,Kepler-1055.xml
Kepler-1056,kepler-1056,19 58 06,+46 53 57,,,,Kepler-1056.xml
Kepler-1057,kepler-1057,19 49 49,+41 33 29,,,,Kepler-1057.xml
Kepler-1058,kepler-1058,19 38 23,+45 52 30,,,,Kepler-1058.xml
Kepler-1059,kepler-1059,19 16 53,+41 42 23,,,,Kepler-1059.xml
Kepler-106,kepler-106|koi-116|kic8395660,20 03 27,+44 20 15,453.9,,,Kepler-106.xml
Kepler-1060,kepler-1060,19 04 06,+39 37 51,,,,Kepler-1060.xml
Kepler-1061,kepler-1061,19 44 55,+50 16 31,,,,Kepler-1061.xml
Kepler-1062,kepler-1062,18 55 36,+41 13 18,,,,Kepler-1062.xml
Kepler-1063,kepler-1063,19 22 06,+38 08 35,,,,Kepler-1063.xml
Kepler-1064,kepler-1064,19 26 58,+37 41 20,,,,Kepler-1064.xml
Kepler-1065,kepler-1065,19 38 03,+38 47 26,,,,Kepler-1065.xml
Kepler-1066,kepler-1066,19 55 28,+46 30 08,,,,Kepler-1066.xml
Kepler-1067,kepler-1067,19 01 33,+45 02 57,,,,Kepler-1067.xml
Kepler-1068,kepler-1068,19 38 36,+46 23 33,,,,Kepler-1068.xml
Kepler-1069,kepler-1069,19 23 55,+47 59 20,,,,Kepler-1069.xml
Kepler-107,kepler-107|koi-117|kic10875245,19 48 06,+48 12 30,512.66,,,Kepler-107.xml
Kepler-1070,kepler-1070,19 32 47,+49 18 59,,,,Kepler-1070.xml
Kepler-1071,kepler-1071,19 32 14,+45 14 56,,,,Kepler-1071.xml
Kepler-1072,kepler-1072,19 28 11,+46 19 44,,,,Kepler-1072.xml
Kepler-1073,kepler-1073,19 36 37,+38 13 59,,,,Kepler-1073.xml
Kepler-1074,kepler-1074,18 57 54,+46 15 09,,,,Kepler-1074.xml
Kepler-1075,kepler-1075,19 10 00,+47 28 09,,,,Kepler-1075.xml
Kepler-1076,kepler-1076,19 10 22,+51 03 38,,,,Kepler-1076.xml
Kepler-1077,kepler-1077,19 24 08,+42 16 04,,,,Kepler-1077.xml
Kepler-1078,kepler-1078,19 32 48,+43 03 00,,,,Kepler-1078.xml
Kepler-1079,kepler-1079,19 58 12,+45 46 11,,,,Kepler-1079.xml
Kepler-108,kepler-108|koi-119|kic9471974,19 38 14,+46 03 44,860.98,,,Kepler-108.xml
Kepler-1080,kepler-1080,19 45 51,+49 10 58,,,,Kepler-1080.xml
Kepler-1081,kepler-1081,19 17 47,+41 19 04,,,,Kepler-1081.xml
Kepler-1082,kepler-1082,19 17 26,+50 35 55,,,,Kepler-1082.xml
Kepler-1083,kepler-1083,18 52 39,+45 11 54,,,,Kepler-1083.xml
Kepler-1084,kepler-1084,19 20 24,+48 15 04,,,,Kepler-1084.xml
Kepler-1085,kepler-1085,19 09 55,+46 08 28,,,,Kepler-1085.xml
Kepler-1086,kepler-1086,19 41 00,+45 50 35,,,,Kepler-1086.xml
Kepler-1087,kepler-1087,19 39 55,+46 00 20,,,,Kepler-1087.xml
Kepler-1088,kepler-1088,18 46 15,+42 27 02,,,,Kepler-1088.xml
Kepler-1089,kepler-1089,19 24 22,+49 11 24,,,,Kepler-1089.xml
Kepler-109,kepler-109|koi-123|kic5094751,19 21 34.263,+40 17 05.66,468.1,,,Kepler-109.xml
Kepler-1090,kepler-1090,19 42 39,+44 31 33,,,,Kepler-1090.xml
Kepler-1091,kepler-1091,19 59 09,+43 40 15,,,,Kepler-1091.xml
Kepler-1092,kepler-1092,19 50 54,+47 06 46,,,,Kepler-1092.xml
Kepler-1093,kepler-1093,18 59 55,+41 25 13,,,,Kepler-1093.xml
Kepler-1094,kepler-1094,19 29 12,+38 16 01,,,,Kepler-1094.xml
Kepler-1095,kepler-1095,19 33 03,+41 21 54,,,,Kepler-1095.xml
Kepler-1096,kepler-1096,19 38 50,+45 58 10,,,,Kepler-1096.xml
Kepler-1097,kepler-1097,18 46 23,+42 35 47,,,,Kepler-1097.xml
Kepler-1098,kepler-1098,19 42 01,+43 13 58,,,,Kepler-1098.xml
Kepler-1099,kepler-1099,19 14 59.9,+48 16 38,,,,Kepler-1099.xml
Kepler-11,kepler-11,19 48 27,+41 54 33,613.20279,,,Kepler-11.xml
Kepler-110,kepler-110|koi-124|kic11086270,19 31 42,+48 36 10,532.42,,,Kepler-110.xml
Kepler-1100,kepler-1100,19 27 29,+44 05 15,,,,Kepler-1100.xml
Kepler-1101,kepler-1101,19 38 17,+45 40 17,,,,Kepler-1101.xml
Kepler-1102,kepler-1102,18 45 17,+48 03 59,,,,Kepler-1102.xml
Kepler-1103,kepler-1103,19 09 32,+49 27 09,,,,Kepler-1103.xml
Kepler-1104,kepler-1104,19 37 52,+49 19 52,,,,Kepler-1104.xml
Kepler-1105,kepler-1105,18 44 27,+42 27 18,,,,Kepler-1105.xml
Kepler-1106,kepler-1106,19 24 35,+44 03 45,,,,Kepler-1106.xml
Kepler-1107,kepler-1107,19 24 12,+39 08 30,,,,Kepler-1107.xml
Kepler-1108,kepler-1108,19 44 10,+45 59 07,,,,Kepler-1108.xml
Kepler-1109,kepler-1109,19 26 35,+39 23 48,,,,Kepler-1109.xml
Kepler-111,kepler-111|koi-139|kic8559644,19 26 36,+44 41 17,691.04,,,Kepler-111.xml
Kepler-1110,kepler-1110,19 27 14,+38 37 22,,,,Kepler-1110.xml
Kepler-1111,kepler-1111,19 41 51,+45 48 46,,,,Kepler-1111.xml
Kepler-1112,kepler-1112,19 47 53,+47 45 05,,,,Kepler-1112.xml
Kepler-1113,kepler-1113,19 17 38,+39 20 20,,,,Kepler-1113.xml
Kepler-1114,kepler-1114,19 56 57,+45 50 05,,,,Kepler-1114.xml
Kepler-1115,kepler-1115,19 39 58,+40 08 40,,,,Kepler-1115.xml
Kepler-1116,kepler-1116,19 27 44,+44 06 56,,,,Kepler-1116.xml
Kepler-1117,kepler-1117,19 28 20,+49 14 15,,,,Kepler-1117.xml
Kepler-1118,kepler-1118,19 59 52,+44 09 39,,,,Kepler-1118.xml
Kepler-1119,kepler-1119,19 48 05,+44 19 39,,,,Kepler-1119.xml
Kepler-112,kepler-112|koi-150|kic7626506,19 47 55,+43 12 35,495.55,,,Kepler-112.xml
Kepler-1120,kepler-1120,19 23 39,+42 17 12,,,,Kepler-1120.xml
Kepler-1121,kepler-1121,19 51 09,+47 53 10,,,,Kepler-1121.xml
Kepler-1122,kepler-1122,19 13 07,+46 20 27,,,,Kepler-1122.xml
Kepler-1123,kepler-1123,19 38 04,+50 40 13,,,,Kepler-1123.xml
Kepler-1124,kepler-1124,19 06 23,+37 53 29,,,,Kepler-1124.xml
Kepler-1125,kepler-1125,19 41 55,+40 43 55,,,,Kepler-1125.xml
Kepler-1126,kepler-1126,19 02 46,+45 41 22,,,,Kepler-1126.xml
Kepler-1127,kepler-1127,19 32 52,+42 43 15,,,,Kepler-1127.xml
Kepler-1128,kepler-1128,19 32 15,+39 24 12,,,,Kepler-1128.xml
Kepler-1129,kepler-1129,19 26 25,+41 18 34,,,,Kepler-1129.xml
Kepler-113,kepler-113|koi-153|kic12252424,19 11 59,+50 56 39,255.9,,,Kepler-113.xml
Kepler-1130,kepler-1130,19 00 50,+45 23 04,,,,Kepler-1130.xml
Kepler-1131,kepler-1131,19 42 36,+49 15 41,,,,Kepler-1131.xml
Kepler-1132,kepler-1132,19 05 28,+48 25 26,,,,Kepler-1132.xml
Kepler-1133,kepler-1133,19 33 17,+42 52 03,,,,Kepler-1133.xml
Kepler-1134,kepler-1134,19 42 16,+42 28 42,,,,Kepler-1134.xml
Kepler-1135,kepler-1135,19 04 01,+44 45 24,,,,Kepler-1135.xml
Kepler-1136,kepler-1136,18 56 26,+44 14 45,,,,Kepler-1136.xml
Kepler-1137,kepler-1137,19 08 31,+48 39 55,,,,Kepler-1137.xml
Kepler-1138,kepler-1138,19 03 36,+48 18 26,,,,Kepler-1138.xml
Kepler-1139,kepler-1139,19 11 47,+39 13 50,,,,Kepler-1139.xml
Kepler-114,kepler-114|koi-156|kic10925104,19 36 29,+48 20 58,267.07,,,Kepler-114.xml
Kepler-1140,kepler-1140,18 46 47,+46 56 47,,,,Kepler-1140.xml
Kepler-1141,kepler-1141,19 22 10,+47 43 33,,,,Kepler-1141.xml
Kepler-1142,kepler-1142,19 30 51,+44 04 56,,,,Kepler-1142.xml
Kepler-1143,kepler-1143,19 09 13,+39 17 23,,,,Kepler-1143.xml
Kepler-1144,kepler-1144,19 20 10,+47 15 29,,,,Kepler-1144.xml
Kepler-1145,kepler-1145,19 41 14,+43 02 40,,,,Kepler-1145.xml
Kepler-1146,kepler-1146,19 06 52,+47 25 32,,,,Kepler-1146.xml
Kepler-1147,kepler-1147,19 30 11,+41 38 35,,,,Kepler-1147.xml
Kepler-1148,kepler-1148,19 23 49,+45 43 10,,,,Kepler-1148.xml
Kepler-1149,kepler-1149,19 36 45,+45 09 06,,,,Kepler-1149.xml
Kepler-115,kepler-115|koi-159|kic8972058,19 50 50,+45 15 42,706.14,,,Kepler-115.xml
Kepler-1150,kepler-1150,19 46 54,+49 31 58,,,,Kepler-1150.xml
Kepler-1151,kepler-1151,19 28 59,+47 52 42,,,,Kepler-1151.xml
Kepler-1152,kepler-1152,19 21 44,+44 06 28,,,,Kepler-1152.xml
Kepler-1153,kepler-1153,19 16 35,+45 51 58,,,,Kepler-1153.xml
Kepler-1154,kepler-1154,19 49 55,+39 52 38,,,,Kepler-1154.xml
Kepler-1155,kepler-1155,19 15 17,+39 31 22,,,,Kepler-1155.xml
Kepler-1156,kepler-1156,19 15 42,+46 03 27,,,,Kepler-1156.xml
Kepler-1157,kepler-1157,18 52 29,+43 31 32,,,,Kepler-1157.xml
Kepler-1158,kepler-1158,19 28 56,+41 34 31,,,,Kepler-1158.xml
Kepler-1159,kepler-1159,19 37 04,+45 12 16,,,,Kepler-1159.xml
Kepler-116,kepler-116|koi-171|kic7831264,19 38 58,+43 32 12,1025.72,,,Kepler-116.xml
Kepler-1160,kepler-1160,19 11 31,+43 21 51,,,,Kepler-1160.xml
Kepler-1161,kepler-1161,19 56 19,+45 26 26,,,,Kepler-1161.xml
Kepler-1162,kepler-1162,18 53 10,+45 26 03,,,,Kepler-1162.xml
Kepler-1163,kepler-1163,19 20 57,+50 01 48,,,,Kepler-1163.xml
Kepler-1164,kepler-1164,19 10 07,+38 53 40,,,,Kepler-1164.xml
Kepler-1165,kepler-1165,19 07 53,+44 42 30,,,,Kepler-1165.xml
Kepler-1166,kepler-1166,19 21 24,+50 54 10,,,,Kepler-1166.xml
Kepler-1167,kepler-1167,19 53 13,+47 41 38,,,,Kepler-1167.xml
Kepler-1168,kepler-1168,19 09 11,+47 27 20,,,,Kepler-1168.xml
Kepler-1169,kepler-1169,19 39 39,+46 29 29,,,,Kepler-1169.xml
Kepler-117,kepler-117|koi-209|kic10723750,19 15 10.326,+48 02 24.81,1430,50,50,Kepler-117.xml
Kepler-1170,kepler-1170,19 28 40,+43 46 47,,,,Kepler-1170.xml
Kepler-1171,kepler-1171,19 39 50,+38 35 30,,,,Kepler-1171.xml
Kepler-1172,kepler-1172,19 21 54,+37 45 59.8,,,,Kepler-1172.xml
Kepler-1173,kepler-1173,19 32 31,+45 39 49,,,,Kepler-1173.xml
Kepler-1174,kepler-1174,18 47 20,+42 17 56,,,,Kepler-1174.xml
Kepler-1175,kepler-1175,19 16 34,+46 48 46,,,,Kepler-1175.xml
Kepler-1176,kepler-1176,19 51 41,+45 16 27,,,,Kepler-1176.xml
Kepler-1177,kepler-1177,19 06 41,+49 24 23,,,,Kepler-1177.xml
Kepler-1178,kepler-1178,19 13 49,+45 48 08,,,,Kepler-1178.xml
Kepler-1179,kepler-1179,18 56 23,+47 48 38,,,,Kepler-1179.xml
Kepler-118,kepler-118|koi-216|kic6152974,19 56 51,+41 25 29,899.38,,,Kepler-118.xml
Kepler-1180,kepler-1180,19 43 33,+43 09 22,,,,Kepler-1180.xml
Kepler-1181,kepler-1181,19 18 59,+39 31 24,,,,Kepler-1181.xml
Kepler-1182,kepler-1182,19 45 14,+43 49 17,,,,Kepler-1182.xml
Kepler-1183,kepler-1183,19 28 56,+38 53 32,,,,Kepler-1183.xml
Kepler-1184,kepler-1184,19 25 08,+46 57 58,,,,Kepler-1184.xml
Kepler-1185,kepler-1185,19 08 58,+39 19 58,,,,Kepler-1185.xml
Kepler-1186,kepler-1186,19 13 55,+47 06 06,,,,Kepler-1186.xml
Kepler-1187,kepler-1187,19 07 34,+38 19 07,,,,Kepler-1187.xml
Kepler-1188,kepler-1188,18 52 25,+43 08 53,,,,Kepler-1188.xml
Kepler-1189,kepler-1189,19 53 42,+47 56 48,,,,Kepler-1189.xml
Kepler-119,kepler-119|koi-220|kic7132798,19 43 47,+42 39 32,623.74,,,Kepler-119.xml
Kepler-1190,kepler-1190,18 59 59.9,+49 28 48,,,,Kepler-1190.xml
Kepler-1191,kepler-1191,19 26 38,+48 00 34,,,,Kepler-1191.xml
Kepler-1192,kepler-1192,18 48 34,+43 53 48,,,,Kepler-1192.xml
Kepler-1193,kepler-1193,19 12 35,+51 16 32,,,,Kepler-1193.xml
Kepler-1194,kepler-1194,19 26 48,+38 08 43,,,,Kepler-1194.xml
Kepler-1195,kepler-1195,18 57 24,+40 51 11,,,,Kepler-1195.xml
Kepler-1196,kepler-1196,19 29 29,+43 54 39,,,,Kepler-1196.xml
Kepler-1197,kepler-1197,19 26 41,+42 35 27,,,,Kepler-1197.xml
Kepler-1198,kepler-1198,19 15 20,+44 50 18,,,,Kepler-1198.xml
Kepler-1199,kepler-1199,19 34 54,+47 14 49,,,,Kepler-1199.xml
Kepler-12,kepler-12,19 04 58,+50 02 25,600,,,Kepler-12.xml
Kepler-120,kepler-120|koi-222|kic4249725,19 11 34,+39 20 20,267.74,,,Kepler-120.xml
Kepler-1200,kepler-1200,19 46 25,+44 07 45,,,,Kepler-1200.xml
Kepler-1201,kepler-1201,19 38 28,+40 49 59,,,,Kepler-1201.xml
Kepler-1202,kepler-1202,19 29 10,+44 39 12,,,,Kepler-1202.xml
Kepler-1203,kepler-1203,19 31 06,+44 10 41,,,,Kepler-1203.xml
Kepler-1204,kepler-1204,19 17 46,+42 29 53,,,,Kepler-1204.xml
Kepler-1205,kepler-1205,19 21 07,+41 30 54,,,,Kepler-1205.xml
Kepler-1206,kepler-1206,19 43 45,+49 47 28,,,,Kepler-1206.xml
Kepler-1207,kepler-1207,19 40 15,+49 21 32,,,,Kepler-1207.xml
Kepler-1208,kepler-1208,19 27 32,+44 33 21,,,,Kepler-1208.xml
Kepler-1209,kepler-1209,19 10 20,+49 09 17,,,,Kepler-1209.xml
Kepler-121,kepler-121|koi-223|kic4545187,19 04 38,+39 40 40,583.60,,,Kepler-121.xml
Kepler-1210,kepler-1210,19 31 20,+48 13 10,,,,Kepler-1210.xml
Kepler-1211,kepler-1211,19 02 53,+40 51 25,,,,Kepler-1211.xml
Kepler-1212,kepler-1212,19 47 25,+50 02 14,,,,Kepler-1212.xml
Kepler-1213,kepler-1213,19 17 57,+50 56 39,,,,Kepler-1213.xml
Kepler-1214,kepler-1214,19 00 34,+49 48 02,,,,Kepler-1214.xml
Kepler-1215,kepler-1215,19 49 51,+48 10 53,,,,Kepler-1215.xml
Kepler-1216,kepler-1216,19 09 37,+45 55 05,,,,Kepler-1216.xml
Kepler-1217,kepler-1217,19 16 45,+50 56 15,,,,Kepler-1217.xml
Kepler-1218,kepler-1218,19 26 19,+44 31 54,,,,Kepler-1218.xml
Kepler-1219,kepler-1219,19 48 52,+47 22 43,,,,Kepler-1219.xml
Kepler-122,kepler-122|koi-232|kic4833421,19 24 26,+39 56 56,1062.40,,,Kepler-122.xml
Kepler-1220,kepler-1220,19 48 17,+42 58 40,,,,Kepler-1220.xml
Kepler-1221,kepler-1221,19 03 17,+45 42 43,,,,Kepler-1221.xml
Kepler-1222,kepler-1222,19 39 34,+49 22 47,,,,Kepler-1222.xml
Kepler-1223,kepler-1223,19 01 11,+44 33 10,,,,Kepler-1223.xml
Kepler-1224,kepler-1224,19 06 30,+37 32 14,,,,Kepler-1224.xml
Kepler-1225,kepler-1225,19 22 32,+40 08 13,,,,Kepler-1225.xml
Kepler-1226,kepler-1226,19 45 30,+50 37 17,,,,Kepler-1226.xml
Kepler-1227,kepler-1227,19 08 16,+41 52 30,,,,Kepler-1227.xml
Kepler-1228,kepler-1228,19 46 13,+46 57 59,,,,Kepler-1228.xml
Kepler-1229,kepler-1229,19 49 57,+46 59 48,,,,Kepler-1229.xml
Kepler-123,kepler-123|koi-238|kic7219825,19 47 59,+42 46 55,1026.80,,,Kepler-123.xml
Kepler-1230,kepler-1230,18 53 03,+41 42 41,,,,Kepler-1230.xml
Kepler-1231,kepler-1231,19 14 21,+42 36 20,,,,Kepler-1231.xml
Kepler-1232,kepler-1232,19 46 12,+49 06 08,,,,Kepler-1232.xml
Kepler-1233,kepler-1233,19 49 30,+46 39 44,,,,Kepler-1233.xml
Kepler-1234,kepler-1234,19 10 05,+51 22 33,,,,Kepler-1234.xml
Kepler-1235,kepler-1235,18 59 37,+43 57 14,,,,Kepler-1235.xml
Kepler-1236,kepler-1236,19 42 30,+42 32 45,,,,Kepler-1236.xml
Kepler-1237,kepler-1237,19 42 31,+44 41 26,,,,Kepler-1237.xml
Kepler-1238,kepler-1238,19 51 37,+40 09 46,,,,Kepler-1238.xml
Kepler-1239,kepler-1239,19 32 31,+42 19 12,,,,Kepler-1239.xml
Kepler-124,kepler-124|koi-241|kic11288051,19 07 00,+49 03 53,358.80,,,Kepler-124.xml
Kepler-1240,kepler-1240,18 51 59.9,+40 33 27,,,,Kepler-1240.xml
Kepler-1241,kepler-1241,19 38 18,+38 27 25,,,,Kepler-1241.xml
Kepler-1242,kepler-1242,18 58 25,+41 11 47,,,,Kepler-1242.xml
Kepler-1243,kepler-1243,19 36 02,+42 52 51,,,,Kepler-1243.xml
Kepler-1244,kepler-1244,18 49 12,+46 30 58,,,,Kepler-1244.xml
Kepler-1245,kepler-1245,19 22 59,+43 15 39,,,,Kepler-1245.xml
Kepler-1246,kepler-1246,19 10 38,+48 58 56,,,,Kepler-1246.xml
Kepler-1247,kepler-1247,19 38 08,+46 37 06,,,,Kepler-1247.xml
Kepler-1248,kepler-1248,19 12 14,+51 21 16,,,,Kepler-1248.xml
Kepler-1249,kepler-1249,19 47 35,+44 22 18,,,,Kepler-1249.xml
Kepler-125,kepler-125|koi-251|kic10489206,19 53 01,+47 36 17,223.85,,,Kepler-125.xml
Kepler-1250,kepler-1250,19 11 11,+45 58 49,,,,Kepler-1250.xml
Kepler-1251,kepler-1251,19 28 28,+49 15 23,,,,Kepler-1251.xml
Kepler-1252,kepler-1252,19 55 48,+46 41 34,,,,Kepler-1252.xml
Kepler-1253,kepler-1253,18 55 32,+47 38 14,,,,Kepler-1253.xml
Kepler-1254,kepler-1254,19 00 42,+48 46 12,,,,Kepler-1254.xml
Kepler-1255,kepler-1255,19 40 57,+42 43 35,,,,Kepler-1255.xml
Kepler-1256,kepler-1256,19 25 54,+44 41 01,,,,Kepler-1256.xml
Kepler-1257,kepler-1257,19 44 18,+45 37 37,,,,Kepler-1257.xml
Kepler-1258,kepler-1258,19 01 37,+49 59 41,,,,Kepler-1258.xml
Kepler-1259,kepler-1259,19 51 22,+46 58 04,,,,Kepler-1259.xml
Kepler-126,kepler-126|koi-260|kic8292840,19 17 23,+44 12 30,224.69,,,Kepler-126.xml
Kepler-1260,kepler-1260,19 42 22,+42 33 19,,,,Kepler-1260.xml
Kepler-1261,kepler-1261,19 00 56,+48 48 24,,,,Kepler-1261.xml
Kepler-1262,kepler-1262,19 15 05,+42 12 48,,,,Kepler-1262.xml
Kepler-1263,kepler-1263,19 05 56,+46 45 09,,,,Kepler-1263.xml
Kepler-1264,kepler-1264,19 19 32,+45 12 41,,,,Kepler-1264.xml
Kepler-1265,kepler-1265,18 58 21,+47 04 46,,,,Kepler-1265.xml
Kepler-1266,kepler-1266,19 03 29,+42 43 41,,,,Kepler-1266.xml
Kepler-1267,kepler-1267,19 56 41,+43 26 28,,,,Kepler-1267.xml
Kepler-1268,kepler-1268,19 11 21,+43 09 12,,,,Kepler-1268.xml
Kepler-1269,kepler-1269,19 11 13,+45 20 26,,,,Kepler-1269.xml
Kepler-127,kepler-127|koi-271|kic9451706,19 00 45,+46 01 40,338.98,,,Kepler-127.xml
Kepler-1270,kepler-1270,19 06 52,+48 38 43,,,,Kepler-1270.xml
Kepler-1271,kepler-1271,19 05 23,+37 24 43,,,,Kepler-1271.xml
Kepler-1272,kepler-1272,19 00 53,+38 48 21,,,,Kepler-1272.xml
Kepler-1273,kepler-1273,19 03 13,+44 52 24,,,,Kepler-1273.xml
Kepler-1274,kepler-1274,18 58 22,+46 26 59,,,,Kepler-1274.xml
Kepler-1275,kepler-1275,19 34 00,+44 55 57,,,,Kepler-1275.xml
Kepler-1276,kepler-1276,19 11 26,+40 32 50,,,,Kepler-1276.xml
Kepler-1277,kepler-1277,19 40 25,+40 34 21,,,,Kepler-1277.xml
Kepler-1278,kepler-1278,18 51 50,+42 49 32,,,,Kepler-1278.xml
Kepler-1279,kepler-1279,19 12 23,+40 21 57,,,,Kepler-1279.xml
Kepler-128,kepler-128,18 49 58.128,+43 58 48.64,368.14,,,Kepler-128.xml
Kepler-1280,kepler-1280,19 34 18,+45 23 04,,,,Kepler-1280.xml
Kepler-1281,kepler-1281,19 41 25,+48 30 55,,,,Kepler-1281.xml
Kepler-1282,kepler-1282,19 20 42,+46 41 54,,,,Kepler-1282.xml
Kepler-1283,kepler-1283,19 41 51,+40 46 37,,,,Kepler-1283.xml
Kepler-1284,kepler-1284,19 25 07,+47 41 16,,,,Kepler-1284.xml
Kepler-1285,kepler-1285,18 47 20,+44 09 21,,,,Kepler-1285.xml
Kepler-1286,kepler-1286,18 41 02,+43 50 09,,,,Kepler-1286.xml
Kepler-1287,kepler-1287,19 16 32,+47 03 47,,,,Kepler-1287.xml
Kepler-1288,kepler-1288,19 02 51,+41 36 21,,,,Kepler-1288.xml
Kepler-1289,kepler-1289,19 45 33,+41 02 26,,,,Kepler-1289.xml
Kepler-129,kepler-129|koi-275|kic10586004,19 01 14,+47 50 54,402.81,,,Kepler-129.xml
Kepler-1290,kepler-1290,19 22 44,+43 51 35,,,,Kepler-1290.xml
Kepler-1291,kepler-1291,19 17 30,+40 00 04,,,,Kepler-1291.xml
Kepler-1292,kepler-1292,18 59 37,+43 56 57,,,,Kepler-1292.xml
Kepler-1293,kepler-1293,19 20 06,+48 20 09,,,,Kepler-1293.xml
Kepler-1294,kepler-1294,19 25 04,+44 29 17,,,,Kepler-1294.xml
Kepler-1295,kepler-1295,19 25 35,+45 35 19,,,,Kepler-1295.xml
