Primary star name,All star names,Mass [MSun],Mass [MSun] errorminus,Mass [MSun] errorplus,Radius [RSun],Radius [RSun] errorminus,Radius [RSun] errorplus,Age [Gyr],Age [Gyr] errorminus,Age [Gyr] errorplus,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,Metallicity [Fe/H],Metallicity [Fe/H] errorminus,Metallicity [Fe/H] errorplus,Temperature [K],Temperature [K] errorminus,Temperature [K] errorplus,Spectral type,Visual magnitude,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
Kepler-168,kepler-168|koi-497|kic4757437,1.1200,0.1100,0.1100,1.107,.496,0.496,,,,,,,,,6282,200,200,,,,,Kepler-168.xml
Kepler-169,kepler-169|koi-505|kic5689351,0.9180,0.0520,0.0520,0.763,.046,0.046,,,,,,,,,4997,100,100,,,,,Kepler-169.xml
Kepler-17,kepler-17|koi-203|kic10619192,1.16,0.06,0.06,1.05,0.03,0.03,,,,,,0.26,0.10,0.10,5781,85,85,g2v,14,,,Kepler-17.xml
Kepler-170,kepler-170|koi-508|kic6266741,1.0890,0.0230,0.0230,1.035,.058,0.058,,,,,,,,,5679,7,57,,,,,Kepler-170.xml
Kepler-171,kepler-171|koi-509|kic6381846,0.9310,0.0550,0.0550,0.839,.376,0.376,,,,,,,,,5642,200,200,,,,,Kepler-171.xml
Kepler-172,kepler-172|koi-510|kic6422155,0.8500,0.0760,0.0760,1.085,.191,0.191,,,,,,,,,5526,100,100,,,,,Kepler-172.xml
Kepler-173,kepler-173|koi-511|kic6451936,1.0600,0.1200,0.1200,0.949,.473,0.473,,,,,,,,,6031,200,200,,,,,Kepler-173.xml
Kepler-174,kepler-174|koi-518|kic8017703,0.6020,0.0190,0.0190,0.622,.032,0.032,,,,,,,,,4880,26,126,,,,,Kepler-174.xml
Kepler-175,kepler-175|koi-519|kic8022244,1.0450,0.0880,0.0880,1.010,.504,0.504,,,,,,,,,6064,200,200,,,,,Kepler-175.xml
Kepler-176,kepler-176|koi-520|kic8037145,,,,0.891,.456,0.456,,,,,,,,,5232,200,200,,,,,Kepler-176.xml
Kepler-178,kepler-178|koi-528|kic9941859,0.8900,0.0950,0.0950,1.066,.454,0.454,,,,,,,,,5676,200,200,,,,,Kepler-178.xml
Kepler-179,kepler-179|koi-534|kic10554999,0.8420,0.0250,0.0250,0.759,.307,0.307,,,,,,,,,5302,200,200,,,,,Kepler-179.xml
Kepler-18,kepler-18|koi-137|kic8644288,0.972,,,1.108,,,,,,,,0.2,,,5383.0,,,,14,,,Kepler-18.xml
Kepler-180,kepler-180|koi-542|kic11669239,0.9100,0.1100,0.1100,1.063,.471,0.471,,,,,,,,,5731,200,200,,,,,Kepler-180.xml
Kepler-181,kepler-181|koi-543|kic11823054,0.8530,0.0320,0.0320,0.749,.367,0.367,,,,,,,,,5333,200,200,,,,,Kepler-181.xml
Kepler-182,kepler-182|koi-546|kic12058931,1.1000,0.1500,0.1500,1.146,.512,0.512,,,,,,,,,6250,200,200,,,,,Kepler-182.xml
Kepler-183,kepler-183|koi-551|kic4270253,0.9900,0.0700,0.0700,0.958,.414,0.414,,,,,,,,,5888,200,200,,,,,Kepler-183.xml
Kepler-184,kepler-184|koi-567|kic7445445,0.9700,0.1200,0.1200,0.873,.490,0.490,,,,,,,,,5788,200,200,,,,,Kepler-184.xml
Kepler-185,kepler-185|koi-569|kic8008206,0.7730,0.0780,0.0780,0.806,.460,0.460,,,,,,,,,5208,200,200,,,,,Kepler-185.xml
Kepler-186,kepler-186|koi-571|kic8120608,0.478,0.055,0.055,0.472,0.052,0.052,,,,,,-0.28,0.1,0.1,3788,54,54,,,,,Kepler-186.xml
Kepler-187,kepler-187|koi-572|kic8193178,1.0000,0.1000,0.1000,1.287,.247,0.247,,,,,,,,,6105,29,129,,,,,Kepler-187.xml
Kepler-188,kepler-188|koi-573|kic8344004,1.0100,0.1200,0.1200,1.141,.514,0.514,,,,,,,,,6021,200,200,,,,,Kepler-188.xml
Kepler-189,kepler-189|koi-574|kic8355239,0.8240,0.0410,0.0410,0.750,.376,0.376,,,,,,,,,5235,200,200,,,,,Kepler-189.xml
Kepler-19,kepler-19|koi-84|kic2571238,0.936,0.040,0.040,0.850,0.018,0.018,1.9,1.7,1.7,,,-0.13,,,5541,60,60,g8v,12,,,Kepler-19.xml
Kepler-190,kepler-190|koi-579|kic8616637,0.8020,0.0480,0.0480,0.795,.049,0.049,,,,,,,,,5106,100,100,,,,,Kepler-190.xml
Kepler-191,kepler-191|koi-582|kic9020160,0.8280,0.0730,0.0730,0.789,.390,0.390,,,,,,,,,5282,200,200,,,,,Kepler-191.xml
Kepler-192,kepler-192|koi-584|kic9146018,0.9050,0.0350,0.0350,1.007,.164,0.164,,,,,,,,,5479,100,100,,,,,Kepler-192.xml
Kepler-193,kepler-193|koi-590|kic9782691,1.1390,0.0860,0.0860,1.147,.515,0.515,,,,,,,,,6335,200,200,,,,,Kepler-193.xml
Kepler-194,kepler-194|koi-597|kic10600261,1.0530,0.0920,0.0920,1.025,.537,0.537,,,,,,,,,6089,200,200,,,,,Kepler-194.xml
Kepler-195,kepler-195|koi-598|kic10656823,0.8430,0.0460,0.0460,0.775,.284,0.284,,,,,,,,,5329,200,200,,,,,Kepler-195.xml
Kepler-196,kepler-196|koi-612|kic6587002,,,,0.782,.056,0.056,,,,,,,,,5128,100,100,,,,,Kepler-196.xml
Kepler-197,kepler-197|koi-623|kic12068975,0.8640,0.0350,0.0350,1.120,0.033,0.033,,,,,,,,,6004,102,102,,11.78,0.17,0.17,Kepler-197.xml
Kepler-198,kepler-198|koi-624|kic3541946,0.9580,0.0450,0.0450,0.940,.139,0.139,,,,,,,,,5574,100,100,,,,,Kepler-198.xml
Kepler-199,kepler-199|koi-638|kic5113822,1.0030,0.0810,0.0810,0.967,.173,0.173,,,,,,,,,5644,17,117,,,,,Kepler-199.xml
Kepler-20,kepler-20|koi-70|kic6850504,0.912,,,0.944,,,,,,,,0.02,,,5466.0,,,g8,12.5,,,Kepler-20.xml
Kepler-200,kepler-200|koi-654|kic5941160,1.0420,0.0990,0.0990,0.944,.158,0.158,,,,,,,,,5678,100,100,,,,,Kepler-200.xml
Kepler-201,kepler-201|koi-655|kic5966154,1.1770,0.0510,0.0510,1.229,.240,0.240,,,,,,,,,6065,17,117,,,,,Kepler-201.xml
Kepler-202,kepler-202|koi-657|kic6020753,0.6830,0.0180,0.0180,0.667,.034,0.034,,,,,,,,,4668,100,100,,,,,Kepler-202.xml
Kepler-203,kepler-203|koi-658|kic6062088,1.0100,0.1500,0.1500,1.114,.213,0.213,,,,,,,,,5821,100,100,,,,,Kepler-203.xml
Kepler-204,kepler-204|koi-661|kic6347299,1.0500,0.1300,0.1300,1.238,.263,0.263,,,,,,,,,5812,100,100,,,,,Kepler-204.xml
Kepler-205,kepler-205|koi-663|kic6425957,0.5920,0.0140,0.0140,0.546,.022,0.022,,,,,,,,,4321,100,100,,,,,Kepler-205.xml
Kepler-206,kepler-206|koi-664|kic6442340,1.0210,0.0980,0.0980,1.185,.228,0.228,,,,,,,,,5764,100,100,,,,,Kepler-206.xml
Kepler-207,kepler-207|koi-665|kic6685609,1.0400,0.0940,0.0940,1.588,.302,0.302,,,,,,,,,5920,16,116,,,,,Kepler-207.xml
Kepler-208,kepler-208|koi-671|kic7040629,0.9630,,,1.314,.243,0.243,,,,,,,,,6092,100,100,,,,,Kepler-208.xml
Kepler-209,kepler-209|koi-672|kic7115785,0.9310,0.0320,0.0320,0.935,.138,0.138,,,,,,,,,5513,100,100,,,,,Kepler-209.xml
Kepler-21 A,kepler-21a|koi-975a|kic3632418a|hip94112|tyc3120-963-1|sao67891|bd+383455a|2massj19092683+3842505,1.340,0.010,0.010,1.860,0.020,0.020,,,,,,-0.15,0.06,0.06,6131,44,44,f6iv,8.25,0.01,0.01,Kepler-21.xml
Kepler-21 B,kepler-21b|koi-975b|kic3632418a|hd179070b|bd+383455b,0.42,0.32,0.14,,,,,,,,,,,,,,,,,,,Kepler-21.xml
Kepler-210,kepler-210|koi-676|kic7447200,0.6120,0.0230,0.0230,0.650,0.033,0.033,0.350,0.050,0.050,,,,,,4559,100,100,k,,,,Kepler-210.xml
Kepler-211,kepler-211|koi-678|kic7509886,0.9140,0.0570,0.0570,0.816,.054,0.054,,,,,,,,,5123,100,100,,,,,Kepler-211.xml
Kepler-212,kepler-212|koi-679|kic7515212,1.1660,0.0370,0.0370,1.455,.272,0.272,,,,,,,,,5852,100,100,,,,,Kepler-212.xml
Kepler-213,kepler-213|koi-692|kic8557374,0.9760,0.0400,0.0400,1.195,.223,0.223,,,,,,,,,5696,100,100,,,,,Kepler-213.xml
Kepler-214,kepler-214|koi-693|kic8738735,1.1500,0.1100,0.1100,1.352,.252,0.252,,,,,,,,,6169,100,100,,,,,Kepler-214.xml
Kepler-215,kepler-215|koi-700|kic8962094,0.9770,0.0750,0.0750,1.027,.236,0.236,,,,,,,,,5739,64,164,,,,,Kepler-215.xml
Kepler-216,kepler-216|koi-708|kic9530945,1.1290,0.0800,0.0800,1.260,.243,0.243,,,,,,,,,6091,20,120,,,,,Kepler-216.xml
Kepler-217,kepler-217|koi-710|kic9590976,1.3830,,,1.799,.256,0.256,,,,,,,,,6171,09,109,,,,,Kepler-217.xml
Kepler-218,kepler-218|koi-711|kic9597345,1.0190,0.0210,0.0210,1.063,.083,0.083,,,,,,,,,5502,4,74,,,,,Kepler-218.xml
Kepler-219,kepler-219|koi-718|kic9884104,1.1710,0.0610,0.0610,1.491,.249,0.249,,,,,,,,,5786,100,100,,,,,Kepler-219.xml
Kepler-22,kepler-22|gsc03546-02301|kic10593626|koi-87|2massj19165219+4753040|ucac3276-148830,0.97,,,0.979,,,,,,,,,,,5510.0,,,g5,,,,Kepler-22.xml
Kepler-220,kepler-220|koi-719|kic9950612,0.7170,0.0240,0.0240,0.666,.034,0.034,,,,,,,,,4632,100,100,,,,,Kepler-220.xml
Kepler-221,kepler-221|koi-720|kic9963524,0.8160,0.0330,0.0330,0.821,.075,0.075,,,,,,,,,5243,100,100,,,,,Kepler-221.xml
Kepler-222,kepler-222|koi-723|kic10002866,0.8570,0.0500,0.0500,0.869,.380,0.380,,,,,,,,,5433,200,200,,,,,Kepler-222.xml
Kepler-223,kepler-223|koi-730|kic10227020,0.9500,0.1100,0.1100,1.017,.438,0.438,,,,,,,,,5829,200,200,,15,,,Kepler-223.xml
Kepler-224,kepler-224|koi-733|kic10271806,0.8250,0.0310,0.0310,0.676,.038,0.038,,,,,,,,,5018,100,100,,,,,Kepler-224.xml
Kepler-225,kepler-225|koi-736|kic10340423,,,,0.480,.020,0.020,,,,,,,,,3682,50,150,,,,,Kepler-225.xml
Kepler-226,kepler-226|koi-749|kic10601284,0.9120,0.0370,0.0370,0.802,.318,0.318,,,,,,,,,5571,200,200,,,,,Kepler-226.xml
Kepler-227,kepler-227|koi-752|kic10797460,0.9200,0.1100,0.1100,1.091,.547,0.547,,,,,,,,,5854,200,200,,,,,Kepler-227.xml
Kepler-228,kepler-228|koi-756|kic10872983,1.0400,0.1100,0.1100,1.014,.465,0.465,,,,,,,,,6043,200,200,,,,,Kepler-228.xml
Kepler-229,kepler-229|koi-757|kic10910878,0.7940,0.0880,0.0880,0.728,.257,0.257,,,,,,,,,5120,200,200,,,,,Kepler-229.xml
Kepler-23,kepler-23|koi-168|kic11512246,1.1900,0.1300,0.1300,1.548,0.048,0.048,,,,,,,,,5828,100,100,,,,,Kepler-23.xml
Kepler-230,kepler-230|koi-759|kic11018648,0.9180,0.0520,0.0520,0.817,.415,0.415,,,,,,,,,5588,200,200,,,,,Kepler-230.xml
Kepler-231,kepler-231|koi-784|kic12066335,0.5800,0.0140,0.0140,0.490,.021,0.021,,,,,,,,,3767,50,150,,,,,Kepler-231.xml
Kepler-232,kepler-232|koi-787|kic12366084,0.9640,0.1000,0.1000,0.968,.460,0.460,,,,,,,,,5847,200,200,,,,,Kepler-232.xml
Kepler-233,kepler-233|koi-790|kic12470844,0.8550,0.0240,0.0240,0.758,.206,0.206,,,,,,,,,5360,200,200,,,,,Kepler-233.xml
Kepler-234,kepler-234|koi-800|kic3342970,1.0900,0.1100,0.1100,1.113,.495,0.495,,,,,,,,,6224,200,200,,,,,Kepler-234.xml
Kepler-235,kepler-235|koi-812|kic4139816,0.5810,0.0180,0.0180,0.554,.021,0.021,,,,,,,,,4255,100,100,,,,,Kepler-235.xml
Kepler-236,kepler-236|koi-817|kic4725681,0.5490,0.0370,0.0370,0.510,.019,0.019,,,,,,,,,3750,50,150,,,,,Kepler-236.xml
Kepler-237,kepler-237|koi-825|kic5252423,0.6960,0.0170,0.0170,0.725,.383,0.383,,,,,,,,,4861,200,200,,,,,Kepler-237.xml
Kepler-238,kepler-238|koi-834|kic5436502,0.9700,0.3300,0.3300,1.430,.264,0.264,,,,,,,,,5751,100,100,,,,,Kepler-238.xml
Kepler-239,kepler-239|koi-835|kic5456651,0.7570,0.0190,0.0190,0.763,.044,0.044,,,,,,,,,4914,100,100,,,,,Kepler-239.xml
Kepler-24,kepler-24|koi-1102|kic3231341,1.0200,0.1900,0.1900,1.289,.291,0.291,,,,,,,,,5897,19,219,,,,,Kepler-24.xml
Kepler-240,kepler-240|koi-837|kic5531576,0.7530,0.0220,0.0220,0.739,.299,0.299,,,,,,,,,4985,200,200,,,,,Kepler-240.xml
Kepler-241,kepler-241|koi-842|kic5794379,0.6710,0.0170,0.0170,0.668,.289,0.289,,,,,,,,,4699,200,200,,,,,Kepler-241.xml
Kepler-242,kepler-242|koi-853|kic6428700,0.7200,0.0860,0.0860,0.850,.522,0.522,,,,,,,,,5020,200,200,,,,,Kepler-242.xml
Kepler-243,kepler-243|koi-857|kic6587280,0.7890,0.0700,0.0700,0.842,.398,0.398,,,,,,,,,5228,200,200,,,,,Kepler-243.xml
Kepler-244,kepler-244|koi-864|kic6849310,0.9100,0.0900,0.0900,0.803,.338,0.338,,,,,,,,,5554,200,200,,,,,Kepler-244.xml
Kepler-245,kepler-245|koi-869|kic6948054,0.7770,0.0640,0.0640,0.795,.053,0.053,,,,,,,,,5100,100,100,,,,,Kepler-245.xml
Kepler-246,kepler-246|koi-874|kic7134976,0.7590,0.0660,0.0660,0.831,.422,0.422,,,,,,,,,5206,200,200,,,,,Kepler-246.xml
Kepler-247,kepler-247|koi-884|kic7434875,0.7730,0.0430,0.0430,0.768,.214,0.214,,,,,,,,,5100,200,200,,,,,Kepler-247.xml
Kepler-248,kepler-248|koi-896|kic7825899,,,,0.831,.099,0.099,,,,,,,,,5190,61,161,,15.18,0.28,0.28,Kepler-248.xml
Kepler-249,kepler-249|koi-899|kic7907423,0.5060,0.0320,0.0320,0.482,.018,0.018,,,,,,,,,3568,50,150,,,,,Kepler-249.xml
Kepler-25,kepler-25|koi-244|kic4349452,1.26,0.03,0.03,1.34,0.01,0.01,2.750,0.300,0.300,,,0.11,0.03,0.03,6354,27,27,f,10.77,0.06,0.06,Kepler-25.xml
Kepler-250,kepler-250|koi-906|kic8226994,0.7530,0.0850,0.0850,0.805,.462,0.462,,,,,,,,,5160,200,200,,,,,Kepler-250.xml
Kepler-251,kepler-251|koi-907|kic8247638,0.9600,0.1100,0.1100,0.890,.155,0.155,,,,,,,,,5526,100,100,,,,,Kepler-251.xml
Kepler-252,kepler-252|koi-912|kic8505670,0.6100,0.0150,0.0150,0.549,.032,0.032,,,,,,,,,4208,50,150,,,,,Kepler-252.xml
Kepler-253,kepler-253|koi-921|kic8689373,0.8080,0.0910,0.0910,0.786,.322,0.322,,,,,,,,,5208,200,200,,,,,Kepler-253.xml
Kepler-254,kepler-254|koi-934|kic9334289,1.0210,0.0590,0.0590,0.910,.433,0.433,,,,,,,,,5957,200,200,,,,,Kepler-254.xml
Kepler-255,kepler-255|koi-938|kic9415172,0.8780,0.0650,0.0650,0.933,.368,0.368,,,,,,,,,5573,200,200,,,,,Kepler-255.xml
Kepler-256,kepler-256|koi-939|kic9466668,1.0000,0.1100,0.1100,1.301,.316,0.316,,,,,,,,,5551,11,111,,,,,Kepler-256.xml
Kepler-257,kepler-257|koi-941|kic9480189,0.7400,0.1400,0.1400,1.037,.518,0.518,,,,,,,,,5180,200,200,,,,,Kepler-257.xml
Kepler-258,kepler-258|koi-951|kic9775938,0.7000,0.1100,0.1100,0.915,.611,0.611,,,,,,,,,4942,200,200,,,,,Kepler-258.xml
Kepler-259,kepler-259|koi-954|kic9823457,1.0150,0.0690,0.0690,0.898,.435,0.435,,,,,,,,,5938,200,200,,,,,Kepler-259.xml
Kepler-26,kepler-26|koi-250|kic9757613,0.6340,0.0270,0.0270,0.571,.027,0.027,,,,,,,,,4486,16,116,,,,,Kepler-26.xml
Kepler-260,kepler-260|koi-986|kic2854698,0.9000,0.1000,0.1000,0.862,.233,0.233,,,,,,,,,5250,57,257,,,,,Kepler-260.xml
Kepler-261,kepler-261|koi-988|kic2302548,0.8760,0.0300,0.0300,0.794,.050,0.050,,,,,,,,,5098,100,100,,,,,Kepler-261.xml
Kepler-262,kepler-262|koi-993|kic1718189,,,,0.881,.361,0.361,,,,,,,,,5841,200,200,,,,,Kepler-262.xml
Kepler-263,kepler-263|koi-999|kic2165002,0.8010,0.0370,0.0370,0.785,.427,0.427,,,,,,,,,5265,200,200,,,,,Kepler-263.xml
Kepler-264,kepler-264|koi-1001|kic1871056,1.3700,0.1500,0.1500,1.550,.314,0.314,,,,,,,,,6158,100,100,,,,,Kepler-264.xml
Kepler-265,kepler-265|koi-1052|kic5956342,1.1500,0.1100,0.1100,1.103,.228,0.228,,,,,,,,,5835,18,118,,,,,Kepler-265.xml
Kepler-266,kepler-266|koi-1070|kic8240904,1.0600,0.3000,0.3000,1.028,.498,0.498,,,,,,,,,5885,50,250,,,,,Kepler-266.xml
Kepler-267,kepler-267|koi-1078|kic10166274,0.5520,0.0380,0.0380,0.555,.021,0.021,,,,,,,,,4258,100,100,,,,,Kepler-267.xml
Kepler-268,kepler-268|koi-1113|kic2854914,1.1300,0.1200,0.1200,1.274,.234,0.234,,,,,,,,,6081,100,100,,,,,Kepler-268.xml
Kepler-269,kepler-269|koi-1127|kic6359320,1.0400,0.3000,0.3000,0.959,.429,0.429,,,,,,,,,5847,50,250,,,,,Kepler-269.xml
Kepler-27,kepler-27|koi-841|kic5792202,0.65,,,0.59,,,,,,,,0.41,,,5400.0,,,,,,,Kepler-27.xml
Kepler-270,kepler-270|koi-1148|kic8410727,1.1700,0.1400,0.1400,1.461,.284,0.284,,,,,,,,,6067,100,100,,,,,Kepler-270.xml
Kepler-271,kepler-271|koi-1151|kic8280511,,,,0.880,.158,0.158,,,,,,,,,5524,100,100,,,,,Kepler-271.xml
Kepler-272,kepler-272|koi-1161|kic10426656,0.7900,0.1700,0.1700,0.929,.497,0.497,,,,,,,,,5297,200,200,,,,,Kepler-272.xml
Kepler-273,kepler-273|koi-1163|kic10468940,0.9160,0.0600,0.0600,0.815,.464,0.464,,,,,,,,,5626,200,200,,,,,Kepler-273.xml
Kepler-274,kepler-274|koi-1196|kic3348082,,,,1.007,.541,0.541,,,,,,,,,6023,200,200,,,,,Kepler-274.xml
Kepler-275,kepler-275|koi-1198|kic3447722,1.1980,0.0700,0.0700,1.383,.258,0.258,,,,,,,,,6165,100,100,,,,,Kepler-275.xml
Kepler-276,kepler-276|koi-1203|kic3962243,1.0500,0.1300,0.1300,1.046,.485,0.485,,,,,,,,,6105,200,200,,,,,Kepler-276.xml
Kepler-277,kepler-277|koi-1215|kic3939150,1.19,0.37,0.49,1.65,.22,0.22,5.0000,1.0000,1.0000,,,,,,5946.00,56.00,56.00,,,,,Kepler-277.xml
Kepler-278,kepler-278|koi-1221|kic3640905,1.0790,0.0690,0.0690,2.935,0.066,0.066,,,,,,0.28,0.10,0.10,4991,75,75,,11.81,0.14,0.14,Kepler-278.xml
Kepler-279,kepler-279|koi-1236|kic6677841,1.3100,0.1400,0.1400,1.746,.315,0.315,,,,,,,,,6363,59,259,,,,,Kepler-279.xml
Kepler-28,kepler-28|koi-870|kic6949607,0.75,,,0.70,,,,,,,,0.34,,,4590.0,,,k4v,,,,Kepler-28.xml
Kepler-280,kepler-280|koi-1240|kic6690082,0.9570,0.0560,0.0560,0.886,.426,0.426,,,,,,,,,5744,200,200,,,,,Kepler-280.xml
Kepler-281,kepler-281|koi-1258|kic8630788,0.9430,0.0920,0.0920,0.899,.347,0.347,,,,,,,,,5723,200,200,,,,,Kepler-281.xml
Kepler-282,kepler-282|koi-1278|kic8609450,1.0820,0.0900,0.0900,0.904,.215,0.215,,,,,,,,,5602,55,155,,,,,Kepler-282.xml
Kepler-283,kepler-283|koi-1298|kic10604335,0.5960,0.0150,0.0150,0.566,.024,0.024,,,,,,,,,4351,100,100,,,,,Kepler-283.xml
Kepler-284,kepler-284|koi-1301|kic10538176,0.9230,0.0420,0.0420,0.814,.356,0.356,,,,,,,,,5615,200,200,,,,,Kepler-284.xml
Kepler-285,kepler-285|koi-1305|kic10730034,0.8650,0.0600,0.0600,0.808,.348,0.348,,,,,,,,,5411,200,200,,,,,Kepler-285.xml
Kepler-286,kepler-286|koi-1306|kic10858691,1.0300,0.1000,0.1000,0.863,.167,0.167,,,,,,,,,5580,31,131,,,,,Kepler-286.xml
Kepler-287,kepler-287|koi-1307|kic10973814,0.9300,0.0950,0.0950,1.032,.466,0.466,,,,,,,,,5806,200,200,,,,,Kepler-287.xml
Kepler-288,kepler-288|koi-1332|kic4455231,1.0800,0.3000,0.3000,1.091,.518,0.518,,,,,,,,,5918,50,250,,,,,Kepler-288.xml
Kepler-289,kepler-289|koi-1353|kic7303287|ph3,1.08,0.02,0.02,1.00,0.02,0.02,,,,,,0.05,0.04,0.04,5990,38,38,,,,,Kepler-289.xml
Kepler-29,kepler-29|koi-738|kic10358759,1.0,,,0.96,,,,,,,,,,,5750.0,,,g5v,,,,Kepler-29.xml
Kepler-290,kepler-290|koi-1360|kic7102227,0.7980,0.0340,0.0340,0.743,.382,0.382,,,,,,,,,5147,200,200,,,,,Kepler-290.xml
Kepler-291,kepler-291|koi-1363|kic6936909,1.0100,0.1000,0.1000,1.016,.441,0.441,,,,,,,,,6002,200,200,,,,,Kepler-291.xml
Kepler-292,kepler-292|koi-1364|kic6962977,0.8340,0.0780,0.0780,0.826,.073,0.073,,,,,,,,,5299,100,100,,,,,Kepler-292.xml
Kepler-293,kepler-293|koi-1366|kic6932987,0.9530,0.0630,0.0630,0.957,.398,0.398,,,,,,,,,5804,200,200,,,,,Kepler-293.xml
Kepler-294,kepler-294|koi-1396|kic9455556,0.9940,0.0980,0.0980,0.976,.455,0.455,,,,,,,,,5913,200,200,,,,,Kepler-294.xml
Kepler-295,kepler-295|koi-1413|kic9006449,0.8850,0.0520,0.0520,0.898,.473,0.473,,,,,,,,,5603,200,200,,,,,Kepler-295.xml
Kepler-296 A,kepler-296a|koi-1422a|kic11497958a|2massj19060960+4926143a,0.498,0.087,0.067,0.480,0.087,0.066,,,,,,-0.08,0.30,0.28,3740,130,130,m2v,,,,Kepler-296.xml
Kepler-296 B,kepler-296b|koi-1422b|kic11497958b|2massj19060960+4926143b,0.326,0.079,0.070,0.322,0.068,0.060,,,,,,-0.08,0.30,0.28,3440,75,75,,,,,Kepler-296.xml
Kepler-297,kepler-297|koi-1426|kic11122894,1.04,0.12,0.20,1.04,0.10,0.48,,,,,,-0.12,0.30,0.22,6150,193,151,,,,,Kepler-297.xml
Kepler-298,kepler-298|koi-1430|kic11176127,0.6600,0.0150,0.0150,0.582,.025,0.025,,,,,,,,,4465,100,100,,,,,Kepler-298.xml
Kepler-299,kepler-299|koi-1432|kic11014932,1.0010,0.0680,0.0680,1.032,.208,0.208,,,,,,,,,5617,12,112,,,,,Kepler-299.xml
Kepler-300,kepler-300|koi-1435|kic11037335,1.0350,0.0840,0.0840,0.900,.410,0.410,,,,,,,,,5986,200,200,,,,,Kepler-300.xml
Kepler-301,kepler-301|koi-1436|kic11389771,0.9700,0.1100,0.1100,0.900,.481,0.481,,,,,,,,,5815,200,200,,,,,Kepler-301.xml
Kepler-302,kepler-302|koi-1486|kic7898352,1.0210,0.0850,0.0850,1.220,.249,0.249,,,,,,,,,5740,07,107,,,,,Kepler-302.xml
Kepler-303,kepler-303|koi-1515|kic7871954,0.5750,0.0160,0.0160,0.485,.025,0.025,,,,,,,,,3944,50,150,,,,,Kepler-303.xml
Kepler-304,kepler-304|koi-1557|kic5371776,0.6870,0.0450,0.0450,0.687,.037,0.037,,,,,,,,,4731,100,100,,,,,Kepler-304.xml
Kepler-305,kepler-305|koi-1563|kic5219234,0.9000,0.3000,0.3000,0.794,.050,0.050,,,,,,,,,5100,100,100,,,,,Kepler-305.xml
Kepler-306,kepler-306|koi-1567|kic5438099,0.9300,0.3000,0.3000,0.719,.041,0.041,,,,,,,,,4954,100,100,,,,,Kepler-306.xml
Kepler-307,kepler-307|koi-1576|kic5299459,0.78,0.55,1.36,1.03,.42,0.42,13.5000,3.6000,3.6000,,,,,,5577.00,105.00,105.00,,,,,Kepler-307.xml
Kepler-308,kepler-308|koi-1593|kic5289854,0.9970,0.0900,0.0900,0.941,.452,0.452,,,,,,,,,5895,200,200,,,,,Kepler-308.xml
Kepler-309,kepler-309|koi-1596|kic10027323,0.6660,0.0210,0.0210,0.721,.040,0.040,,,,,,,,,4713,100,100,,,,,Kepler-309.xml
Kepler-31,kepler-31|koi-935|kic9347899,1.2080,0.0870,0.0870,1.306,.302,0.302,,,,,,,,,6034,68,168,,,,,Kepler-31.xml
Kepler-310,kepler-310|koi-1598|kic10004738,0.9700,0.1300,0.1300,0.876,.406,0.406,,,,,,,,,5797,200,200,,,,,Kepler-310.xml
Kepler-311,kepler-311|koi-1608|kic10055126,,,,1.188,.230,0.230,,,,,,,,,5905,31,131,,,,,Kepler-311.xml
Kepler-312,kepler-312|koi-1628|kic6975129,,,,1.467,.283,0.283,,,,,,,,,6115,100,100,,,,,Kepler-312.xml
Kepler-313,kepler-313|koi-1647|kic11153121,0.9600,0.1200,0.1200,1.536,.162,0.162,,,,,,,,,5727,100,100,,,,,Kepler-313.xml
Kepler-314,kepler-314|koi-1692|kic6616218,1.0240,0.0210,0.0210,0.950,.135,0.135,,,,,,,,,5378,100,100,,,,,Kepler-314.xml
Kepler-315,kepler-315|koi-1707|kic7703955,,,,1.037,.202,0.202,,,,,,,,,5796,08,108,,,,,Kepler-315.xml
Kepler-316,kepler-316|koi-1713|kic8230616,0.5870,0.0140,0.0140,0.520,.052,0.052,,,,,,,,,4204,200,200,,,,,Kepler-316.xml
Kepler-317,kepler-317|koi-1760|kic3967760,0.8160,0.0810,0.0810,0.941,.429,0.429,,,,,,,,,5497,200,200,,,,,Kepler-317.xml
Kepler-318,kepler-318|koi-1779|kic9909735,0.9800,0.1300,0.1300,1.189,.210,0.210,,,,,,,,,5746,100,100,,,,,Kepler-318.xml
Kepler-319,kepler-319|koi-1805|kic4644952,0.9600,0.1100,0.1100,0.903,.125,0.125,,,,,,,,,5526,100,100,,,,,Kepler-319.xml
Kepler-32,kepler-32|koi-952|kic9787239,0.58,,,0.53,,,,,,,,,,,3900.0,,,,,,,Kepler-32.xml
Kepler-320,kepler-320|koi-1806|kic9529744,1.1800,0.1200,0.1200,1.108,.519,0.519,,,,,,,,,6435,200,200,,,,,Kepler-320.xml
Kepler-321,kepler-321|koi-1809|kic8240797,0.8980,,,1.194,.230,0.230,,,,,,,,,5740,100,100,,,,,Kepler-321.xml
Kepler-322,kepler-322|koi-1820|kic8277797,0.9000,0.1100,0.1100,0.890,.096,0.096,,,,,,,,,5388,100,100,,,,,Kepler-322.xml
